event_id,participant_id,rank,medal,score_raw,points_awarded
fifa_futsal_world_cup_2004,ESP,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2004,ITA,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2004,BRA,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2004,ARG,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
fifa_futsal_world_cup_2008,BRA,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2008,ESP,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2008,ITA,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2008,RUS,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
fifa_futsal_world_cup_2012,BRA,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2012,ESP,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2012,ITA,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2012,COL,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
fifa_futsal_world_cup_2016,ARG,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2016,RUS,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2016,IRN,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2016,PRT,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
fifa_futsal_world_cup_2021,PRT,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2021,ARG,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2021,BRA,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2021,KAZ,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
fifa_futsal_world_cup_2024,BRA,1,gold,fifa_futsal_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,10.0
fifa_futsal_world_cup_2024,ARG,2,silver,fifa_futsal_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,7.0
fifa_futsal_world_cup_2024,UKR,3,bronze,fifa_futsal_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,5.0
fifa_futsal_world_cup_2024,FRA,4,,fifa_futsal_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/FIFA_Futsal_World_Cup,4.0
