country_id,iso2,iso3,name_en,name_fr
DEU,DE,DEU,Germany,
ITA,IT,ITA,Italy,
BRA,BR,BRA,Brazil,
SWE,SE,SWE,Sweden,
ENG,,ENG,England,
NLD,NL,NLD,Netherlands,
IRL,IE,IRL,Ireland,
DNK,DK,DNK,Denmark,
RUS,RU,RUS,Russian Federation,
ARG,AR,ARG,Argentina,
NOR,NO,NOR,Norway,
ESP,ES,ESP,Spain,
CHE,CH,CHE,Switzerland,
FRA,FR,FRA,France,
COL,CO,COL,Colombia,
CZE,CZ,CZE,Czechia,
MEX,MX,MEX,Mexico,
ROU,RO,ROU,Romania,
HRV,HR,HRV,Croatia,
YUG,,YUG,Yugoslavia,
PRT,PT,PRT,Portugal,
PRY,PY,PRY,Paraguay,
TUR,TR,TUR,Türkiye,
USA,US,USA,United States,
NGA,NG,NGA,Nigeria,
URY,UY,URY,Uruguay,
EGY,EG,EGY,Egypt,
BEL,BE,BEL,Belgium,
CHL,CL,CHL,Chile,
AUT,AT,AUT,Austria,
POL,PL,POL,Poland,
