event_id,competition_id,discipline_id,gender,event_class,event_date
fifa_ranking_92,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1992-12-31
fifa_ranking_93,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1993-12-23
fifa_ranking_94,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1994-12-20
fifa_ranking_95,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1995-12-19
fifa_ranking_96,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1996-12-18
fifa_ranking_97,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1997-12-23
fifa_ranking_98,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1998-12-23
fifa_ranking_99,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,1999-12-22
fifa_ranking_00,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2000-12-20
fifa_ranking_01,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2001-12-19
fifa_ranking_02,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2002-12-18
fifa_ranking_03,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2003-12-15
fifa_ranking_04,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2004-12-20
fifa_ranking_05,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2005-12-16
fifa_ranking_06,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2006-12-18
fifa_ranking_07,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2007-12-17
fifa_ranking_08,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2008-12-17
fifa_ranking_09,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2009-12-16
fifa_ranking_10,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2010-12-15
fifa_ranking_11,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2011-12-21
fifa_ranking_12,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2012-12-19
fifa_ranking_13,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2013-12-19
fifa_ranking_14,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2014-12-18
fifa_ranking_15,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2015-12-03
fifa_ranking_16,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2016-12-22
fifa_ranking_17,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2017-12-21
fifa_ranking_18,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2018-12-20
fifa_ranking_19,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2019-12-19
fifa_ranking_20,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2020-12-10
fifa_ranking_21,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2021-12-23
fifa_ranking_22,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2022-12-22
fifa_ranking_23,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2023-12-21
fifa_ranking_24,fifa_ranking,fifa-men-ranking,men,ranking_release_top10,2024-09-19
