event_id,competition_id,discipline_id,gender,event_class,event_date
fifa_women_ranking_03,fifa_women_ranking,football,women,ranking_release_top10,2003-12-15
fifa_women_ranking_04,fifa_women_ranking,football,women,ranking_release_top10,2004-12-20
fifa_women_ranking_05,fifa_women_ranking,football,women,ranking_release_top10,2005-12-16
fifa_women_ranking_06,fifa_women_ranking,football,women,ranking_release_top10,2006-12-22
fifa_women_ranking_07,fifa_women_ranking,football,women,ranking_release_top10,2007-12-21
fifa_women_ranking_08,fifa_women_ranking,football,women,ranking_release_top10,2008-12-19
fifa_women_ranking_09,fifa_women_ranking,football,women,ranking_release_top10,2009-12-18
fifa_women_ranking_10,fifa_women_ranking,football,women,ranking_release_top10,2010-11-19
fifa_women_ranking_11,fifa_women_ranking,football,women,ranking_release_top10,2011-12-23
fifa_women_ranking_12,fifa_women_ranking,football,women,ranking_release_top10,2012-12-07
fifa_women_ranking_13,fifa_women_ranking,football,women,ranking_release_top10,2013-12-13
fifa_women_ranking_14,fifa_women_ranking,football,women,ranking_release_top10,2014-12-19
fifa_women_ranking_15,fifa_women_ranking,football,women,ranking_release_top10,2015-12-18
fifa_women_ranking_16,fifa_women_ranking,football,women,ranking_release_top10,2016-12-23
fifa_women_ranking_17,fifa_women_ranking,football,women,ranking_release_top10,2017-12-15
fifa_women_ranking_18,fifa_women_ranking,football,women,ranking_release_top10,2018-12-07
fifa_women_ranking_19,fifa_women_ranking,football,women,ranking_release_top10,2019-12-13
fifa_women_ranking_20,fifa_women_ranking,football,women,ranking_release_top10,2020-12-18
fifa_women_ranking_21,fifa_women_ranking,football,women,ranking_release_top10,2021-12-10
fifa_women_ranking_22,fifa_women_ranking,football,women,ranking_release_top10,2022-12-09
fifa_women_ranking_23,fifa_women_ranking,football,women,ranking_release_top10,2023-12-15
fifa_women_ranking_24,fifa_women_ranking,football,women,ranking_release_top10,2024-12-13
fifa_women_ranking_25,fifa_women_ranking,football,women,ranking_release_top10,2025-12-11
