event_id,participant_id,rank,medal,score_raw,points_awarded
fifa_women_ranking_03,DEU,1,gold,fifa_women_points=2201.0,2201.0
fifa_women_ranking_03,USA,2,silver,fifa_women_points=2162.0,2162.0
fifa_women_ranking_03,NOR,3,bronze,fifa_women_points=2133.0,2133.0
fifa_women_ranking_03,SWE,4,,fifa_women_points=2097.0,2097.0
fifa_women_ranking_03,CHN,5,,fifa_women_points=2064.0,2064.0
fifa_women_ranking_03,BRA,6,,fifa_women_points=2042.0,2042.0
fifa_women_ranking_03,PRK,7,,fifa_women_points=1994.0,1994.0
fifa_women_ranking_03,DNK,8,,fifa_women_points=1981.0,1981.0
fifa_women_ranking_03,FRA,9,,fifa_women_points=1968.0,1968.0
fifa_women_ranking_03,ITA,10,,fifa_women_points=1951.0,1951.0
fifa_women_ranking_04,DEU,1,gold,fifa_women_points=2181.0,2181.0
fifa_women_ranking_04,USA,2,silver,fifa_women_points=2165.0,2165.0
fifa_women_ranking_04,NOR,3,bronze,fifa_women_points=2146.0,2146.0
fifa_women_ranking_04,BRA,4,,fifa_women_points=2053.0,2053.0
fifa_women_ranking_04,SWE,5,,fifa_women_points=2035.0,2035.0
fifa_women_ranking_04,CHN,6,,fifa_women_points=2025.0,2025.0
fifa_women_ranking_04,DNK,7,,fifa_women_points=2000.0,2000.0
fifa_women_ranking_04,PRK,8,,fifa_women_points=1988.0,1988.0
fifa_women_ranking_04,FRA,9,,fifa_women_points=1986.0,1986.0
fifa_women_ranking_04,ITA,10,,fifa_women_points=1956.0,1956.0
fifa_women_ranking_05,DEU,1,gold,fifa_women_points=2234.0,2234.0
fifa_women_ranking_05,USA,2,silver,fifa_women_points=2184.0,2184.0
fifa_women_ranking_05,NOR,3,bronze,fifa_women_points=2100.0,2100.0
fifa_women_ranking_05,BRA,4,,fifa_women_points=2053.0,2053.0
fifa_women_ranking_05,SWE,5,,fifa_women_points=2012.0,2012.0
fifa_women_ranking_05,PRK,6,,fifa_women_points=1999.0,1999.0
fifa_women_ranking_05,FRA,7,,fifa_women_points=1997.0,1997.0
fifa_women_ranking_05,DNK,8,,fifa_women_points=1977.0,1977.0
fifa_women_ranking_05,CHN,9,,fifa_women_points=1950.0,1950.0
fifa_women_ranking_05,ITA,10,,fifa_women_points=1939.0,1939.0
fifa_women_ranking_06,DEU,1,gold,fifa_women_points=2229.0,2229.0
fifa_women_ranking_06,USA,2,silver,fifa_women_points=2184.0,2184.0
fifa_women_ranking_06,NOR,3,bronze,fifa_women_points=2075.0,2075.0
fifa_women_ranking_06,SWE,4,,fifa_women_points=2037.0,2037.0
fifa_women_ranking_06,PRK,5,,fifa_women_points=2024.0,2024.0
fifa_women_ranking_06,BRA,6,,fifa_women_points=2016.0,2016.0
fifa_women_ranking_06,FRA,7,,fifa_women_points=1991.0,1991.0
fifa_women_ranking_06,DNK,8,,fifa_women_points=1975.0,1975.0
fifa_women_ranking_06,CHN,9,,fifa_women_points=1970.0,1970.0
fifa_women_ranking_06,JPN,10,,fifa_women_points=1950.0,1950.0
fifa_women_ranking_07,DEU,1,gold,fifa_women_points=2201.0,2201.0
fifa_women_ranking_07,USA,2,silver,fifa_women_points=2186.0,2186.0
fifa_women_ranking_07,SWE,3,bronze,fifa_women_points=2086.0,2086.0
fifa_women_ranking_07,BRA,4,,fifa_women_points=2082.0,2082.0
fifa_women_ranking_07,NOR,5,,fifa_women_points=2040.0,2040.0
fifa_women_ranking_07,PRK,6,,fifa_women_points=2029.0,2029.0
fifa_women_ranking_07,FRA,7,,fifa_women_points=2003.0,2003.0
fifa_women_ranking_07,DNK,8,,fifa_women_points=1960.0,1960.0
fifa_women_ranking_07,CAN,9,,fifa_women_points=1950.0,1950.0
fifa_women_ranking_07,ENG,10,,fifa_women_points=1946.0,1946.0
fifa_women_ranking_08,USA,1,gold,fifa_women_points=2197.0,2197.0
fifa_women_ranking_08,DEU,2,silver,fifa_women_points=2154.0,2154.0
fifa_women_ranking_08,BRA,3,bronze,fifa_women_points=2131.0,2131.0
fifa_women_ranking_08,SWE,4,,fifa_women_points=2059.0,2059.0
fifa_women_ranking_08,PRK,5,,fifa_women_points=2026.0,2026.0
fifa_women_ranking_08,NOR,6,,fifa_women_points=2019.0,2019.0
fifa_women_ranking_08,DNK,7,,fifa_women_points=1990.0,1990.0
fifa_women_ranking_08,FRA,8,,fifa_women_points=1988.0,1988.0
fifa_women_ranking_08,JPN,9,,fifa_women_points=1985.0,1985.0
fifa_women_ranking_08,ENG,10,,fifa_women_points=1950.0,1950.0
fifa_women_ranking_09,USA,1,gold,fifa_women_points=2210.0,2210.0
fifa_women_ranking_09,DEU,2,silver,fifa_women_points=2149.0,2149.0
fifa_women_ranking_09,BRA,3,bronze,fifa_women_points=2122.0,2122.0
fifa_women_ranking_09,SWE,4,,fifa_women_points=2067.0,2067.0
fifa_women_ranking_09,PRK,5,,fifa_women_points=2026.0,2026.0
fifa_women_ranking_09,JPN,6,,fifa_women_points=2010.0,2010.0
fifa_women_ranking_09,NOR,7,,fifa_women_points=2001.0,2001.0
fifa_women_ranking_09,ENG,8,,fifa_women_points=1977.0,1977.0
fifa_women_ranking_09,FRA,9,,fifa_women_points=1968.0,1968.0
fifa_women_ranking_09,DNK,10,,fifa_women_points=1955.0,1955.0
fifa_women_ranking_10,USA,1,gold,fifa_women_points=2185.0,2185.0
fifa_women_ranking_10,DEU,2,silver,fifa_women_points=2153.0,2153.0
fifa_women_ranking_10,BRA,3,bronze,fifa_women_points=2116.0,2116.0
fifa_women_ranking_10,SWE,4,,fifa_women_points=2063.0,2063.0
fifa_women_ranking_10,JPN,5,,fifa_women_points=2036.0,2036.0
fifa_women_ranking_10,PRK,6,,fifa_women_points=2005.0,2005.0
fifa_women_ranking_10,NOR,7,,fifa_women_points=2002.0,2002.0
fifa_women_ranking_10,FRA,8,,fifa_women_points=1998.0,1998.0
fifa_women_ranking_10,CAN,9,,fifa_women_points=1974.0,1974.0
fifa_women_ranking_10,ENG,10,,fifa_women_points=1973.0,1973.0
fifa_women_ranking_11,USA,1,gold,fifa_women_points=2148.0,2148.0
fifa_women_ranking_11,DEU,2,silver,fifa_women_points=2143.0,2143.0
fifa_women_ranking_11,JPN,3,bronze,fifa_women_points=2106.0,2106.0
fifa_women_ranking_11,BRA,4,,fifa_women_points=2093.0,2093.0
fifa_women_ranking_11,SWE,5,,fifa_women_points=2073.0,2073.0
fifa_women_ranking_11,FRA,6,,fifa_women_points=1990.0,1990.0
fifa_women_ranking_11,CAN,7,,fifa_women_points=1989.0,1989.0
fifa_women_ranking_11,ENG,8,,fifa_women_points=1983.0,1983.0
fifa_women_ranking_11,PRK,9,,fifa_women_points=1967.0,1967.0
fifa_women_ranking_11,AUS,10,,fifa_women_points=1956.0,1956.0
fifa_women_ranking_12,USA,1,gold,fifa_women_points=2209.0,2209.0
fifa_women_ranking_12,DEU,2,silver,fifa_women_points=2171.0,2171.0
fifa_women_ranking_12,JPN,3,bronze,fifa_women_points=2110.0,2110.0
fifa_women_ranking_12,BRA,4,,fifa_women_points=2044.0,2044.0
fifa_women_ranking_12,FRA,5,,fifa_women_points=2033.0,2033.0
fifa_women_ranking_12,SWE,6,,fifa_women_points=2021.0,2021.0
fifa_women_ranking_12,CAN,7,,fifa_women_points=2006.0,2006.0
fifa_women_ranking_12,ENG,8,,fifa_women_points=1976.0,1976.0
fifa_women_ranking_12,AUS,9,,fifa_women_points=1943.0,1943.0
fifa_women_ranking_12,PRK,10,,fifa_women_points=1943.0,1943.0
fifa_women_ranking_13,USA,1,gold,fifa_women_points=2228.0,2228.0
fifa_women_ranking_13,DEU,2,silver,fifa_women_points=2156.0,2156.0
fifa_women_ranking_13,JPN,3,bronze,fifa_women_points=2071.0,2071.0
fifa_women_ranking_13,BRA,4,,fifa_women_points=2031.0,2031.0
fifa_women_ranking_13,FRA,5,,fifa_women_points=2027.0,2027.0
fifa_women_ranking_13,SWE,6,,fifa_women_points=2021.0,2021.0
fifa_women_ranking_13,CAN,7,,fifa_women_points=1978.0,1978.0
