event_id,participant_id,rank,medal,score_raw,points_awarded
fifa_womens_world_cup_91,USA,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_91,NOR,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_91,SWE,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_91,DEU,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_95,NOR,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_95,DEU,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_95,USA,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_95,CHN,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_99,USA,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_99,CHN,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_99,BRA,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_99,NOR,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_03,DEU,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_03,SWE,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_03,USA,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_03,CAN,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_07,DEU,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_07,BRA,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_07,USA,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_07,NOR,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_11,JPN,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_11,USA,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_11,SWE,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_11,FRA,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_15,USA,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_15,JPN,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_15,ENG,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_15,DEU,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_19,USA,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_19,NLD,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_19,SWE,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_19,ENG,4,,womens_world_cup_final_rank=4,4.0
fifa_womens_world_cup_23,ESP,1,gold,womens_world_cup_final_rank=1,10.0
fifa_womens_world_cup_23,ENG,2,silver,womens_world_cup_final_rank=2,7.0
fifa_womens_world_cup_23,SWE,3,bronze,womens_world_cup_final_rank=3,5.0
fifa_womens_world_cup_23,AUS,4,,womens_world_cup_final_rank=4,4.0
