country_id,iso2,iso3,name_en,name_fr
BGR,BG,BGR,Bulgaria,
ROU,RO,ROU,Romania,
LVA,LV,LVA,Latvia,
GRC,GR,GRC,Greece,
AUS,AU,AUS,Australia,
UKR,UA,UKR,Ukraine,
CHN,CN,CHN,China,
BLR,BY,BLR,Belarus,
USA,US,USA,United States,
CUB,CU,CUB,Cuba,
HUN,HU,HUN,Hungary,
ITA,IT,ITA,Italy,
RUS,RU,RUS,Russia,
BRA,BR,BRA,Brazil,
NLD,NL,NLD,Netherlands,
UZB,UZ,UZB,Uzbekistan,
SVN,SI,SVN,Slovenia,
JPN,JP,JPN,Japan,
POL,PL,POL,Poland,
ESP,ES,ESP,Spain,
CAN,CA,CAN,Canada,
GBR,GB,GBR,Great Britain,
PRK,KP,PRK,"Korea, Democratic People's Republic of",
FRA,FR,FRA,France,
DEU,DE,DEU,Germany,
KOR,KR,KOR,"Korea, Republic of",
ISR,IL,ISR,Israel,
CHE,CH,CHE,Switzerland,
VIE,,VIE,Vietnam,
MEX,MX,MEX,Mexico,
HRV,HR,HRV,Croatia,
AZE,AZ,AZE,Azerbaijan,
ARM,AM,ARM,Armenia,
BEL,BE,BEL,Belgium,
PHL,PH,PHL,Philippines,
TPE,,TPE,Chinese Taipei,
TUR,TR,TUR,Türkiye,
IRL,IE,IRL,Ireland,
FIN,FI,FIN,Finland,
RGF,,RGF,Russian Gymnastics Federation,
JOR,JO,JOR,Jordan,
KAZ,KZ,KAZ,Kazakhstan,
DZA,DZ,DZA,Algeria,
AIN,,AIN,Individual Neutral Athletes,
