event_id,competition_id,discipline_id,gender,event_class,event_date
fig_artistic_gymnastics_world_championships_2001_men_floor-exercise,fig_artistic_gymnastics_world_championships,artistic-gymnastics-floor-exercise,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_horizontal-bar,fig_artistic_gymnastics_world_championships,artistic-gymnastics-horizontal-bar,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_individual-all-around,fig_artistic_gymnastics_world_championships,artistic-gymnastics-individual-all-around,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_parallel-bars,fig_artistic_gymnastics_world_championships,artistic-gymnastics-parallel-bars,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_pommel-horse,fig_artistic_gymnastics_world_championships,artistic-gymnastics-pommel-horse,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_still-rings,fig_artistic_gymnastics_world_championships,artistic-gymnastics-still-rings,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_team,fig_artistic_gymnastics_world_championships,artistic-gymnastics-team,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_men_vault,fig_artistic_gymnastics_world_championships,artistic-gymnastics-vault,men,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_balance-beam,fig_artistic_gymnastics_world_championships,artistic-gymnastics-balance-beam,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_floor-exercise,fig_artistic_gymnastics_world_championships,artistic-gymnastics-floor-exercise,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_individual-all-around,fig_artistic_gymnastics_world_championships,artistic-gymnastics-individual-all-around,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_team,fig_artistic_gymnastics_world_championships,artistic-gymnastics-team,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_uneven-bars,fig_artistic_gymnastics_world_championships,artistic-gymnastics-uneven-bars,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2001_women_vault,fig_artistic_gymnastics_world_championships,artistic-gymnastics-vault,women,podium_top3_with_ties,2001-12-31
fig_artistic_gymnastics_world_championships_2002_men_floor-exercise,fig_artistic_gymnastics_world_championships,artistic-gymnastics-floor-exercise,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_men_horizontal-bar,fig_artistic_gymnastics_world_championships,artistic-gymnastics-horizontal-bar,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_men_parallel-bars,fig_artistic_gymnastics_world_championships,artistic-gymnastics-parallel-bars,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_men_pommel-horse,fig_artistic_gymnastics_world_championships,artistic-gymnastics-pommel-horse,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_men_still-rings,fig_artistic_gymnastics_world_championships,artistic-gymnastics-still-rings,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_men_vault,fig_artistic_gymnastics_world_championships,artistic-gymnastics-vault,men,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_women_balance-beam,fig_artistic_gymnastics_world_championships,artistic-gymnastics-balance-beam,women,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_women_floor-exercise,fig_artistic_gymnastics_world_championships,artistic-gymnastics-floor-exercise,women,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_women_uneven-bars,fig_artistic_gymnastics_world_championships,artistic-gymnastics-uneven-bars,women,podium_top3_with_ties,2002-12-31
fig_artistic_gymnastics_world_championships_2002_women_vault,fig_artistic_gymnastics_world_championships,artistic-gymnastics-vault,women,podium_top3_with_ties,2002-12-31
