participant_id,type,display_name,country_id
fig_athlete_Yordan_Yovchev_BGR,athlete,Yordan Yovchev,BGR
fig_athlete_Marian_Drgulescu_ROU,athlete,Marian Drăgulescu,ROU
fig_athlete_Igors_Vihrovs_LVA,athlete,Igors Vihrovs,LVA
fig_athlete_Vlasios_Maras_GRC,athlete,Vlasios Maras,GRC
fig_athlete_Philippe_Rizzo_AUS,athlete,Philippe Rizzo,AUS
fig_athlete_Alexander_Beresh_UKR,athlete,Alexander Beresh,UKR
fig_athlete_Feng_Jing_CHN,athlete,Feng Jing,CHN
fig_athlete_Ivan_Ivankov_BLR,athlete,Ivan Ivankov,BLR
fig_athlete_Sean_Townsend_USA,athlete,Sean Townsend,USA
fig_athlete_Erick_López_CUB,athlete,Erick López,CUB
fig_athlete_Marius_Urzic_ROU,athlete,Marius Urzică,ROU
fig_athlete_Xiao_Qin_CHN,athlete,Xiao Qin,CHN
fig_athlete_Szilveszter_Csollány_HUN,athlete,Szilveszter Csollány,HUN
fig_athlete_Andrea_Coppolino_ITA,athlete,Andrea Coppolino,ITA
fig_team_Belarus_BLR,team,Belarus,BLR
fig_team_United_States_USA,team,United States,USA
fig_team_Ukraine_UKR,team,Ukraine,UKR
fig_athlete_Jevgijs_Saproenko_LVA,athlete,Jevgēņijs Saproņenko,LVA
fig_athlete_Charles_Tamayo_CUB,athlete,Charles Tamayo,CUB
fig_athlete_Andreea_Rducan_ROU,athlete,Andreea Răducan,ROU
fig_athlete_Ludmila_Ezhova_RUS,athlete,Ludmila Ezhova,RUS
fig_athlete_Sun_Xiaojiao_CHN,athlete,Sun Xiaojiao,CHN
fig_athlete_Daniele_Hypólito_BRA,athlete,Daniele Hypólito,BRA
fig_athlete_Svetlana_Khorkina_RUS,athlete,Svetlana Khorkina,RUS
fig_athlete_Natalia_Ziganshina_RUS,athlete,Natalia Ziganshina,RUS
fig_team_Romania_ROU,team,Romania,ROU
fig_team_Russia_RUS,team,Russia,RUS
fig_athlete_Renske_Endel_NLD,athlete,Renske Endel,NLD
fig_athlete_Katie_Heenan_USA,athlete,Katie Heenan,USA
fig_athlete_Oksana_Chusovitina_UZB,athlete,Oksana Chusovitina,UZB
fig_athlete_Paul_Hamm_USA,athlete,Paul Hamm,USA
fig_athlete_Alja_Pegan_SVN,athlete,Aljaž Pegan,SVN
fig_athlete_Li_Xiaopeng_CHN,athlete,Li Xiaopeng,CHN
fig_athlete_Mitja_Petkovek_SVN,athlete,Mitja Petkovšek,SVN
fig_athlete_Alexei_Sinkevich_BLR,athlete,Alexei Sinkevich,BLR
fig_athlete_Takehiro_Kashima_JPN,athlete,Takehiro Kashima,JPN
fig_athlete_Matteo_Morandi_ITA,athlete,Matteo Morandi,ITA
fig_athlete_Leszek_Blanik_POL,athlete,Leszek Blanik,POL
fig_athlete_Yang_Wei_CHN,athlete,Yang Wei,CHN
fig_athlete_Ashley_Postell_USA,athlete,Ashley Postell,USA
fig_athlete_Oana_Ban_ROU,athlete,Oana Ban,ROU
fig_athlete_Irina_Yarotska_UKR,athlete,Irina Yarotska,UKR
fig_athlete_Elena_Gómez_ESP,athlete,Elena Gómez,ESP
fig_athlete_Verona_van_de_Leur_NLD,athlete,Verona van de Leur,NLD
fig_athlete_Samantha_Sheehan_USA,athlete,Samantha Sheehan,USA
fig_athlete_Courtney_Kupets_USA,athlete,Courtney Kupets,USA
fig_athlete_Oana_Petrovschi_ROU,athlete,Oana Petrovschi,ROU
fig_athlete_Elena_Zamolodchikova_RUS,athlete,Elena Zamolodchikova,RUS
fig_athlete_Kyle_Shewfelt_CAN,athlete,Kyle Shewfelt,CAN
fig_athlete_Igor_Cassina_ITA,athlete,Igor Cassina,ITA
fig_athlete_Alexei_Nemov_RUS,athlete,Alexei Nemov,RUS
fig_athlete_Hiroyuki_Tomita_JPN,athlete,Hiroyuki Tomita,JPN
fig_athlete_Huang_Xu_CHN,athlete,Huang Xu,CHN
fig_athlete_Teng_Haibin_CHN,athlete,Teng Haibin,CHN
fig_athlete_Nikolai_Kryukov_RUS,athlete,Nikolai Kryukov,RUS
fig_athlete_Demosthenes_Tampakos_GRC,athlete,Demosthenes Tampakos,GRC
fig_team_China_CHN,team,China,CHN
fig_team_Japan_JPN,team,Japan,JPN
fig_athlete_Fan_Ye_CHN,athlete,Fan Ye,CHN
fig_athlete_Ctlina_Ponor_ROU,athlete,Cătălina Ponor,ROU
fig_athlete_Daiane_dos_Santos_BRA,athlete,Daiane dos Santos,BRA
fig_athlete_Carly_Patterson_USA,athlete,Carly Patterson,USA
fig_athlete_Zhang_Nan_CHN,athlete,Zhang Nan,CHN
fig_team_Australia_AUS,team,Australia,AUS
fig_athlete_Chellsie_Memmel_USA,athlete,Chellsie Memmel,USA
fig_athlete_Hollie_Vise_USA,athlete,Hollie Vise,USA
fig_athlete_Beth_Tweddle_GBR,athlete,Beth Tweddle,GBR
fig_athlete_Kang_Yun_Mi_PRK,athlete,Kang Yun Mi,PRK
fig_athlete_Diego_Hypólito_BRA,athlete,Diego Hypólito,BRA
fig_athlete_Brandon_ONeill_CAN,athlete,Brandon O'Neill,CAN
fig_athlete_Liang_Fuliang_CHN,athlete,Liang Fuliang,CHN
fig_athlete_Róbert_Gál_HUN,athlete,Róbert Gál,HUN
fig_athlete_Yann_Cucherat_FRA,athlete,Yann Cucherat,FRA
fig_athlete_Valeri_Goncharov_UKR,athlete,Valeri Goncharov,UKR
fig_athlete_Hisashi_Mizutori_JPN,athlete,Hisashi Mizutori,JPN
fig_athlete_Denis_Savenkov_BLR,athlete,Denis Savenkov,BLR
fig_athlete_Ioan_Suciu_ROU,athlete,Ioan Suciu,ROU
fig_athlete_Yuri_van_Gelder_NLD,athlete,Yuri van Gelder,NLD
fig_athlete_Alexander_Safoshkin_RUS,athlete,Alexander Safoshkin,RUS
fig_athlete_Alin_Jivan_ROU,athlete,Alin Jivan,ROU
fig_athlete_Nastia_Liukin_USA,athlete,Nastia Liukin,USA
fig_athlete_Alicia_Sacramone_USA,athlete,Alicia Sacramone,USA
fig_athlete_Suzanne_Harmes_NLD,athlete,Suzanne Harmes,NLD
fig_athlete_Monette_Russo_AUS,athlete,Monette Russo,AUS
fig_athlete_Cheng_Fei_CHN,athlete,Cheng Fei,CHN
fig_athlete_Fabian_Hambüchen_DEU,athlete,Fabian Hambüchen,DEU
fig_athlete_Yoo_Won-chul_KOR,athlete,Yoo Won-chul,KOR
fig_athlete_Prashanth_Sellathurai_AUS,athlete,Prashanth Sellathurai,AUS
fig_athlete_Alexander_Artemev_USA,athlete,Alexander Artemev,USA
fig_athlete_Chen_Yibing_CHN,athlete,Chen Yibing,CHN
fig_athlete_Dmitry_Kasperovich_BLR,athlete,Dmitry Kasperovich,BLR
fig_athlete_Iryna_Krasnianska_UKR,athlete,Iryna Krasnianska,UKR
fig_athlete_Sandra_Izbaa_ROU,athlete,Sandra Izbașa,ROU
fig_athlete_Elyse_Hopfner-Hibbs_CAN,athlete,Elyse Hopfner-Hibbs,CAN
fig_athlete_Jana_Bieger_USA,athlete,Jana Bieger,USA
fig_athlete_Vanessa_Ferrari_ITA,athlete,Vanessa Ferrari,ITA
fig_athlete_Oksana_Chusovitina_DEU,athlete,Oksana Chusovitina,DEU
fig_athlete_Gervasio_Deferr_ESP,athlete,Gervasio Deferr,ESP
fig_athlete_Kim_Dae-Eun_KOR,athlete,Kim Dae-Eun,KOR
fig_athlete_Anton_Fokin_UZB,athlete,Anton Fokin,UZB
fig_athlete_Krisztián_Berki_HUN,athlete,Krisztián Berki,HUN
fig_athlete_Louis_Smith_GBR,athlete,Louis Smith,GBR
fig_team_Germany_DEU,team,Germany,DEU
fig_athlete_Ilie_Daniel_Popescu_ROU,athlete,Ilie Daniel Popescu,ROU
fig_athlete_Ri_Se-Gwang_PRK,athlete,Ri Se-Gwang,PRK
fig_athlete_Li_Shanshan_CHN,athlete,Li Shanshan,CHN
fig_athlete_Steliana_Nistor_ROU,athlete,Steliana Nistor,ROU
fig_athlete_Shawn_Johnson_USA,athlete,Shawn Johnson,USA
fig_athlete_Cassy_Vericel_FRA,athlete,Cassy Vericel,FRA
fig_athlete_Jade_Barbosa_BRA,athlete,Jade Barbosa,BRA
fig_athlete_Ksenia_Semenova_RUS,athlete,Ksenia Semenova,RUS
fig_athlete_Yang_Yilin_CHN,athlete,Yang Yilin,CHN
fig_athlete_Hong_Su_Jong_PRK,athlete,Hong Su Jong,PRK
fig_athlete_Zou_Kai_CHN,athlete,Zou Kai,CHN
fig_athlete_Alexander_Shatilov_ISR,athlete,Alexander Shatilov,ISR
fig_athlete_Epke_Zonderland_NLD,athlete,Epke Zonderland,NLD
fig_athlete_Khei_Uchimura_JPN,athlete,Kōhei Uchimura,JPN
fig_athlete_Daniel_Keatings_GBR,athlete,Daniel Keatings,GBR
fig_athlete_Yury_Ryazanov_RUS,athlete,Yury Ryazanov,RUS
fig_athlete_Wang_Guanyin_CHN,athlete,Wang Guanyin,CHN
fig_athlete_Feng_Zhe_CHN,athlete,Feng Zhe,CHN
fig_athlete_Kazuhito_Tanaka_JPN,athlete,Kazuhito Tanaka,JPN
fig_athlete_Zhang_Hongtao_CHN,athlete,Zhang Hongtao,CHN
