event_id,participant_id,rank,medal,score_raw,points_awarded
fig_artistic_gymnastics_world_championships_2001_men_floor-exercise,fig_athlete_Yordan_Yovchev_BGR,1,gold,discipline=Artistic Gymnastics - Floor exercise;event=Floor exercise;entry_country=BGR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_floor-exercise,fig_athlete_Marian_Drgulescu_ROU,1,gold,discipline=Artistic Gymnastics - Floor exercise;event=Floor exercise;entry_country=ROU;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_floor-exercise,fig_athlete_Igors_Vihrovs_LVA,3,bronze,discipline=Artistic Gymnastics - Floor exercise;event=Floor exercise;entry_country=LVA;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_horizontal-bar,fig_athlete_Vlasios_Maras_GRC,1,gold,discipline=Artistic Gymnastics - Horizontal bar;event=Horizontal bar;entry_country=GRC;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_horizontal-bar,fig_athlete_Philippe_Rizzo_AUS,2,silver,discipline=Artistic Gymnastics - Horizontal bar;event=Horizontal bar;entry_country=AUS;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_horizontal-bar,fig_athlete_Alexander_Beresh_UKR,2,silver,discipline=Artistic Gymnastics - Horizontal bar;event=Horizontal bar;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_individual-all-around,fig_athlete_Feng_Jing_CHN,1,gold,discipline=Artistic Gymnastics - Individual all-around;event=Individual all-around;entry_country=CHN;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_individual-all-around,fig_athlete_Ivan_Ivankov_BLR,2,silver,discipline=Artistic Gymnastics - Individual all-around;event=Individual all-around;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_individual-all-around,fig_athlete_Yordan_Yovchev_BGR,3,bronze,discipline=Artistic Gymnastics - Individual all-around;event=Individual all-around;entry_country=BGR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_parallel-bars,fig_athlete_Sean_Townsend_USA,1,gold,discipline=Artistic Gymnastics - Parallel bars;event=Parallel bars;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_parallel-bars,fig_athlete_Erick_López_CUB,2,silver,discipline=Artistic Gymnastics - Parallel bars;event=Parallel bars;entry_country=CUB;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_parallel-bars,fig_athlete_Ivan_Ivankov_BLR,3,bronze,discipline=Artistic Gymnastics - Parallel bars;event=Parallel bars;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_pommel-horse,fig_athlete_Marius_Urzic_ROU,1,gold,discipline=Artistic Gymnastics - Pommel horse;event=Pommel horse;entry_country=ROU;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_pommel-horse,fig_athlete_Xiao_Qin_CHN,2,silver,discipline=Artistic Gymnastics - Pommel horse;event=Pommel horse;entry_country=CHN;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_pommel-horse,fig_athlete_Alexander_Beresh_UKR,3,bronze,discipline=Artistic Gymnastics - Pommel horse;event=Pommel horse;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_still-rings,fig_athlete_Yordan_Yovchev_BGR,1,gold,discipline=Artistic Gymnastics - Still rings;event=Still rings;entry_country=BGR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_still-rings,fig_athlete_Szilveszter_Csollány_HUN,2,silver,discipline=Artistic Gymnastics - Still rings;event=Still rings;entry_country=HUN;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_still-rings,fig_athlete_Andrea_Coppolino_ITA,3,bronze,discipline=Artistic Gymnastics - Still rings;event=Still rings;entry_country=ITA;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_team,fig_team_Belarus_BLR,1,gold,discipline=Artistic Gymnastics - Team;event=Team;entry_country=BLR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_team,fig_team_United_States_USA,2,silver,discipline=Artistic Gymnastics - Team;event=Team;entry_country=USA;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
fig_artistic_gymnastics_world_championships_2001_men_team,fig_team_Ukraine_UKR,3,bronze,discipline=Artistic Gymnastics - Team;event=Team;entry_country=UKR;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,5.0
fig_artistic_gymnastics_world_championships_2001_men_vault,fig_athlete_Marian_Drgulescu_ROU,1,gold,discipline=Artistic Gymnastics - Vault;event=Vault;entry_country=ROU;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,10.0
fig_artistic_gymnastics_world_championships_2001_men_vault,fig_athlete_Jevgijs_Saproenko_LVA,2,silver,discipline=Artistic Gymnastics - Vault;event=Vault;entry_country=LVA;source_url=https://en.wikipedia.org/wiki/2001_World_Artistic_Gymnastics_Championships,7.0
