event_id,competition_id,discipline_id,gender,event_class,event_date
fih_hockey_world_cup_men_2002,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2002-12-31
fih_hockey_world_cup_men_2006,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2006-12-31
fih_hockey_world_cup_men_2010,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2010-12-31
fih_hockey_world_cup_men_2014,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2014-12-31
fih_hockey_world_cup_men_2018,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2018-12-31
fih_hockey_world_cup_men_2023,fih_hockey_world_cup_men,hockey,men,final_ranking_top4,2023-12-31
fih_hockey_world_cup_women_2002,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2002-12-31
fih_hockey_world_cup_women_2006,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2006-12-31
fih_hockey_world_cup_women_2010,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2010-12-31
fih_hockey_world_cup_women_2014,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2014-12-31
fih_hockey_world_cup_women_2018,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2018-12-31
fih_hockey_world_cup_women_2022,fih_hockey_world_cup_women,hockey,women,final_ranking_top4,2022-12-31
