event_id,participant_id,rank,medal,score_raw,points_awarded
fih_hockey_world_cup_men_2002,DEU,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2002,AUS,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
fih_hockey_world_cup_men_2002,NLD,3,bronze,fih_hockey_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,5.0
fih_hockey_world_cup_men_2002,KOR,4,,fih_hockey_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,4.0
fih_hockey_world_cup_men_2006,DEU,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2006,AUS,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
fih_hockey_world_cup_men_2006,ESP,3,bronze,fih_hockey_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,5.0
fih_hockey_world_cup_men_2006,KOR,4,,fih_hockey_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,4.0
fih_hockey_world_cup_men_2010,AUS,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2010,DEU,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
fih_hockey_world_cup_men_2010,NLD,3,bronze,fih_hockey_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,5.0
fih_hockey_world_cup_men_2010,ENG,4,,fih_hockey_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,4.0
fih_hockey_world_cup_men_2014,AUS,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2014,NLD,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
fih_hockey_world_cup_men_2014,ARG,3,bronze,fih_hockey_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,5.0
fih_hockey_world_cup_men_2014,ENG,4,,fih_hockey_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,4.0
fih_hockey_world_cup_men_2018,BEL,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2018,NLD,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
fih_hockey_world_cup_men_2018,AUS,3,bronze,fih_hockey_world_cup_final_rank=3;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,5.0
fih_hockey_world_cup_men_2018,ENG,4,,fih_hockey_world_cup_final_rank=4;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,4.0
fih_hockey_world_cup_men_2023,DEU,1,gold,fih_hockey_world_cup_final_rank=1;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,10.0
fih_hockey_world_cup_men_2023,BEL,2,silver,fih_hockey_world_cup_final_rank=2;source_url=https://en.wikipedia.org/wiki/Men%27s_FIH_Hockey_World_Cup,7.0
