event_id,competition_id,discipline_id,gender,event_class,event_date
fih_men_world_ranking_2003,fih_men_world_ranking,hockey,men,ranking_release_top10,2003-12-31
fih_men_world_ranking_2004,fih_men_world_ranking,hockey,men,ranking_release_top10,2004-12-31
fih_men_world_ranking_2005,fih_men_world_ranking,hockey,men,ranking_release_top10,2005-12-31
fih_men_world_ranking_2006,fih_men_world_ranking,hockey,men,ranking_release_top10,2006-12-31
fih_men_world_ranking_2007,fih_men_world_ranking,hockey,men,ranking_release_top10,2007-12-31
fih_men_world_ranking_2008,fih_men_world_ranking,hockey,men,ranking_release_top10,2008-12-31
fih_men_world_ranking_2009,fih_men_world_ranking,hockey,men,ranking_release_top10,2009-12-31
fih_men_world_ranking_2010,fih_men_world_ranking,hockey,men,ranking_release_top10,2010-12-31
fih_men_world_ranking_2011,fih_men_world_ranking,hockey,men,ranking_release_top10,2011-12-31
fih_men_world_ranking_2012,fih_men_world_ranking,hockey,men,ranking_release_top10,2012-12-31
fih_men_world_ranking_2013,fih_men_world_ranking,hockey,men,ranking_release_top10,2013-12-31
fih_men_world_ranking_2014,fih_men_world_ranking,hockey,men,ranking_release_top10,2014-12-31
fih_men_world_ranking_2015,fih_men_world_ranking,hockey,men,ranking_release_top10,2015-12-31
fih_men_world_ranking_2016,fih_men_world_ranking,hockey,men,ranking_release_top10,2016-12-31
fih_men_world_ranking_2017,fih_men_world_ranking,hockey,men,ranking_release_top10,2017-12-31
fih_men_world_ranking_2018,fih_men_world_ranking,hockey,men,ranking_release_top10,2018-12-31
fih_men_world_ranking_2019,fih_men_world_ranking,hockey,men,ranking_release_top10,2019-12-31
fih_men_world_ranking_2020,fih_men_world_ranking,hockey,men,ranking_release_top10,2020-12-31
fih_men_world_ranking_2021,fih_men_world_ranking,hockey,men,ranking_release_top10,2021-12-31
fih_men_world_ranking_2022,fih_men_world_ranking,hockey,men,ranking_release_top10,2022-12-31
fih_men_world_ranking_2023,fih_men_world_ranking,hockey,men,ranking_release_top10,2023-12-31
fih_men_world_ranking_2024,fih_men_world_ranking,hockey,men,ranking_release_top10,2024-12-31
fih_women_world_ranking_2003,fih_women_world_ranking,hockey,women,ranking_release_top10,2003-12-31
fih_women_world_ranking_2004,fih_women_world_ranking,hockey,women,ranking_release_top10,2004-12-31
fih_women_world_ranking_2005,fih_women_world_ranking,hockey,women,ranking_release_top10,2005-12-31
fih_women_world_ranking_2006,fih_women_world_ranking,hockey,women,ranking_release_top10,2006-12-31
fih_women_world_ranking_2007,fih_women_world_ranking,hockey,women,ranking_release_top10,2007-12-31
fih_women_world_ranking_2008,fih_women_world_ranking,hockey,women,ranking_release_top10,2008-12-31
fih_women_world_ranking_2009,fih_women_world_ranking,hockey,women,ranking_release_top10,2009-12-31
fih_women_world_ranking_2010,fih_women_world_ranking,hockey,women,ranking_release_top10,2010-12-31
fih_women_world_ranking_2011,fih_women_world_ranking,hockey,women,ranking_release_top10,2011-12-31
fih_women_world_ranking_2012,fih_women_world_ranking,hockey,women,ranking_release_top10,2012-12-31
fih_women_world_ranking_2013,fih_women_world_ranking,hockey,women,ranking_release_top10,2013-12-31
fih_women_world_ranking_2014,fih_women_world_ranking,hockey,women,ranking_release_top10,2014-12-31
fih_women_world_ranking_2015,fih_women_world_ranking,hockey,women,ranking_release_top10,2015-12-31
fih_women_world_ranking_2016,fih_women_world_ranking,hockey,women,ranking_release_top10,2016-12-31
fih_women_world_ranking_2017,fih_women_world_ranking,hockey,women,ranking_release_top10,2017-12-31
fih_women_world_ranking_2018,fih_women_world_ranking,hockey,women,ranking_release_top10,2018-12-31
fih_women_world_ranking_2019,fih_women_world_ranking,hockey,women,ranking_release_top10,2019-12-31
fih_women_world_ranking_2020,fih_women_world_ranking,hockey,women,ranking_release_top10,2020-12-31
fih_women_world_ranking_2021,fih_women_world_ranking,hockey,women,ranking_release_top10,2021-12-31
fih_women_world_ranking_2022,fih_women_world_ranking,hockey,women,ranking_release_top10,2022-12-31
fih_women_world_ranking_2023,fih_women_world_ranking,hockey,women,ranking_release_top10,2023-12-31
fih_women_world_ranking_2024,fih_women_world_ranking,hockey,women,ranking_release_top10,2024-12-31
