event_id,participant_id,rank,medal,score_raw,points_awarded
fih_men_world_ranking_2003,DEU,1,gold,fih_world_ranking_rank=1;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,10.0
fih_men_world_ranking_2003,NLD,2,silver,fih_world_ranking_rank=2;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,9.0
fih_men_world_ranking_2003,AUS,3,bronze,fih_world_ranking_rank=3;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,8.0
fih_men_world_ranking_2003,KOR,4,,fih_world_ranking_rank=4;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,7.0
fih_men_world_ranking_2003,PAK,5,,fih_world_ranking_rank=5;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,6.0
fih_men_world_ranking_2003,IND,6,,fih_world_ranking_rank=6;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,5.0
fih_men_world_ranking_2003,ARG,7,,fih_world_ranking_rank=7;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,4.0
fih_men_world_ranking_2003,ENG,8,,fih_world_ranking_rank=8;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,3.0
fih_men_world_ranking_2003,ESP,9,,fih_world_ranking_rank=9;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,2.0
fih_men_world_ranking_2003,MYS,10,,fih_world_ranking_rank=10;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,1.0
fih_men_world_ranking_2004,DEU,1,gold,fih_world_ranking_rank=1;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,10.0
fih_men_world_ranking_2004,AUS,2,silver,fih_world_ranking_rank=2;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,9.0
fih_men_world_ranking_2004,NLD,3,bronze,fih_world_ranking_rank=3;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,8.0
fih_men_world_ranking_2004,PAK,4,,fih_world_ranking_rank=4;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,7.0
fih_men_world_ranking_2004,IND,5,,fih_world_ranking_rank=5;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,6.0
fih_men_world_ranking_2004,ESP,6,,fih_world_ranking_rank=6;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,5.0
fih_men_world_ranking_2004,KOR,7,,fih_world_ranking_rank=7;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,4.0
fih_men_world_ranking_2004,NZL,8,,fih_world_ranking_rank=8;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,3.0
fih_men_world_ranking_2004,ENG,9,,fih_world_ranking_rank=9;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,2.0
fih_men_world_ranking_2004,ARG,10,,fih_world_ranking_rank=10;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,1.0
fih_men_world_ranking_2005,AUS,1,gold,fih_world_ranking_rank=1;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,10.0
fih_men_world_ranking_2005,NLD,2,silver,fih_world_ranking_rank=2;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,9.0
fih_men_world_ranking_2005,DEU,3,bronze,fih_world_ranking_rank=3;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,8.0
fih_men_world_ranking_2005,ESP,4,,fih_world_ranking_rank=4;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,7.0
fih_men_world_ranking_2005,PAK,5,,fih_world_ranking_rank=5;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,6.0
fih_men_world_ranking_2005,IND,6,,fih_world_ranking_rank=6;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,5.0
fih_men_world_ranking_2005,KOR,7,,fih_world_ranking_rank=7;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,4.0
fih_men_world_ranking_2005,ARG,8,,fih_world_ranking_rank=8;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,3.0
fih_men_world_ranking_2005,NZL,9,,fih_world_ranking_rank=9;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,2.0
fih_men_world_ranking_2005,ZAF,10,,fih_world_ranking_rank=10;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,1.0
fih_men_world_ranking_2006,DEU,1,gold,fih_world_ranking_rank=1;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,10.0
fih_men_world_ranking_2006,AUS,2,silver,fih_world_ranking_rank=2;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,9.0
fih_men_world_ranking_2006,ESP,3,bronze,fih_world_ranking_rank=3;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,8.0
fih_men_world_ranking_2006,NLD,4,,fih_world_ranking_rank=4;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,7.0
fih_men_world_ranking_2006,PAK,5,,fih_world_ranking_rank=5;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,6.0
fih_men_world_ranking_2006,KOR,6,,fih_world_ranking_rank=6;source_url=https://www.fih.hockey/static-assets/pdf/rankings-archive-2003-2024.zip,5.0
