event_id,competition_id,discipline_id,gender,event_class,event_date
fis_alpine_world_ski_championships_2001_men_combined,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_men_downhill,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_men_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_men_slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_men_super-g,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_women_combined,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_women_downhill,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_women_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_women_slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2001_women_super-g,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2001-12-31
fis_alpine_world_ski_championships_2003_men_combined,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_men_downhill,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_men_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_men_slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_men_super-g,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_women_combined,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_women_downhill,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_women_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_women_slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2003_women_super-g,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2003-12-31
fis_alpine_world_ski_championships_2005_men_combined,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_men_downhill,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_men_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_men_slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_men_super-g,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_mixed_mixed-team,fis_alpine_world_ski_championships,alpine-skiing,mixed,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_women_combined,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_women_downhill,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_women_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_women_slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2005_women_super-g,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2005-12-31
fis_alpine_world_ski_championships_2007_men_combined,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_men_downhill,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_men_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_men_slalom,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_men_super-g,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_mixed_mixed-team,fis_alpine_world_ski_championships,alpine-skiing,mixed,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_women_combined,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_women_downhill,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_women_giant-slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_women_slalom,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2007_women_super-g,fis_alpine_world_ski_championships,alpine-skiing,women,podium_top3_with_ties,2007-12-31
fis_alpine_world_ski_championships_2009_men_combined,fis_alpine_world_ski_championships,alpine-skiing,men,podium_top3_with_ties,2009-12-31
