participant_id,type,display_name,country_id
fis_alpine_athlete_Kjetil_André_Aamodt_NOR,athlete,Kjetil André Aamodt,NOR
fis_alpine_athlete_Mario_Matt_AUT,athlete,Mario Matt,AUT
fis_alpine_athlete_Paul_Accola_CHE,athlete,Paul Accola,CHE
fis_alpine_athlete_Hannes_Trinkl_AUT,athlete,Hannes Trinkl,AUT
fis_alpine_athlete_Hermann_Maier_AUT,athlete,Hermann Maier,AUT
fis_alpine_athlete_Florian_Eckert_DEU,athlete,Florian Eckert,DEU
fis_alpine_athlete_Michael_von_Grünigen_CHE,athlete,Michael von Grünigen,CHE
fis_alpine_athlete_Frédéric_Covili_FRA,athlete,Frédéric Covili,FRA
fis_alpine_athlete_Benjamin_Raich_AUT,athlete,Benjamin Raich,AUT
fis_alpine_athlete_Mitja_Kunc_SVN,athlete,Mitja Kunc,SVN
fis_alpine_athlete_Pernilla_Wiberg_SWE,athlete,Pernilla Wiberg,SWE
fis_alpine_athlete_Renate_Götschl_AUT,athlete,Renate Götschl,AUT
fis_alpine_athlete_Florence_Masnada_FRA,athlete,Florence Masnada,FRA
fis_alpine_athlete_Michaela_Dorfmeister_AUT,athlete,Michaela Dorfmeister,AUT
fis_alpine_athlete_Stefanie_Schuster_AUT,athlete,Stefanie Schuster,AUT
fis_alpine_athlete_Sonja_Nef_CHE,athlete,Sonja Nef,CHE
fis_alpine_athlete_Karen_Putzer_ITA,athlete,Karen Putzer,ITA
fis_alpine_athlete_Anja_Pärson_SWE,athlete,Anja Pärson,SWE
fis_alpine_athlete_Christel_Pascal_FRA,athlete,Christel Pascal,FRA
fis_alpine_athlete_Hedda_Berntsen_NOR,athlete,Hedda Berntsen,NOR
fis_alpine_athlete_Régine_Cavagnoud_FRA,athlete,Régine Cavagnoud,FRA
fis_alpine_athlete_Isolde_Kostner_ITA,athlete,Isolde Kostner,ITA
fis_alpine_athlete_Hilde_Gerg_DEU,athlete,Hilde Gerg,DEU
fis_alpine_athlete_Bode_Miller_USA,athlete,Bode Miller,USA
fis_alpine_athlete_Lasse_Kjus_NOR,athlete,Lasse Kjus,NOR
fis_alpine_athlete_Michael_Walchhofer_AUT,athlete,Michael Walchhofer,AUT
fis_alpine_athlete_Bruno_Kernen_CHE,athlete,Bruno Kernen,CHE
fis_alpine_athlete_Hans_Knauß_AUT,athlete,Hans Knauß,AUT
fis_alpine_athlete_Erik_Schlopy_USA,athlete,Erik Schlopy,USA
fis_alpine_athlete_Ivica_Kosteli_HRV,athlete,Ivica Kostelić,HRV
fis_alpine_athlete_Silvan_Zurbriggen_CHE,athlete,Silvan Zurbriggen,CHE
fis_alpine_athlete_Giorgio_Rocca_ITA,athlete,Giorgio Rocca,ITA
fis_alpine_athlete_Stephan_Eberharter_AUT,athlete,Stephan Eberharter,AUT
fis_alpine_athlete_Janica_Kosteli_HRV,athlete,Janica Kostelić,HRV
fis_alpine_athlete_Nicole_Hosp_AUT,athlete,Nicole Hosp,AUT
fis_alpine_athlete_Marlies_Oester_CHE,athlete,Marlies Oester,CHE
fis_alpine_athlete_Mélanie_Turgeon_CAN,athlete,Mélanie Turgeon,CAN
fis_alpine_athlete_Alexandra_Meissnitzer_AUT,athlete,Alexandra Meissnitzer,AUT
fis_alpine_athlete_Corinne_Rey-Bellet_CHE,athlete,Corinne Rey-Bellet,CHE
fis_alpine_athlete_Denise_Karbon_ITA,athlete,Denise Karbon,ITA
fis_alpine_athlete_Allison_Forsyth_CAN,athlete,Allison Forsyth,CAN
fis_alpine_athlete_Marlies_Schild_AUT,athlete,Marlies Schild,AUT
fis_alpine_athlete_Kirsten_Lee_Clark_USA,athlete,Kirsten Lee Clark,USA
fis_alpine_athlete_Jonna_Mendes_USA,athlete,Jonna Mendes,USA
