event_id,participant_id,rank,medal,score_raw,points_awarded
fis_alpine_world_ski_championships_2001_men_combined,fis_alpine_athlete_Kjetil_André_Aamodt_NOR,1,gold,event=Combined;entry_country=NOR;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_men_combined,fis_alpine_athlete_Mario_Matt_AUT,2,silver,event=Combined;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_men_combined,fis_alpine_athlete_Paul_Accola_CHE,3,bronze,event=Combined;entry_country=CHE;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_men_downhill,fis_alpine_athlete_Hannes_Trinkl_AUT,1,gold,event=Downhill;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_men_downhill,fis_alpine_athlete_Hermann_Maier_AUT,2,silver,event=Downhill;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_men_downhill,fis_alpine_athlete_Florian_Eckert_DEU,3,bronze,event=Downhill;entry_country=DEU;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_men_giant-slalom,fis_alpine_athlete_Michael_von_Grünigen_CHE,1,gold,event=Giant slalom;entry_country=CHE;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_men_giant-slalom,fis_alpine_athlete_Kjetil_André_Aamodt_NOR,2,silver,event=Giant slalom;entry_country=NOR;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_men_giant-slalom,fis_alpine_athlete_Frédéric_Covili_FRA,3,bronze,event=Giant slalom;entry_country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_men_slalom,fis_alpine_athlete_Mario_Matt_AUT,1,gold,event=Slalom;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_men_slalom,fis_alpine_athlete_Benjamin_Raich_AUT,2,silver,event=Slalom;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_men_slalom,fis_alpine_athlete_Mitja_Kunc_SVN,3,bronze,event=Slalom;entry_country=SVN;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_men_super-g,fis_alpine_athlete_Hannes_Trinkl_AUT,1,gold,event=Super-G;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_men_super-g,fis_alpine_athlete_Hermann_Maier_AUT,2,silver,event=Super-G;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_men_super-g,fis_alpine_athlete_Florian_Eckert_DEU,3,bronze,event=Super-G;entry_country=DEU;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_women_combined,fis_alpine_athlete_Pernilla_Wiberg_SWE,1,gold,event=Combined;entry_country=SWE;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
fis_alpine_world_ski_championships_2001_women_combined,fis_alpine_athlete_Renate_Götschl_AUT,2,silver,event=Combined;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,7.0
fis_alpine_world_ski_championships_2001_women_combined,fis_alpine_athlete_Florence_Masnada_FRA,3,bronze,event=Combined;entry_country=FRA;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,5.0
fis_alpine_world_ski_championships_2001_women_downhill,fis_alpine_athlete_Michaela_Dorfmeister_AUT,1,gold,event=Downhill;entry_country=AUT;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Alpine_World_Ski_Championships_2001,10.0
