event_id,competition_id,discipline_id,gender,event_class,event_date
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_30-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_4-10-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_50-km,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_combined-double-pursuit-skiathlon,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_individual-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_cross-country-skiing_women_3-4-5-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_nordic-combined-skiing_men_individual-large-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_nordic-combined-skiing_men_individual-normal-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_nordic-combined-skiing_men_team,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_ski-jumping_men_large-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_ski-jumping_men_large-hill-team,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_ski-jumping_men_normal-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2001_ski-jumping_men_normal-hill-team-discontinued,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2001-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_30-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_4-10-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_50-km,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_combined-double-pursuit-skiathlon,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_men_individual-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_cross-country-skiing_women_3-4-5-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_nordic-combined-skiing_men_individual-large-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_nordic-combined-skiing_men_individual-normal-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_nordic-combined-skiing_men_team,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_ski-jumping_men_large-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_ski-jumping_men_large-hill-team,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2003_ski-jumping_men_normal-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2003-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_4-10-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_50-km,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_combined-double-pursuit-skiathlon,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_individual-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_men_team-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_women_3-4-5-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_cross-country-skiing_women_team-sprint,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_nordic-combined-skiing_men_individual-large-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_nordic-combined-skiing_men_individual-normal-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_nordic-combined-skiing_men_team,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_ski-jumping_men_large-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_ski-jumping_men_large-hill-team,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_ski-jumping_men_normal-hill-individual,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2005_ski-jumping_men_normal-hill-team-discontinued,fis_nordic_world_ski_championships,ski-jumping,men,podium_top3_with_ties,2005-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_4-10-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_50-km,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_combined-double-pursuit-skiathlon,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_individual-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_men_team-sprint,fis_nordic_world_ski_championships,cross-country-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_women_3-4-5-7-5-km-relay,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_cross-country-skiing_women_team-sprint,fis_nordic_world_ski_championships,cross-country-skiing,women,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_nordic-combined-skiing_men_individual-large-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_nordic-combined-skiing_men_individual-normal-hill,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2007-12-31
fis_nordic_world_ski_championships_2007_nordic-combined-skiing_men_team,fis_nordic_world_ski_championships,nordic-combined-skiing,men,podium_top3_with_ties,2007-12-31
