participant_id,type,display_name,country_id
SWE_Per_Elofsson,athlete,Per Elofsson,SWE
SWE_Mathias_Fredriksson,athlete,Mathias Fredriksson,SWE
NOR_Odd-Bjørn_Hjelmeset,athlete,Odd-Bjørn Hjelmeset,NOR
EST_Andrus_Veerpalu,athlete,Andrus Veerpalu,EST
NOR_Frode_Estil,athlete,Frode Estil,NOR
RUS_Mikhail_Ivanov,athlete,Mikhail Ivanov,RUS
NOR,team,Norway,NOR
SWE,team,Sweden,SWE
DEU,team,Germany,DEU
ESP_Johann_Mühlegg,athlete,Johann Mühlegg,ESP
DEU_René_Sommerfeldt,athlete,René Sommerfeldt,DEU
RUS_Sergey_Kriyanin,athlete,Sergey Kriyanin,RUS
RUS_Vitaly_Denisov,athlete,Vitaly Denisov,RUS
NOR_Tor_Arne_Hetland,athlete,Tor Arne Hetland,NOR
ITA_Cristian_Zorzi,athlete,Cristian Zorzi,ITA
NOR_Håvard_Solbakken,athlete,Håvard Solbakken,NOR
RUS,team,Russia,RUS
ITA,team,Italy,ITA
DEU_Marco_Baacke,athlete,Marco Baacke,DEU
FIN_Samppa_Lajunen,athlete,Samppa Lajunen,FIN
DEU_Ronny_Ackermann,athlete,Ronny Ackermann,DEU
NOR_Bjarte_Engen_Vik,athlete,Bjarte Engen Vik,NOR
AUT_Felix_Gottwald,athlete,Felix Gottwald,AUT
AUT,team,Austria,AUT
FIN,team,Finland,FIN
DEU_Martin_Schmitt,athlete,Martin Schmitt,DEU
POL_Adam_Maysz,athlete,Adam Małysz,POL
FIN_Janne_Ahonen,athlete,Janne Ahonen,FIN
AUT_Martin_Höllwarth,athlete,Martin Höllwarth,AUT
DEU_Axel_Teichmann,athlete,Axel Teichmann,DEU
EST_Jaak_Mae,athlete,Jaak Mae,EST
NOR_Thomas_Alsgaard,athlete,Thomas Alsgaard,NOR
NOR_Anders_Aukland,athlete,Anders Aukland,NOR
CZE_Martin_Koukal,athlete,Martin Koukal,CZE
SWE_Anders_Södergren,athlete,Anders Södergren,SWE
SWE_Jörgen_Brink,athlete,Jörgen Brink,SWE
NOR_Tore_Ruud_Hofstad,athlete,Tore Ruud Hofstad,NOR
SWE_Thobias_Fredriksson,athlete,Thobias Fredriksson,SWE
NOR_Håvard_Bjerkeli,athlete,Håvard Bjerkeli,NOR
USA_Johnny_Spillane,athlete,Johnny Spillane,USA
FIN_Matti_Hautamäki,athlete,Matti Hautamäki,FIN
JPN_Noriaki_Kasai,athlete,Noriaki Kasai,JPN
JPN,team,Japan,JPN
NOR_Tommy_Ingebrigtsen,athlete,Tommy Ingebrigtsen,NOR
ITA_Pietro_Piller_Cottrer,athlete,Pietro Piller Cottrer,ITA
ITA_Fulvio_Valbusa,athlete,Fulvio Valbusa,ITA
FRA_Vincent_Vittoz,athlete,Vincent Vittoz,FRA
ITA_Giorgio_Di_Centa,athlete,Giorgio Di Centa,ITA
RUS_Vasily_Rochev,athlete,Vasily Rochev,RUS
CZE,team,Czech Republic,CZE
NOR_Magnus_Moan,athlete,Magnus Moan,NOR
NOR_Kristian_Hammer,athlete,Kristian Hammer,NOR
DEU_Björn_Kircheisen,athlete,Björn Kircheisen,DEU
NOR_Roar_Ljøkelsøy,athlete,Roar Ljøkelsøy,NOR
CZE_Jakub_Janda,athlete,Jakub Janda,CZE
SVN_Rok_Benkovi,athlete,Rok Benkovič,SVN
SVN,team,Slovenia,SVN
NOR_Lars_Berger,athlete,Lars Berger,NOR
BLR_Leanid_Karneyenka,athlete,Leanid Karneyenka,BLR
DEU_Tobias_Angerer,athlete,Tobias Angerer,DEU
DEU_Jens_Filbrich,athlete,Jens Filbrich,DEU
NOR_Jens_Arne_Svartedal,athlete,Jens Arne Svartedal,NOR
SWE_Mats_Larsson,athlete,Mats Larsson,SWE
NOR_Eldar_Rønning,athlete,Eldar Rønning,NOR
FIN_Hannu_Manninen,athlete,Hannu Manninen,FIN
USA_Bill_Demong,athlete,Bill Demong,USA
FIN_Anssi_Koivuranta,athlete,Anssi Koivuranta,FIN
