event_id,participant_id,rank,medal,score_raw,points_awarded
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,SWE_Per_Elofsson,1,gold,"fis_nordic_worlds_rank=1;event=18 km, 17 km and 15 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001",10.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,SWE_Mathias_Fredriksson,2,silver,"fis_nordic_worlds_rank=2;event=18 km, 17 km and 15 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001",7.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_18-km-17-km-and-15-km-discontinued,NOR_Odd-Bjørn_Hjelmeset,3,bronze,"fis_nordic_worlds_rank=3;event=18 km, 17 km and 15 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001",5.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_30-km-discontinued,EST_Andrus_Veerpalu,1,gold,fis_nordic_worlds_rank=1;event=30 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,10.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_30-km-discontinued,NOR_Frode_Estil,2,silver,fis_nordic_worlds_rank=2;event=30 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,7.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_30-km-discontinued,RUS_Mikhail_Ivanov,3,bronze,fis_nordic_worlds_rank=3;event=30 km (discontinued);team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,5.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_4-10-7-5-km-relay,NOR,1,gold,fis_nordic_worlds_rank=1;event=4 × 10/7.5 km relay;team_members=Frode Estil; Odd-Bjørn Hjelmeset; Thomas Alsgaard; Tor Arne Hetland;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,10.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_4-10-7-5-km-relay,SWE,2,silver,fis_nordic_worlds_rank=2;event=4 × 10/7.5 km relay;team_members=Urban Lindgren; Mathias Fredriksson; Magnus Ingesson; Per Elofsson;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,7.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_4-10-7-5-km-relay,DEU,3,bronze,fis_nordic_worlds_rank=3;event=4 × 10/7.5 km relay;team_members=Jens Filbrich; Andreas Schlütter; Ron Spanuth; René Sommerfeldt;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,5.0
fis_nordic_world_ski_championships_2001_cross-country-skiing_men_50-km,ESP_Johann_Mühlegg,1,gold,fis_nordic_worlds_rank=1;event=50 km;team_members=;source_url=https://en.wikipedia.org/wiki/FIS_Nordic_World_Ski_Championships_2001,10.0
