event_id,competition_id,discipline_id,gender,event_class,event_date
fivb_volleyball_world_championship_men_49,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1949-12-31
fivb_volleyball_world_championship_men_52,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1952-12-31
fivb_volleyball_world_championship_men_56,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1956-12-31
fivb_volleyball_world_championship_men_60,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1960-12-31
fivb_volleyball_world_championship_men_62,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1962-12-31
fivb_volleyball_world_championship_men_66,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1966-12-31
fivb_volleyball_world_championship_men_70,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1970-12-31
fivb_volleyball_world_championship_men_74,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1974-12-31
fivb_volleyball_world_championship_men_78,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1978-12-31
fivb_volleyball_world_championship_men_82,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1982-12-31
fivb_volleyball_world_championship_men_86,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1986-12-31
fivb_volleyball_world_championship_men_90,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1990-12-31
fivb_volleyball_world_championship_men_94,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1994-12-31
fivb_volleyball_world_championship_men_98,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,1998-12-31
fivb_volleyball_world_championship_men_02,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2002-12-31
fivb_volleyball_world_championship_men_06,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2006-12-31
fivb_volleyball_world_championship_men_10,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2010-12-31
fivb_volleyball_world_championship_men_14,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2014-12-31
fivb_volleyball_world_championship_men_18,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2018-12-31
fivb_volleyball_world_championship_men_22,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2022-12-31
fivb_volleyball_world_championship_men_25,fivb_volleyball_world_championship_men,volleyball-volleyball,men,final_ranking_top4,2025-12-31
fivb_volleyball_world_championship_women_52,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1952-12-31
fivb_volleyball_world_championship_women_56,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1956-12-31
fivb_volleyball_world_championship_women_60,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1960-12-31
fivb_volleyball_world_championship_women_62,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1962-12-31
fivb_volleyball_world_championship_women_67,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1967-12-31
fivb_volleyball_world_championship_women_70,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1970-12-31
fivb_volleyball_world_championship_women_74,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1974-12-31
fivb_volleyball_world_championship_women_78,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1978-12-31
fivb_volleyball_world_championship_women_82,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1982-12-31
fivb_volleyball_world_championship_women_86,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1986-12-31
fivb_volleyball_world_championship_women_90,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1990-12-31
fivb_volleyball_world_championship_women_94,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1994-12-31
fivb_volleyball_world_championship_women_98,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,1998-12-31
fivb_volleyball_world_championship_women_02,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2002-12-31
fivb_volleyball_world_championship_women_06,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2006-12-31
fivb_volleyball_world_championship_women_10,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2010-12-31
fivb_volleyball_world_championship_women_14,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2014-12-31
fivb_volleyball_world_championship_women_18,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2018-12-31
fivb_volleyball_world_championship_women_22,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2022-12-31
fivb_volleyball_world_championship_women_25,fivb_volleyball_world_championship_women,volleyball-volleyball,women,final_ranking_top4,2025-12-31
