event_id,participant_id,rank,medal,score_raw,points_awarded
fivb_volleyball_world_championship_men_49,URS,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_49,TCH,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_49,BGR,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_49,ROU,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_52,URS,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_52,TCH,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_52,BGR,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_52,ROU,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_56,TCH,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_56,ROU,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_56,URS,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_56,BGR,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_60,URS,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_60,TCH,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_60,ROU,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_60,BGR,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_62,BRA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_62,TCH,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_62,ROU,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_62,URS,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_66,TCH,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_66,ROU,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_66,URS,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_66,GDR,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_70,GDR,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_70,BGR,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_70,TCH,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_70,ROU,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_74,POL,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_74,URS,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_74,GDR,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_74,TCH,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_78,URS,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_78,ITA,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_78,CUB,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_78,KOR,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_82,URS,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_82,BRA,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_82,ARG,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_82,JPN,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_86,USA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_86,URS,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_86,BGR,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_86,CUB,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_90,ITA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_90,CUB,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_90,URS,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_90,BRA,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_94,ITA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_94,NLD,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_94,USA,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_94,CUB,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_98,ITA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_98,YUG,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_98,CUB,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_98,BRA,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_02,BRA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_02,RUS,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_02,FRA,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_02,SCG,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_06,BRA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_06,POL,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_06,BGR,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_06,SCG,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_10,BRA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_10,CUB,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_10,SRB,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_10,ITA,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_14,POL,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_14,BRA,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_14,DEU,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_14,FRA,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_18,POL,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_18,BRA,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_18,USA,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_18,SRB,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_22,ITA,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_22,POL,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_22,BRA,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_22,SVN,4,,fivb_volleyball_world_championship_final_rank=4,4.0
fivb_volleyball_world_championship_men_25,POL,1,gold,fivb_volleyball_world_championship_final_rank=1,10.0
fivb_volleyball_world_championship_men_25,ITA,2,silver,fivb_volleyball_world_championship_final_rank=2,7.0
fivb_volleyball_world_championship_men_25,BRA,3,bronze,fivb_volleyball_world_championship_final_rank=3,5.0
fivb_volleyball_world_championship_men_25,SVN,4,,fivb_volleyball_world_championship_final_rank=4,4.0
