country_id,iso2,iso3,name_en,name_fr
ITA,IT,ITA,Italy,
GBR,GB,GBR,United Kingdom,
CHE,CH,CHE,Switzerland,
IRL,IE,IRL,Ireland,
FRA,FR,FRA,France,
JPN,JP,JPN,Japan,
AUT,AT,AUT,Austria,
DEU,DE,DEU,Germany,
RUS,RU,RUS,Russian Federation,
NLD,NL,NLD,Netherlands,
IND,IN,IND,India,
MYS,MY,MYS,Malaysia,
USA,US,USA,United States,
BRA,BR,BRA,Brazil,
FIN,FI,FIN,Finland,
COL,CO,COL,Colombia,
CAN,CA,CAN,Canada,
ESP,ES,ESP,Spain,
AUS,AU,AUS,Australia,
POL,PL,POL,Poland,
MEX,MX,MEX,Mexico,
DNK,DK,DNK,Denmark,
MCO,MC,MCO,Monaco,
THA,TH,THA,Thailand,
