event_id,competition_id,discipline_id,gender,event_class,event_date
formula1_constructors_world_championship_2001,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2001-12-31
formula1_constructors_world_championship_2002,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2002-12-31
formula1_constructors_world_championship_2003,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2003-12-31
formula1_constructors_world_championship_2004,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2004-12-31
formula1_constructors_world_championship_2005,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2005-12-31
formula1_constructors_world_championship_2006,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2006-12-31
formula1_constructors_world_championship_2007,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2007-12-31
formula1_constructors_world_championship_2008,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2008-12-31
formula1_constructors_world_championship_2009,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2009-12-31
formula1_constructors_world_championship_2010,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2010-12-31
formula1_constructors_world_championship_2011,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2011-12-31
formula1_constructors_world_championship_2012,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2012-12-31
formula1_constructors_world_championship_2013,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2013-12-31
formula1_constructors_world_championship_2014,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2014-12-31
formula1_constructors_world_championship_2015,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2015-12-31
formula1_constructors_world_championship_2016,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2016-12-31
formula1_constructors_world_championship_2017,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2017-12-31
formula1_constructors_world_championship_2018,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2018-12-31
formula1_constructors_world_championship_2019,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2019-12-31
formula1_constructors_world_championship_2020,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2020-12-31
formula1_constructors_world_championship_2021,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2021-12-31
formula1_constructors_world_championship_2022,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2022-12-31
formula1_constructors_world_championship_2023,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2023-12-31
formula1_constructors_world_championship_2024,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2024-12-31
formula1_constructors_world_championship_2025,formula1_constructors_world_championship,formula-one,mixed,final_ranking_top10,2025-12-31
formula1_drivers_world_championship_2001,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2001-12-31
formula1_drivers_world_championship_2002,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2002-12-31
formula1_drivers_world_championship_2003,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2003-12-31
formula1_drivers_world_championship_2004,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2004-12-31
formula1_drivers_world_championship_2005,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2005-12-31
formula1_drivers_world_championship_2006,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2006-12-31
formula1_drivers_world_championship_2007,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2007-12-31
formula1_drivers_world_championship_2008,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2008-12-31
formula1_drivers_world_championship_2009,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2009-12-31
formula1_drivers_world_championship_2010,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2010-12-31
formula1_drivers_world_championship_2011,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2011-12-31
formula1_drivers_world_championship_2012,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2012-12-31
formula1_drivers_world_championship_2013,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2013-12-31
formula1_drivers_world_championship_2014,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2014-12-31
formula1_drivers_world_championship_2015,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2015-12-31
formula1_drivers_world_championship_2016,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2016-12-31
formula1_drivers_world_championship_2017,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2017-12-31
formula1_drivers_world_championship_2018,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2018-12-31
formula1_drivers_world_championship_2019,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2019-12-31
formula1_drivers_world_championship_2020,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2020-12-31
formula1_drivers_world_championship_2021,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2021-12-31
formula1_drivers_world_championship_2022,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2022-12-31
formula1_drivers_world_championship_2023,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2023-12-31
formula1_drivers_world_championship_2024,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2024-12-31
formula1_drivers_world_championship_2025,formula1_drivers_world_championship,formula-one,mixed,final_ranking_top10,2025-12-31
