event_id,competition_id,discipline_id,gender,event_class,event_date
formulae_drivers_world_championship_2015,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2015-12-31
formulae_drivers_world_championship_2016,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2016-12-31
formulae_drivers_world_championship_2017,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2017-12-31
formulae_drivers_world_championship_2018,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2018-12-31
formulae_drivers_world_championship_2019,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2019-12-31
formulae_drivers_world_championship_2020,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2020-12-31
formulae_drivers_world_championship_2021,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2021-12-31
formulae_drivers_world_championship_2022,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2022-12-31
formulae_drivers_world_championship_2023,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2023-12-31
formulae_drivers_world_championship_2024,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2024-12-31
formulae_drivers_world_championship_2025,formulae_drivers_world_championship,formula-e,mixed,final_ranking_top10,2025-12-31
formulae_teams_world_championship_2015,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2015-12-31
formulae_teams_world_championship_2016,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2016-12-31
formulae_teams_world_championship_2017,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2017-12-31
formulae_teams_world_championship_2018,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2018-12-31
formulae_teams_world_championship_2019,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2019-12-31
formulae_teams_world_championship_2020,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2020-12-31
formulae_teams_world_championship_2021,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2021-12-31
formulae_teams_world_championship_2022,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2022-12-31
formulae_teams_world_championship_2023,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2023-12-31
formulae_teams_world_championship_2024,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2024-12-31
formulae_teams_world_championship_2025,formulae_teams_world_championship,formula-e,mixed,final_ranking_top10,2025-12-31
