event_id,participant_id,rank,medal,score_raw,points_awarded
formulae_drivers_world_championship_2015,driver_nelson-piquet-jr,1,gold,points=144.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,144.0
formulae_drivers_world_championship_2015,driver_s-bastien-buemi,2,silver,points=143.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,143.0
formulae_drivers_world_championship_2015,driver_lucas-di-grassi,3,bronze,points=133.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,133.0
formulae_drivers_world_championship_2015,driver_j-r-me-d-ambrosio,4,,points=113.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,113.0
formulae_drivers_world_championship_2015,driver_sam-bird,5,,points=103.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,103.0
formulae_drivers_world_championship_2015,driver_nicolas-prost,6,,points=88.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,88.0
formulae_drivers_world_championship_2015,driver_jean-ric-vergne,7,,points=70.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,70.0
formulae_drivers_world_championship_2015,driver_ant-nio-f-lix-da-costa,8,,points=51.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,51.0
formulae_drivers_world_championship_2015,driver_lo-c-duval,9,,points=42.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,42.0
formulae_drivers_world_championship_2015,driver_bruno-senna,10,,points=40.0;wins=nan;team=;season=2014-2015;round=;source_url=https://en.wikipedia.org/wiki/2014%E2%80%9315_Formula_E_Championship,40.0
