event_id,participant_id,rank,medal,score_raw,points_awarded
icc_cricket_world_cup_men_75,WIS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_75,AUS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_75,ENG,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_75,NZL,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_79,WIS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_79,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_79,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_79,PAK,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_83,IND,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_83,WIS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_83,ENG,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_83,PAK,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_87,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_87,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_87,IND,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_87,PAK,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_92,PAK,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_92,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_92,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_92,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_96,LKA,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_96,AUS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_96,IND,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_96,WIS,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_99,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_99,PAK,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_99,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_99,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_03,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_03,IND,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_03,KEN,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_03,LKA,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_07,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_07,LKA,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_07,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_07,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_11,IND,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_11,LKA,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_11,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_11,PAK,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_15,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_15,NZL,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_15,IND,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_15,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_19,ENG,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_19,NZL,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_19,AUS,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_19,IND,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_men_23,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_men_23,IND,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_men_23,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_men_23,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_73,ENG,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_73,AUS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_73,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_73,INT,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_78,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_78,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_78,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_78,IND,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_82,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_82,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_82,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_82,IND,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_88,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_88,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_88,NZL,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_88,IRL,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_93,ENG,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_93,NZL,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_93,AUS,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_93,IND,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_97,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_97,NZL,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_97,ENG,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_97,IND,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_00,NZL,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_00,AUS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_00,IND,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_00,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_05,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_05,IND,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_05,ENG,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_05,NZL,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_09,ENG,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_09,NZL,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_09,IND,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_09,AUS,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_13,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_13,WIS,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_13,ENG,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_13,NZL,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_17,ENG,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_17,IND,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_17,AUS,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_17,ZAF,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_cricket_world_cup_women_22,AUS,1,gold,icc_cricket_world_cup_odi_final_rank=1,10.0
icc_cricket_world_cup_women_22,ENG,2,silver,icc_cricket_world_cup_odi_final_rank=2,7.0
icc_cricket_world_cup_women_22,ZAF,3,bronze,icc_cricket_world_cup_odi_final_rank=3,5.0
icc_cricket_world_cup_women_22,WIS,4,,icc_cricket_world_cup_odi_final_rank=4,4.0
icc_mens_t20_world_cup_07,IND,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_07,PAK,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_09,PAK,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_09,LKA,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_10,ENG,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_10,AUS,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_12,WIS,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_12,LKA,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_14,LKA,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_14,IND,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_16,WIS,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_16,ENG,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_21,AUS,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_21,NZL,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_22,ENG,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_22,PAK,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_24,IND,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_24,ZAF,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_mens_t20_world_cup_26,IND,1,gold,icc_mens_t20_world_cup_final_rank=1,10.0
icc_mens_t20_world_cup_26,NZL,2,silver,icc_mens_t20_world_cup_final_rank=2,7.0
icc_world_test_championship_men_21,NZL,1,gold,icc_world_test_championship_final_rank=1,10.0
icc_world_test_championship_men_21,IND,2,silver,icc_world_test_championship_final_rank=2,7.0
icc_world_test_championship_men_23,AUS,1,gold,icc_world_test_championship_final_rank=1,10.0
icc_world_test_championship_men_23,IND,2,silver,icc_world_test_championship_final_rank=2,7.0
icc_world_test_championship_men_25,ZAF,1,gold,icc_world_test_championship_final_rank=1,10.0
icc_world_test_championship_men_25,AUS,2,silver,icc_world_test_championship_final_rank=2,7.0
icc_champions_trophy_men_98,ZAF,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_98,WIS,2,silver,icc_champions_trophy_final_rank=2,7.0
icc_champions_trophy_men_00,NZL,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_00,IND,2,silver,icc_champions_trophy_final_rank=2,7.0
icc_champions_trophy_men_02,IND,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_02,LKA,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_04,WIS,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_04,ENG,2,silver,icc_champions_trophy_final_rank=2,7.0
icc_champions_trophy_men_06,AUS,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_06,WIS,2,silver,icc_champions_trophy_final_rank=2,7.0
icc_champions_trophy_men_09,AUS,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_09,NZL,2,silver,icc_champions_trophy_final_rank=2,7.0
icc_champions_trophy_men_13,IND,1,gold,icc_champions_trophy_final_rank=1,10.0
icc_champions_trophy_men_13,ENG,2,silver,icc_champions_trophy_final_rank=2,7.0
