event_id,competition_id,discipline_id,gender,event_class,event_date
icc_men_test_team_ranking_00,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2000-12-30
icc_men_test_team_ranking_01,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2001-12-29
icc_men_test_team_ranking_02,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2002-12-22
icc_men_test_team_ranking_03,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2003-12-30
icc_men_test_team_ranking_04,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2004-12-20
icc_men_test_team_ranking_05,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2005-12-20
icc_men_test_team_ranking_06,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2006-12-18
icc_men_test_team_ranking_07,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2007-12-22
icc_men_test_team_ranking_08,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2008-12-23
icc_men_test_team_ranking_09,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2009-12-20
icc_men_test_team_ranking_10,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2010-12-05
icc_men_test_team_ranking_11,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2011-12-21
icc_men_test_team_ranking_12,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2012-12-17
icc_men_test_team_ranking_13,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2013-12-30
icc_men_test_team_ranking_14,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2014-11-30
icc_men_test_team_ranking_15,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2015-12-21
icc_men_test_team_ranking_16,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2016-12-20
icc_men_test_team_ranking_17,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2017-12-27
icc_men_test_team_ranking_18,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2018-12-30
icc_men_test_team_ranking_19,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2019-12-28
icc_men_test_team_ranking_20,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2020-12-14
icc_men_test_team_ranking_21,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2021-12-08
icc_men_test_team_ranking_22,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2022-12-11
icc_men_test_team_ranking_23,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2023-12-09
icc_men_test_team_ranking_24,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2024-12-17
icc_men_test_team_ranking_25,icc_men_test_team_ranking,cricket-test,men,ranking_release_top10,2025-12-22
icc_men_odi_team_ranking_00,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2000-12-17
icc_men_odi_team_ranking_01,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2001-12-19
icc_men_odi_team_ranking_02,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2002-12-29
icc_men_odi_team_ranking_03,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2003-12-07
icc_men_odi_team_ranking_04,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2004-12-27
icc_men_odi_team_ranking_05,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2005-12-31
icc_men_odi_team_ranking_06,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2006-12-31
icc_men_odi_team_ranking_07,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2007-12-31
icc_men_odi_team_ranking_08,icc_men_odi_team_ranking,cricket-odi,men,ranking_release_top10,2008-11-30
