event_id,participant_id,rank,medal,score_raw,points_awarded
icc_men_test_team_ranking_26,AUS,1,gold,icc_rating=128;icc_points=4604;icc_matches=36,128.0
icc_men_test_team_ranking_26,ZAF,2,silver,icc_rating=116;icc_points=3581;icc_matches=31,116.0
icc_men_test_team_ranking_26,ENG,3,bronze,icc_rating=109;icc_points=5013;icc_matches=46,109.0
icc_men_test_team_ranking_26,IND,4,,icc_rating=104;icc_points=4064;icc_matches=39,104.0
icc_men_test_team_ranking_26,NZL,5,,icc_rating=98;icc_points=2839;icc_matches=29,98.0
icc_men_test_team_ranking_26,LKA,6,,icc_rating=88;icc_points=2364;icc_matches=27,88.0
icc_men_test_team_ranking_26,PAK,7,,icc_rating=82;icc_points=2050;icc_matches=25,82.0
icc_men_test_team_ranking_26,WIS,8,,icc_rating=69;icc_points=2270;icc_matches=33,69.0
icc_men_test_team_ranking_26,BGD,9,,icc_rating=63;icc_points=1888;icc_matches=30,63.0
icc_men_test_team_ranking_26,IRL,10,,icc_rating=23;icc_points=185;icc_matches=8,23.0
icc_men_odi_team_ranking_26,IND,1,gold,icc_rating=119;icc_points=5377;icc_matches=45,119.0
icc_men_odi_team_ranking_26,NZL,2,silver,icc_rating=114;icc_points=5370;icc_matches=47,114.0
icc_men_odi_team_ranking_26,AUS,3,bronze,icc_rating=109;icc_points=4134;icc_matches=38,109.0
icc_men_odi_team_ranking_26,PAK,4,,icc_rating=105;icc_points=4294;icc_matches=41,105.0
icc_men_odi_team_ranking_26,ZAF,5,,icc_rating=98;icc_points=4022;icc_matches=41,98.0
icc_men_odi_team_ranking_26,LKA,6,,icc_rating=98;icc_points=4600;icc_matches=47,98.0
icc_men_odi_team_ranking_26,AFG,7,,icc_rating=95;icc_points=2657;icc_matches=28,95.0
icc_men_odi_team_ranking_26,ENG,8,,icc_rating=88;icc_points=3782;icc_matches=43,88.0
icc_men_odi_team_ranking_26,WIS,9,,icc_rating=77;icc_points=3173;icc_matches=41,77.0
icc_men_odi_team_ranking_26,BGD,10,,icc_rating=76;icc_points=2882;icc_matches=38,76.0
icc_men_t20i_team_ranking_26,IND,1,gold,icc_rating=272;icc_points=22613;icc_matches=83,272.0
icc_men_t20i_team_ranking_26,ENG,2,silver,icc_rating=260;icc_points=14300;icc_matches=55,260.0
icc_men_t20i_team_ranking_26,AUS,3,bronze,icc_rating=258;icc_points=12645;icc_matches=49,258.0
icc_men_t20i_team_ranking_26,NZL,4,,icc_rating=250;icc_points=16002;icc_matches=64,250.0
icc_men_t20i_team_ranking_26,ZAF,5,,icc_rating=245;icc_points=15432;icc_matches=63,245.0
icc_men_t20i_team_ranking_26,PAK,6,,icc_rating=238;icc_points=20002;icc_matches=84,238.0
icc_men_t20i_team_ranking_26,WIS,7,,icc_rating=235;icc_points=17424;icc_matches=74,235.0
icc_men_t20i_team_ranking_26,LKA,8,,icc_rating=227;icc_points=13593;icc_matches=60,227.0
icc_men_t20i_team_ranking_26,BGD,9,,icc_rating=223;icc_points=14925;icc_matches=67,223.0
icc_men_t20i_team_ranking_26,AFG,10,,icc_rating=221;icc_points=11504;icc_matches=52,221.0
icc_women_odi_team_ranking_26,AUS,1,gold,icc_rating=165;icc_points=5100;icc_matches=31,165.0
icc_women_odi_team_ranking_26,ENG,2,silver,icc_rating=126;icc_points=4550;icc_matches=36,126.0
icc_women_odi_team_ranking_26,IND,3,bronze,icc_rating=125;icc_points=5382;icc_matches=43,125.0
icc_women_odi_team_ranking_26,ZAF,4,,icc_rating=99;icc_points=4066;icc_matches=41,99.0
icc_women_odi_team_ranking_26,NZL,5,,icc_rating=93;icc_points=2129;icc_matches=23,93.0
icc_women_odi_team_ranking_26,LKA,6,,icc_rating=82;icc_points=2223;icc_matches=27,82.0
icc_women_odi_team_ranking_26,BGD,7,,icc_rating=75;icc_points=1798;icc_matches=24,75.0
icc_women_odi_team_ranking_26,PAK,8,,icc_rating=75;icc_points=2086;icc_matches=28,75.0
icc_women_odi_team_ranking_26,WIS,9,,icc_rating=70;icc_points=2036;icc_matches=29,70.0
icc_women_odi_team_ranking_26,IRL,10,,icc_rating=50;icc_points=1588;icc_matches=32,50.0
icc_women_t20i_team_ranking_26,AUS,1,gold,icc_rating=294;icc_points=10007;icc_matches=34,294.0
icc_women_t20i_team_ranking_26,ENG,2,silver,icc_rating=277;icc_points=12751;icc_matches=46,277.0
icc_women_t20i_team_ranking_26,IND,3,bronze,icc_rating=268;icc_points=13910;icc_matches=52,268.0
icc_women_t20i_team_ranking_26,NZL,4,,icc_rating=254;icc_points=9390;icc_matches=37,254.0
icc_women_t20i_team_ranking_26,ZAF,5,,icc_rating=241;icc_points=9153;icc_matches=38,241.0
icc_women_t20i_team_ranking_26,WIS,6,,icc_rating=238;icc_points=8788;icc_matches=37,238.0
icc_women_t20i_team_ranking_26,LKA,7,,icc_rating=229;icc_points=10321;icc_matches=45,229.0
icc_women_t20i_team_ranking_26,PAK,8,,icc_rating=217;icc_points=8467;icc_matches=39,217.0
icc_women_t20i_team_ranking_26,IRL,9,,icc_rating=198;icc_points=9494;icc_matches=48,198.0
icc_women_t20i_team_ranking_26,BGD,10,,icc_rating=195;icc_points=8014;icc_matches=41,195.0
