event_id,competition_id,discipline_id,gender,event_class,event_date
icf_canoe_slalom_world_championships_2002_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_men_c2-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2002-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_c2-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2003_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2003-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_c2-team-non-medal-event,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2005_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2005-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_c2-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2006_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2006-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_c2-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2007_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2007-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_c1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_c1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_c2,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_c2-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_k1,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_men_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,men,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_women_k1,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2009-12-31
icf_canoe_slalom_world_championships_2009_slalom_women_k1-team,icf_canoe_slalom_world_championships,canoe-slalom,women,final_ranking_top3,2009-12-31
