participant_id,type,display_name,country_id
athlete_Michal_Martikán_SVK,athlete,Michal Martikán,SVK
athlete_Jan_Benzien_DEU,athlete,Jan Benzien,DEU
athlete_Patrice_Estanguet_FRA,athlete,Patrice Estanguet,FRA
team_Pemysl_Vlk__Jan_Maek__Stanislav_Jeek_CZE,team,Přemysl Vlk / Jan Mašek / Stanislav Ježek,CZE
team_Sören_Kaufmann__Jan_Benzien__Stefan_Pfannmöller_DEU,team,Sören Kaufmann / Jan Benzien / Stefan Pfannmöller,DEU
team_Jurij_Korenjak__Dejan_Stevanovi__Simon_Hoevar_SVN,team,Jurij Korenjak / Dejan Stevanovič / Simon Hočevar,SVN
team_Pavol_Hochschorner__Peter_Hochschorner_SVK,team,Pavol Hochschorner / Peter Hochschorner,SVK
team_Pierre_Luquet__Christophe_Luquet_FRA,team,Pierre Luquet / Christophe Luquet,FRA
team_Marek_Jiras__Tomá_Máder_CZE,team,Marek Jiras / Tomáš Máder,CZE
team_Pierre_Luquet__Christophe_Luquet__Alexandre_Lauvergne__Nathanael_Fouquet__Philippe_Quémerais__Yann_Le_Pennec_FRA,team,Pierre Luquet / Christophe Luquet / Alexandre Lauvergne / Nathanael Fouquet / Philippe Quémerais / Yann Le Pennec,FRA
team_Kay_Simon__Robby_Simon__Kai_Walter__Frank_Henze__André_Ehrenberg__Michael_Senft_DEU,team,Kay Simon / Robby Simon / Kai Walter / Frank Henze / André Ehrenberg / Michael Senft,DEU
team_Dariusz_Wrzosek__Bartomiej_Kruczek__Jarosaw_Miczek__Wojciech_Sekua__Andrzej_Wójs__Sawomir_Mordarski_POL,team,Dariusz Wrzosek / Bartłomiej Kruczek / Jarosław Miczek / Wojciech Sekuła / Andrzej Wójs / Sławomir Mordarski,POL
athlete_Fabien_Lefèvre_FRA,athlete,Fabien Lefèvre,FRA
athlete_Miha_Terdi_SVN,athlete,Miha Terdič,SVN
athlete_Ivan_Pivejc_CZE,athlete,Ivan Pišvejc,CZE
team_Claus_Suchanek__Thomas_Becker__Thomas_Schmidt_DEU,team,Claus Suchanek / Thomas Becker / Thomas Schmidt,DEU
team_Pierpaolo_Ferrazzi__Matteo_Pontarollo__Luca_Costa_ITA,team,Pierpaolo Ferrazzi / Matteo Pontarollo / Luca Costa,ITA
team_Thomas_Monier__Benoît_Peschier__Fabien_Lefèvre_FRA,team,Thomas Monier / Benoît Peschier / Fabien Lefèvre,FRA
athlete_Rebecca_Giddens_USA,athlete,Rebecca Giddens,USA
athlete_Mandy_Planert_DEU,athlete,Mandy Planert,DEU
athlete_Cristina_Giai_Pron_ITA,athlete,Cristina Giai Pron,ITA
team_Aline_Tornare__Mathilde_Pichery__Anne-Lise_Bardet_FRA,team,Aline Tornare / Mathilde Pichery / Anne-Lise Bardet,FRA
team_Marie_ihoková__Marcela_Sadilová__Irena_Pavelková_CZE,team,Marie Řihošková / Marcela Sadilová / Irena Pavelková,CZE
team_Helen_Reeves__Laura_Blakeman__Heather_Corrie_GBR,team,Helen Reeves / Laura Blakeman / Heather Corrie,GBR
athlete_Tony_Estanguet_FRA,athlete,Tony Estanguet,FRA
athlete_Stefan_Pfannmöller_DEU,athlete,Stefan Pfannmöller,DEU
team_Alexander_Slafkovský__Juraj_Miník__Michal_Martikán_SVK,team,Alexander Slafkovský / Juraj Minčík / Michal Martikán,SVK
team_Tony_Estanguet__Emmanuel_Brugvin__Patrice_Estanguet_FRA,team,Tony Estanguet / Emmanuel Brugvin / Patrice Estanguet,FRA
team_Tomá_Indruch__Jan_Maek__Stanislav_Jeek_CZE,team,Tomáš Indruch / Jan Mašek / Stanislav Ježek,CZE
team_Marcus_Becker__Stefan_Henze_DEU,team,Marcus Becker / Stefan Henze,DEU
team_Jaroslav_Volf__Ondej_tpánek_CZE,team,Jaroslav Volf / Ondřej Štěpánek,CZE
