event_id,participant_id,rank,medal,score_raw,points_awarded
icf_canoe_slalom_world_championships_2002_slalom_men_c1,athlete_Jan_Benzien_DEU,2,silver,event_name=C1;athletes=Jan Benzien;country=DEU;score=199.29;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_c1,athlete_Michal_Martikán_SVK,1,gold,event_name=C1;athletes=Michal Martikán;country=SVK;score=192.92;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_c1,athlete_Patrice_Estanguet_FRA,3,bronze,event_name=C1;athletes=Patrice Estanguet;country=FRA;score=199.32;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_men_c1-team,team_Jurij_Korenjak__Dejan_Stevanovi__Simon_Hoevar_SVN,3,bronze,event_name=C1 team;athletes=Jurij Korenjak / Dejan Stevanovič / Simon Hočevar;country=SVN;score=236.59;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_men_c1-team,team_Pemysl_Vlk__Jan_Maek__Stanislav_Jeek_CZE,1,gold,event_name=C1 team;athletes=Přemysl Vlk / Jan Mašek / Stanislav Ježek;country=CZE;score=224.27;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_c1-team,team_Sören_Kaufmann__Jan_Benzien__Stefan_Pfannmöller_DEU,2,silver,event_name=C1 team;athletes=Sören Kaufmann / Jan Benzien / Stefan Pfannmöller;country=DEU;score=226.55;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2,team_Marek_Jiras__Tomá_Máder_CZE,3,bronze,event_name=C2;athletes=Marek Jiras / Tomáš Máder;country=CZE;score=209.53;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2,team_Pavol_Hochschorner__Peter_Hochschorner_SVK,1,gold,event_name=C2;athletes=Pavol Hochschorner / Peter Hochschorner;country=SVK;score=206.21;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2,team_Pierre_Luquet__Christophe_Luquet_FRA,2,silver,event_name=C2;athletes=Pierre Luquet / Christophe Luquet;country=FRA;score=209.41;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2-team,team_Dariusz_Wrzosek__Bartomiej_Kruczek__Jarosaw_Miczek__Wojciech_Sekua__Andrzej_Wójs__Sawomir_Mordarski_POL,3,bronze,event_name=C2 team;athletes=Dariusz Wrzosek / Bartłomiej Kruczek / Jarosław Miczek / Wojciech Sekuła / Andrzej Wójs / Sławomir Mordarski;country=POL;score=265.80;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2-team,team_Kay_Simon__Robby_Simon__Kai_Walter__Frank_Henze__André_Ehrenberg__Michael_Senft_DEU,2,silver,event_name=C2 team;athletes=Kay Simon / Robby Simon / Kai Walter / Frank Henze / André Ehrenberg / Michael Senft;country=DEU;score=257.07;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_c2-team,team_Pierre_Luquet__Christophe_Luquet__Alexandre_Lauvergne__Nathanael_Fouquet__Philippe_Quémerais__Yann_Le_Pennec_FRA,1,gold,event_name=C2 team;athletes=Pierre Luquet / Christophe Luquet / Alexandre Lauvergne / Nathanael Fouquet / Philippe Quémerais / Yann Le Pennec;country=FRA;score=239.09;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1,athlete_Fabien_Lefèvre_FRA,1,gold,event_name=K1;athletes=Fabien Lefèvre;country=FRA;score=184.89;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1,athlete_Ivan_Pivejc_CZE,3,bronze,event_name=K1;athletes=Ivan Pišvejc;country=CZE;score=190.10;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1,athlete_Miha_Terdi_SVN,2,silver,event_name=K1;athletes=Miha Terdič;country=SVN;score=189.94;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,team_Claus_Suchanek__Thomas_Becker__Thomas_Schmidt_DEU,1,gold,event_name=K1 team;athletes=Claus Suchanek / Thomas Becker / Thomas Schmidt;country=DEU;score=214.11;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,team_Pierpaolo_Ferrazzi__Matteo_Pontarollo__Luca_Costa_ITA,2,silver,event_name=K1 team;athletes=Pierpaolo Ferrazzi / Matteo Pontarollo / Luca Costa;country=ITA;score=216.64;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_men_k1-team,team_Thomas_Monier__Benoît_Peschier__Fabien_Lefèvre_FRA,3,bronze,event_name=K1 team;athletes=Thomas Monier / Benoît Peschier / Fabien Lefèvre;country=FRA;score=218.25;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Cristina_Giai_Pron_ITA,3,bronze,event_name=K1;athletes=Cristina Giai Pron;country=ITA;score=222.46;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Mandy_Planert_DEU,2,silver,event_name=K1;athletes=Mandy Planert;country=DEU;score=218.11;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1,athlete_Rebecca_Giddens_USA,1,gold,event_name=K1;athletes=Rebecca Giddens;country=USA;score=216.09;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Aline_Tornare__Mathilde_Pichery__Anne-Lise_Bardet_FRA,1,gold,event_name=K1 team;athletes=Aline Tornare / Mathilde Pichery / Anne-Lise Bardet;country=FRA;score=294.73;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Helen_Reeves__Laura_Blakeman__Heather_Corrie_GBR,3,bronze,event_name=K1 team;athletes=Helen Reeves / Laura Blakeman / Heather Corrie;country=GBR;score=306.24;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,5.0
icf_canoe_slalom_world_championships_2002_slalom_women_k1-team,team_Marie_ihoková__Marcela_Sadilová__Irena_Pavelková_CZE,2,silver,event_name=K1 team;athletes=Marie Řihošková / Marcela Sadilová / Irena Pavelková;country=CZE;score=298.78;source_url=https://en.wikipedia.org/wiki/2002_ICF_Canoe_Slalom_World_Championships,7.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1,athlete_Michal_Martikán_SVK,1,gold,event_name=C1;athletes=Michal Martikán;country=SVK;score=208.14;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,10.0
icf_canoe_slalom_world_championships_2003_slalom_men_c1,athlete_Stefan_Pfannmöller_DEU,3,bronze,event_name=C1;athletes=Stefan Pfannmöller;country=DEU;score=212.69;source_url=https://en.wikipedia.org/wiki/2003_ICF_Canoe_Slalom_World_Championships,5.0
