event_id,competition_id,discipline_id,gender,event_class,event_date
ihf_handball_world_championship_men_38,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1938-12-31
ihf_handball_world_championship_men_54,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1954-12-31
ihf_handball_world_championship_men_58,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1958-12-31
ihf_handball_world_championship_men_61,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1961-12-31
ihf_handball_world_championship_men_64,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1964-12-31
ihf_handball_world_championship_men_67,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1967-12-31
ihf_handball_world_championship_men_70,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1970-12-31
ihf_handball_world_championship_men_74,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1974-12-31
ihf_handball_world_championship_men_78,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1978-12-31
ihf_handball_world_championship_men_82,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1982-12-31
ihf_handball_world_championship_men_86,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1986-12-31
ihf_handball_world_championship_men_90,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1990-12-31
ihf_handball_world_championship_men_93,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1993-12-31
ihf_handball_world_championship_men_95,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1995-12-31
ihf_handball_world_championship_men_97,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1997-12-31
ihf_handball_world_championship_men_99,ihf_handball_world_championship_men,handball,men,final_ranking_top4,1999-12-31
ihf_handball_world_championship_men_01,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2001-12-31
ihf_handball_world_championship_men_03,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2003-12-31
ihf_handball_world_championship_men_05,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2005-12-31
ihf_handball_world_championship_men_07,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2007-12-31
ihf_handball_world_championship_men_09,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2009-12-31
ihf_handball_world_championship_men_11,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2011-12-31
ihf_handball_world_championship_men_13,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2013-12-31
ihf_handball_world_championship_men_15,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2015-12-31
ihf_handball_world_championship_men_17,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2017-12-31
ihf_handball_world_championship_men_19,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2019-12-31
ihf_handball_world_championship_men_21,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2021-12-31
ihf_handball_world_championship_men_23,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2023-12-31
ihf_handball_world_championship_men_25,ihf_handball_world_championship_men,handball,men,final_ranking_top4,2025-12-31
ihf_handball_world_championship_women_57,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1957-12-31
ihf_handball_world_championship_women_62,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1962-12-31
ihf_handball_world_championship_women_65,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1965-12-31
ihf_handball_world_championship_women_71,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1971-12-31
ihf_handball_world_championship_women_73,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1973-12-31
ihf_handball_world_championship_women_75,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1975-12-31
ihf_handball_world_championship_women_78,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1978-12-31
ihf_handball_world_championship_women_82,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1982-12-31
ihf_handball_world_championship_women_86,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1986-12-31
ihf_handball_world_championship_women_90,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1990-12-31
ihf_handball_world_championship_women_93,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1993-12-31
ihf_handball_world_championship_women_95,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1995-12-31
ihf_handball_world_championship_women_97,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1997-12-31
ihf_handball_world_championship_women_99,ihf_handball_world_championship_women,handball,women,final_ranking_top4,1999-12-31
ihf_handball_world_championship_women_01,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2001-12-31
ihf_handball_world_championship_women_03,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2003-12-31
ihf_handball_world_championship_women_05,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2005-12-31
ihf_handball_world_championship_women_07,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2007-12-31
ihf_handball_world_championship_women_09,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2009-12-31
ihf_handball_world_championship_women_11,ihf_handball_world_championship_women,handball,women,final_ranking_top4,2011-12-31
