event_id,participant_id,rank,medal,score_raw,points_awarded
ihf_handball_world_championship_men_38,DEU,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_38,AUT,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_38,SWE,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_38,DNK,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_54,SWE,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_54,DEU,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_54,TCH,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_54,CHE,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_58,SWE,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_58,TCH,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_58,DEU,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_58,DNK,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_61,ROU,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_61,TCH,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_61,SWE,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_61,DEU,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_64,ROU,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_64,SWE,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_64,TCH,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_64,FRG,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_67,TCH,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_67,DNK,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_67,ROU,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_67,URS,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_70,ROU,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_70,GDR,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_70,YUG,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_70,DNK,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_74,ROU,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_74,GDR,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_74,YUG,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_74,POL,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_78,FRG,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_78,URS,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_78,GDR,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_78,DNK,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_82,URS,1,gold,ihf_handball_world_championship_final_rank=1,10.0
ihf_handball_world_championship_men_82,YUG,2,silver,ihf_handball_world_championship_final_rank=2,7.0
ihf_handball_world_championship_men_82,POL,3,bronze,ihf_handball_world_championship_final_rank=3,5.0
ihf_handball_world_championship_men_82,DNK,4,,ihf_handball_world_championship_final_rank=4,4.0
ihf_handball_world_championship_men_86,YUG,1,gold,ihf_handball_world_championship_final_rank=1,10.0
