event_id,participant_id,rank,medal,score_raw,points_awarded
iihf_ice_hockey_world_championship_men_2001,CZE,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2001,FIN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2001,SWE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2001,USA,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2002,SVK,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2002,RUS,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2002,SWE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2002,FIN,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2003,CAN,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2003,SWE,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2003,SVK,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2003,CZE,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2004,CAN,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2004,SWE,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2004,USA,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2004,SVK,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2005,CZE,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2005,CAN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2005,RUS,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2005,SWE,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2006,SWE,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2006,CZE,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2006,FIN,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2006,CAN,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2007,CAN,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2007,FIN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2007,RUS,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2007,SWE,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2008,RUS,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2008,CAN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2008,FIN,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2008,SWE,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2009,RUS,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2009,CAN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2009,SWE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2009,USA,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2010,CZE,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2010,RUS,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2010,SWE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2010,DEU,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2011,FIN,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2011,SWE,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2011,CZE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2011,RUS,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2012,RUS,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2012,SVK,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2012,CZE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2012,FIN,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2013,SWE,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2013,CHE,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2013,USA,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2013,FIN,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2014,RUS,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
iihf_ice_hockey_world_championship_men_2014,FIN,2,silver,iihf_ice_hockey_world_championship_final_rank=2;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,7.0
iihf_ice_hockey_world_championship_men_2014,SWE,3,bronze,iihf_ice_hockey_world_championship_final_rank=3;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,5.0
iihf_ice_hockey_world_championship_men_2014,CZE,4,,iihf_ice_hockey_world_championship_final_rank=4;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,4.0
iihf_ice_hockey_world_championship_men_2015,CAN,1,gold,iihf_ice_hockey_world_championship_final_rank=1;source_url=https://en.wikipedia.org/wiki/List_of_IIHF_World_Championship_medalists,10.0
