country_id,iso2,iso3,name_en,name_fr
HUN,HU,HUN,Hungary,
WAL,,WAL,Wales,
AUT,AT,AUT,Austria,
IND,IN,IND,India,
ENG,,ENG,England,
GER,,GER,Weimar Republic,
SWE,SE,SWE,Sweden,
TCH,,TCH,Czechoslovakia,
FRA,FR,FRA,France,
POL,PL,POL,Poland,
USA,US,USA,United States,
ROU,RO,ROU,Romania,
YUG,,YUG,Socialist Federal Republic of Yugoslavia,
EGY,EG,EGY,Egypt,
BEL,BE,BEL,Belgium,
SCO,,SCO,Scotland,
JPN,JP,JPN,Japan,
HKG,HK,HKG,Hong Kong,
CHN,CN,CHN,China,
GDR,,GDR,East Germany,
VNM,VN,VNM,Viet Nam,
KOR,KR,KOR,"Korea, Republic of",
FRG,,FRG,West Germany,
PRK,KP,PRK,"Korea, Democratic People's Republic of",
URS,,URS,Soviet Union,
GRC,GR,GRC,Greece,
HRV,HR,HRV,Croatia,
DEU,DE,DEU,Germany,
TPE,,TPE,Chinese Taipei,
BLR,BY,BLR,Belarus,
ITA,IT,ITA,Italy,
DNK,DK,DNK,Denmark,
SGP,SG,SGP,Singapore,
NLD,NL,NLD,Netherlands,
PRT,PT,PRT,Portugal,
LUX,LU,LUX,Luxembourg,
BRA,BR,BRA,Brazil,
