event_id,competition_id,discipline_id,gender,event_class,event_date
ittf_world_table_tennis_championships_1926_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1926-12-31
ittf_world_table_tennis_championships_1926_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1926-12-31
ittf_world_table_tennis_championships_1926_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1926-12-31
ittf_world_table_tennis_championships_1926_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1926-12-31
ittf_world_table_tennis_championships_1926_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1926-12-31
ittf_world_table_tennis_championships_1928_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1928_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1928_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1928_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1928_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1928_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1928-12-31
ittf_world_table_tennis_championships_1929_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1929_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1929_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1929_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1929_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1929_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1929-12-31
ittf_world_table_tennis_championships_1930_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1930_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1930_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1930_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1930_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1930_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1930-12-31
ittf_world_table_tennis_championships_1931_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1931_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1931_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1931_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1931_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1931_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1931-12-31
ittf_world_table_tennis_championships_1932_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1932_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1932_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1932_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1932_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1932_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1932-12-31
ittf_world_table_tennis_championships_1933_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1933_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1933_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1933_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1933_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1933_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1933-12-31
ittf_world_table_tennis_championships_1934_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_mens_team,ittf_world_table_tennis_championships,table-tennis_mens-team,men,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_mixed_doubles,ittf_world_table_tennis_championships,table-tennis_mixed-doubles,mixed,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_womens_doubles,ittf_world_table_tennis_championships,table-tennis_womens-doubles,women,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_womens_singles,ittf_world_table_tennis_championships,table-tennis_womens-singles,women,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1934_womens_team,ittf_world_table_tennis_championships,table-tennis_womens-team,women,final_ranking_top4,1934-12-31
ittf_world_table_tennis_championships_1935_mens_doubles,ittf_world_table_tennis_championships,table-tennis_mens-doubles,men,final_ranking_top4,1935-12-31
ittf_world_table_tennis_championships_1935_mens_singles,ittf_world_table_tennis_championships,table-tennis_mens-singles,men,final_ranking_top4,1935-12-31
