participant_id,type,display_name,country_id
pair_Roland_Jacobi__Daniel_Pecsi_HUN,team,Roland Jacobi / Daniel Pecsi,HUN
pair_Béla_von_Kehrling__Zoltán_Mechlovits_HUN,team,Béla von Kehrling / Zoltán Mechlovits,HUN
pair_Cyril_Mossford__Hedley_Penny_WAL,team,Cyril Mossford / Hedley Penny,WAL
pair_Paul_Flussmann__Munio_Pillinger_AUT,team,Paul Flussmann / Munio Pillinger,AUT
athlete_Roland_Jacobi_HUN,athlete,Roland Jacobi,HUN
athlete_Zoltán_Mechlovits_HUN,athlete,Zoltán Mechlovits,HUN
athlete_Munio_Pillinger_AUT,athlete,Munio Pillinger,AUT
athlete_SRG_Suppiah_IND,athlete,S.R.G. Suppiah,IND
HUN,team,Hungary,HUN
AUT,team,Austria,AUT
ENG,team,England,ENG
IND,team,India,IND
pair_Zoltán_Mechlovits__Mária_Mednyánszky_HUN,team,Zoltán Mechlovits / Mária Mednyánszky,HUN
pair_Roland_Jacobi__Linda_Gleeson_HUN,team,Roland Jacobi / Linda Gleeson,HUN
pair_Eduard_Freudenheim__Gertrude_Wildam_AUT,team,Eduard Freudenheim / Gertrude Wildam,AUT
pair_HA_Bennett__Winifred_Land_ENG,team,H.A. Bennett / Winifred Land,ENG
athlete_Mária_Mednyánszky_HUN,athlete,Mária Mednyánszky,HUN
athlete_Doris_Gubbins_WAL,athlete,Doris Gubbins,WAL
athlete_Anastasia_Flussmann_AUT,athlete,Anastasia Flussmann,AUT
athlete_Winifred_Land_ENG,athlete,Winifred Land,ENG
pair_Alfred_Liebster__Robert_Thum_AUT,team,Alfred Liebster / Robert Thum,AUT
pair_Charlie_Bull__Fred_Perry_ENG,team,Charlie Bull / Fred Perry,ENG
pair_Laszlo_Bellak__Sándor_Glancz_HUN,team,Laszlo Bellak / Sándor Glancz,HUN
pair_Roland_Jacobi__Zoltán_Mechlovits_HUN,team,Roland Jacobi / Zoltán Mechlovits,HUN
athlete_Laszlo_Bellak_HUN,athlete,Laszlo Bellak,HUN
athlete_Alfred_Liebster_AUT,athlete,Alfred Liebster,AUT
athlete_Paul_Flussmann_AUT,athlete,Paul Flussmann,AUT
pair_Daniel_Pecsi__Erika_Metzger_HUN,team,Daniel Pecsi / Erika Metzger,HUN
pair_Charles_Bull__Joan_Ingram_ENG,team,Charles Bull / Joan Ingram,ENG
pair_Fred_Perry__Winifred_Land_ENG,team,Fred Perry / Winifred Land,ENG
pair_Fanchette_Flamm__Mária_Mednyánszky_AUT,team,Fanchette Flamm / Mária Mednyánszky,AUT
pair_Doris_Gubbins__Brenda_Sommerville_WAL,team,Doris Gubbins / Brenda Sommerville,WAL
pair_Joan_Ingram__Winifred_Land_ENG,team,Joan Ingram / Winifred Land,ENG
athlete_Erika_Metzger_GER,athlete,Erika Metzger,GER
athlete_Joan_Ingram_ENG,athlete,Joan Ingram,ENG
pair_Viktor_Barna__Miklós_Szabados_HUN,team,Viktor Barna / Miklós Szabados,HUN
pair_István_Reti__György_Szegedi_HUN,team,István Reti / György Szegedi,HUN
athlete_Fred_Perry_ENG,athlete,Fred Perry,ENG
athlete_Miklós_Szabados_HUN,athlete,Miklós Szabados,HUN
athlete_Adrian_Haydon_ENG,athlete,Adrian Haydon,ENG
pair_Stephen_Kelen__Anna_Sipos_HUN,team,Stephen Kelen / Anna Sipos,HUN
pair_Laszlo_Bellak__Magda_Gál_HUN,team,Laszlo Bellak / Magda Gál,HUN
pair_Alfred_Liebster__Gertrude_Wildam_AUT,team,Alfred Liebster / Gertrude Wildam,AUT
pair_Erika_Metzger__Mona_Rüster_GER,team,Erika Metzger / Mona Rüster,GER
pair_Fanchette_Flamm__Gertrude_Wildam_AUT,team,Fanchette Flamm / Gertrude Wildam,AUT
pair_Magda_Gál__IIona_Zádor_HUN,team,Magda Gál / IIona Zádor,HUN
pair_Mária_Mednyánszky__Anna_Sipos_HUN,team,Mária Mednyánszky / Anna Sipos,HUN
athlete_Gertrude_Wildam_AUT,athlete,Gertrude Wildam,AUT
athlete_Anna_Sipos_HUN,athlete,Anna Sipos,HUN
athlete_Magda_Gál_HUN,athlete,Magda Gál,HUN
pair_Valter_Kolmodin__Hille_Nilsson_SWE,team,Valter Kolmodin / Hille Nilsson,SWE
athlete_Viktor_Barna_HUN,athlete,Viktor Barna,HUN
athlete_Lajos_Dávid_HUN,athlete,Lajos Dávid,HUN
athlete_Stephen_Kelen_HUN,athlete,Stephen Kelen,HUN
SWE,team,Sweden,SWE
TCH,team,Czechoslovakia,TCH
pair_Miklós_Szabados__Mária_Mednyánszky_HUN,team,Miklós Szabados / Mária Mednyánszky,HUN
pair_Sándor_Glancz__Ingeborg_Carnatz_HUN,team,Sándor Glancz / Ingeborg Carnatz,HUN
pair_Viktor_Barna__Magda_Gál_HUN,team,Viktor Barna / Magda Gál,HUN
pair_Magda_Gál__Márta_Komáromi_HUN,team,Magda Gál / Márta Komáromi,HUN
pair_Helly_Reitzer__Gertrude_Wildam_AUT,team,Helly Reitzer / Gertrude Wildam,AUT
pair_Josefine_Kolbe__Etta_Neumann_AUT,team,Josefine Kolbe / Etta Neumann,AUT
athlete_Josefine_Kolbe_AUT,athlete,Josefine Kolbe,AUT
pair_Lajos_Dávid__Stephen_Kelen_HUN,team,Lajos Dávid / Stephen Kelen,HUN
pair_Jindich_Lauterbach__Karel_Svoboda_TCH,team,Jindřich Lauterbach / Karel Svoboda,TCH
pair_Manfred_Feher__Alfred_Liebster_AUT,team,Manfred Feher / Alfred Liebster,AUT
athlete_Ferenc_Kovács_HUN,athlete,Ferenc Kovács,HUN
athlete_Nikita_Madjaroglou_GER,athlete,Nikita Madjaroglou,GER
pair_Viktor_Barna__Anna_Sipos_HUN,team,Viktor Barna / Anna Sipos,HUN
pair_Laszlo_Bellak__Márta_Komáromi_HUN,team,Laszlo Bellak / Márta Komáromi,HUN
