event_id,participant_id,rank,medal,score_raw,points_awarded
ittf_world_table_tennis_championships_1926_mens_doubles,pair_Roland_Jacobi__Daniel_Pecsi_HUN,1,gold,discipline=mens_doubles;rank=1,10.0
ittf_world_table_tennis_championships_1926_mens_doubles,pair_Béla_von_Kehrling__Zoltán_Mechlovits_HUN,2,silver,discipline=mens_doubles;rank=2,7.0
ittf_world_table_tennis_championships_1926_mens_doubles,pair_Cyril_Mossford__Hedley_Penny_WAL,3,bronze,discipline=mens_doubles;rank=3,5.0
ittf_world_table_tennis_championships_1926_mens_doubles,pair_Paul_Flussmann__Munio_Pillinger_AUT,3,bronze,discipline=mens_doubles;rank=3,5.0
ittf_world_table_tennis_championships_1926_mens_singles,athlete_Roland_Jacobi_HUN,1,gold,discipline=mens_singles;rank=1,10.0
ittf_world_table_tennis_championships_1926_mens_singles,athlete_Zoltán_Mechlovits_HUN,2,silver,discipline=mens_singles;rank=2,7.0
ittf_world_table_tennis_championships_1926_mens_singles,athlete_Munio_Pillinger_AUT,3,bronze,discipline=mens_singles;rank=3,5.0
ittf_world_table_tennis_championships_1926_mens_singles,athlete_SRG_Suppiah_IND,3,bronze,discipline=mens_singles;rank=3,5.0
ittf_world_table_tennis_championships_1926_mens_team,HUN,1,gold,discipline=mens_team;rank=1,10.0
ittf_world_table_tennis_championships_1926_mens_team,AUT,2,silver,discipline=mens_team;rank=2,7.0
ittf_world_table_tennis_championships_1926_mens_team,ENG,3,bronze,discipline=mens_team;rank=3,5.0
ittf_world_table_tennis_championships_1926_mens_team,IND,3,bronze,discipline=mens_team;rank=3,5.0
ittf_world_table_tennis_championships_1926_mixed_doubles,pair_Zoltán_Mechlovits__Mária_Mednyánszky_HUN,1,gold,discipline=mixed_doubles;rank=1,10.0
ittf_world_table_tennis_championships_1926_mixed_doubles,pair_Roland_Jacobi__Linda_Gleeson_HUN,2,silver,discipline=mixed_doubles;rank=2,7.0
ittf_world_table_tennis_championships_1926_mixed_doubles,pair_Eduard_Freudenheim__Gertrude_Wildam_AUT,3,bronze,discipline=mixed_doubles;rank=3,5.0
ittf_world_table_tennis_championships_1926_mixed_doubles,pair_HA_Bennett__Winifred_Land_ENG,3,bronze,discipline=mixed_doubles;rank=3,5.0
ittf_world_table_tennis_championships_1926_womens_singles,athlete_Mária_Mednyánszky_HUN,1,gold,discipline=womens_singles;rank=1,10.0
ittf_world_table_tennis_championships_1926_womens_singles,athlete_Doris_Gubbins_WAL,2,silver,discipline=womens_singles;rank=2,7.0
ittf_world_table_tennis_championships_1926_womens_singles,athlete_Anastasia_Flussmann_AUT,3,bronze,discipline=womens_singles;rank=3,5.0
ittf_world_table_tennis_championships_1926_womens_singles,athlete_Winifred_Land_ENG,3,bronze,discipline=womens_singles;rank=3,5.0
ittf_world_table_tennis_championships_1928_mens_doubles,pair_Alfred_Liebster__Robert_Thum_AUT,1,gold,discipline=mens_doubles;rank=1,10.0
ittf_world_table_tennis_championships_1928_mens_doubles,pair_Charlie_Bull__Fred_Perry_ENG,2,silver,discipline=mens_doubles;rank=2,7.0
ittf_world_table_tennis_championships_1928_mens_doubles,pair_Laszlo_Bellak__Sándor_Glancz_HUN,3,bronze,discipline=mens_doubles;rank=3,5.0
