discipline_id,discipline_name,discipline_slug,sport_id,confidence,mapping_source,created_at_utc
3x3-basketball-basketball,3x3 Basketball (Basketball),3x3-basketball-basketball,3x3-basketball-basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
artistic-swimming,Artistic Swimming,artistic-swimming,aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
diving,Diving,diving,aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
marathon-swimming,Marathon Swimming,marathon-swimming,aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
swimming,Swimming,swimming,aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
water-polo,Water Polo,water-polo,aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
archery,Archery,archery,archery,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
artistic-gymnastics-gymnastics,Artistic Gymnastics (Gymnastics),artistic-gymnastics-gymnastics,artistic-gymnastics-gymnastics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
artistic-swimming-aquatics,Artistic Swimming (Aquatics),artistic-swimming-aquatics,artistic-swimming-aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
athletics,Athletics,athletics,athletics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
badminton,Badminton,badminton,badminton,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
baseball-baseball-softball,Baseball (Baseball/Softball),baseball-baseball-softball,baseball-baseball-softball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
3x3-basketball,3x3 Basketball,3x3-basketball,basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
basketball,Basketball,basketball,basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
basketball-basketball,Basketball (Basketball),basketball-basketball,basketball-basketball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
beach-volleyball-volleyball,Beach Volleyball (Volleyball),beach-volleyball-volleyball,beach-volleyball-volleyball,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
biathlon,Biathlon,biathlon,biathlon,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
bobsleigh-bobsleigh,Bobsleigh (Bobsleigh),bobsleigh-bobsleigh,bobsleigh-bobsleigh,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
boxing,Boxing,boxing,boxing,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
breaking,Breaking,breaking,breaking,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-slalom,Canoe Slalom,canoe-slalom,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-slalom-canoeing,Canoe Slalom (Canoeing),canoe-slalom-canoeing,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-sprint,Canoe Sprint,canoe-sprint,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
canoe-sprint-canoeing,Canoe Sprint (Canoeing),canoe-sprint-canoeing,canoe,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
curling,Curling,curling,curling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-bmx-freestyle,Cycling BMX Freestyle,cycling-bmx-freestyle,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-bmx-freestyle-cycling,Cycling BMX Freestyle (Cycling),cycling-bmx-freestyle-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-bmx-racing,Cycling BMX Racing,cycling-bmx-racing,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-bmx-racing-cycling,Cycling BMX Racing (Cycling),cycling-bmx-racing-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-mountain-bike,Cycling Mountain Bike,cycling-mountain-bike,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-mountain-bike-cycling,Cycling Mountain Bike (Cycling),cycling-mountain-bike-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-road,Cycling Road,cycling-road,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-road-cycling,Cycling Road (Cycling),cycling-road-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-track,Cycling Track,cycling-track,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
cycling-track-cycling,Cycling Track (Cycling),cycling-track-cycling,cycling,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
diving-aquatics,Diving (Aquatics),diving-aquatics,diving-aquatics,0.95,connector_olympics_keith_history,2026-02-24T23:35:04+00:00
