event_id,competition_id,discipline_id,gender,event_class,event_date
olympics_summer_2000_archery_individual-men-olympic,olympics_summer_2000,archery,men,olympic_event,
olympics_summer_2000_archery_individual-women-olympic,olympics_summer_2000,archery,women,olympic_event,
olympics_summer_2000_archery_team-men-olympic,olympics_summer_2000,archery,men,olympic_event,
olympics_summer_2000_archery_team-women-olympic,olympics_summer_2000,archery,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_balance-beam-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_floor-exercise-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_floor-exercise-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_horizontal-bar-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_horse-vault-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_horse-vault-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_individual-all-around-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_individual-all-around-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_parallel-bars-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_pommelled-horse-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_rings-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_team-all-around-men-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,men,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_team-all-around-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-gymnastics-gymnastics_uneven-bars-women-olympic,olympics_summer_2000,artistic-gymnastics-gymnastics,women,olympic_event,
olympics_summer_2000_artistic-swimming-aquatics_duet-women-olympic,olympics_summer_2000,artistic-swimming-aquatics,women,olympic_event,
olympics_summer_2000_artistic-swimming-aquatics_team-women-olympic,olympics_summer_2000,artistic-swimming-aquatics,women,olympic_event,
olympics_summer_2000_athletics_1-500-metres-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_1-500-metres-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_10-000-metres-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_10-000-metres-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_100-metres-hurdles-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_100-metres-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_100-metres-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_110-metres-hurdles-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_20-kilometres-race-walk-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_20-kilometres-race-walk-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_200-metres-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_200-metres-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_3-000-metres-steeplechase-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_4-100-metres-relay-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_4-100-metres-relay-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_4-400-metres-relay-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_4-400-metres-relay-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
olympics_summer_2000_athletics_400-metres-hurdles-men-olympic,olympics_summer_2000,athletics,men,olympic_event,
olympics_summer_2000_athletics_400-metres-hurdles-women-olympic,olympics_summer_2000,athletics,women,olympic_event,
