event_id,competition_id,discipline_id,gender,event_class,event_date
paris2024_3x3-basketball_men,summer_olympics_paris_2024,3x3-basketball,men,olympic_medal_event,
paris2024_3x3-basketball_women,summer_olympics_paris_2024,3x3-basketball,women,olympic_medal_event,
paris2024_archery_men-s-individual,summer_olympics_paris_2024,archery,men,olympic_medal_event,
paris2024_archery_men-s-team,summer_olympics_paris_2024,archery,men,olympic_medal_event,
paris2024_archery_mixed-team,summer_olympics_paris_2024,archery,mixed,olympic_medal_event,
paris2024_archery_women-s-individual,summer_olympics_paris_2024,archery,women,olympic_medal_event,
paris2024_archery_women-s-team,summer_olympics_paris_2024,archery,women,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-all-around,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-floor-exercise,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-horizontal-bar,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-parallel-bars,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-pommel-horse,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-rings,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-team,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_men-s-vault,summer_olympics_paris_2024,artistic-gymnastics,men,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-all-around,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-balance-beam,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-floor-exercise,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-team,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-uneven-bars,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-gymnastics_women-s-vault,summer_olympics_paris_2024,artistic-gymnastics,women,olympic_medal_event,
paris2024_artistic-swimming_duet,summer_olympics_paris_2024,artistic-swimming,,olympic_medal_event,
paris2024_artistic-swimming_team,summer_olympics_paris_2024,artistic-swimming,,olympic_medal_event,
paris2024_athletics_4-x-400m-relay-mixed,summer_olympics_paris_2024,athletics,,olympic_medal_event,
paris2024_athletics_marathon-race-walk-relay-mixed,summer_olympics_paris_2024,athletics,,olympic_medal_event,
paris2024_athletics_men-s-10-000m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-100m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-110m-hurdles,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-1500m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-200m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-20km-race-walk,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-3000m-steeplechase,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-4-x-100m-relay,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-4-x-400m-relay,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-400m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-400m-hurdles,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-5000m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-800m,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-decathlon,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-discus-throw,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-hammer-throw,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-high-jump,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-javelin-throw,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-long-jump,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-marathon,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-pole-vault,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-shot-put,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_men-s-triple-jump,summer_olympics_paris_2024,athletics,men,olympic_medal_event,
paris2024_athletics_women-s-10-000m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-100m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-100m-hurdles,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-1500m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-200m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-20km-race-walk,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-3000m-steeplechase,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-4-x-100m-relay,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-4-x-400m-relay,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-400m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-400m-hurdles,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-5000m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-800m,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-discus-throw,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-hammer-throw,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-heptathlon,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-high-jump,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-javelin-throw,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-long-jump,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-marathon,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-pole-vault,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-shot-put,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_athletics_women-s-triple-jump,summer_olympics_paris_2024,athletics,women,olympic_medal_event,
paris2024_bmx-freestyle_men-s-park,summer_olympics_paris_2024,bmx-freestyle,men,olympic_medal_event,
paris2024_bmx-freestyle_women-s-park,summer_olympics_paris_2024,bmx-freestyle,women,olympic_medal_event,
paris2024_bmx-racing_men,summer_olympics_paris_2024,bmx-racing,men,olympic_medal_event,
paris2024_bmx-racing_women,summer_olympics_paris_2024,bmx-racing,women,olympic_medal_event,
paris2024_badminton_men-s-doubles,summer_olympics_paris_2024,badminton,men,olympic_medal_event,
paris2024_badminton_men-s-singles,summer_olympics_paris_2024,badminton,men,olympic_medal_event,
paris2024_badminton_mixed-doubles,summer_olympics_paris_2024,badminton,mixed,olympic_medal_event,
paris2024_badminton_women-s-doubles,summer_olympics_paris_2024,badminton,women,olympic_medal_event,
paris2024_badminton_women-s-singles,summer_olympics_paris_2024,badminton,women,olympic_medal_event,
paris2024_basketball_men,summer_olympics_paris_2024,basketball,men,olympic_medal_event,
paris2024_basketball_women,summer_olympics_paris_2024,basketball,women,olympic_medal_event,
paris2024_beach-volleyball_men,summer_olympics_paris_2024,beach-volleyball,men,olympic_medal_event,
paris2024_beach-volleyball_women,summer_olympics_paris_2024,beach-volleyball,women,olympic_medal_event,
paris2024_boxing_men-s-92kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_men-s-51kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_men-s-57kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_men-s-63-5kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_men-s-71kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_men-s-80kg,summer_olympics_paris_2024,boxing,men,olympic_medal_event,
paris2024_boxing_women-s-50kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_boxing_women-s-54kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_boxing_women-s-57kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_boxing_women-s-60kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_boxing_women-s-66kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_boxing_women-s-75kg,summer_olympics_paris_2024,boxing,women,olympic_medal_event,
paris2024_breaking_b-boys,summer_olympics_paris_2024,breaking,,olympic_medal_event,
paris2024_breaking_b-girls,summer_olympics_paris_2024,breaking,,olympic_medal_event,
paris2024_canoe-slalom_men-s-canoe-single,summer_olympics_paris_2024,canoe-slalom,men,olympic_medal_event,
paris2024_canoe-slalom_men-s-kayak-cross,summer_olympics_paris_2024,canoe-slalom,men,olympic_medal_event,
paris2024_canoe-slalom_men-s-kayak-single,summer_olympics_paris_2024,canoe-slalom,men,olympic_medal_event,
paris2024_canoe-slalom_women-s-canoe-single,summer_olympics_paris_2024,canoe-slalom,women,olympic_medal_event,
paris2024_canoe-slalom_women-s-kayak-cross,summer_olympics_paris_2024,canoe-slalom,women,olympic_medal_event,
paris2024_canoe-slalom_women-s-kayak-single,summer_olympics_paris_2024,canoe-slalom,women,olympic_medal_event,
paris2024_canoe-sprint_men-s-canoe-double-500m,summer_olympics_paris_2024,canoe-sprint,men,olympic_medal_event,
paris2024_canoe-sprint_men-s-canoe-single-1000m,summer_olympics_paris_2024,canoe-sprint,men,olympic_medal_event,
paris2024_canoe-sprint_men-s-kayak-double-500m,summer_olympics_paris_2024,canoe-sprint,men,olympic_medal_event,
paris2024_canoe-sprint_men-s-kayak-four-500m,summer_olympics_paris_2024,canoe-sprint,men,olympic_medal_event,
paris2024_canoe-sprint_men-s-kayak-single-1000m,summer_olympics_paris_2024,canoe-sprint,men,olympic_medal_event,
paris2024_canoe-sprint_women-s-canoe-double-500m,summer_olympics_paris_2024,canoe-sprint,women,olympic_medal_event,
paris2024_canoe-sprint_women-s-canoe-single-200m,summer_olympics_paris_2024,canoe-sprint,women,olympic_medal_event,
paris2024_canoe-sprint_women-s-kayak-double-500m,summer_olympics_paris_2024,canoe-sprint,women,olympic_medal_event,
paris2024_canoe-sprint_women-s-kayak-four-500m,summer_olympics_paris_2024,canoe-sprint,women,olympic_medal_event,
paris2024_canoe-sprint_women-s-kayak-single-500m,summer_olympics_paris_2024,canoe-sprint,women,olympic_medal_event,
paris2024_diving_men-s-10m-platform,summer_olympics_paris_2024,diving,men,olympic_medal_event,
paris2024_diving_men-s-3m-springboard,summer_olympics_paris_2024,diving,men,olympic_medal_event,
paris2024_diving_men-s-synchronised-10m-platform,summer_olympics_paris_2024,diving,men,olympic_medal_event,
paris2024_diving_men-s-synchronised-3m-springboard,summer_olympics_paris_2024,diving,men,olympic_medal_event,
paris2024_diving_women-s-10m-platform,summer_olympics_paris_2024,diving,women,olympic_medal_event,
paris2024_diving_women-s-3m-springboard,summer_olympics_paris_2024,diving,women,olympic_medal_event,
paris2024_diving_women-s-synchronised-10m-platform,summer_olympics_paris_2024,diving,women,olympic_medal_event,
paris2024_diving_women-s-synchronised-3m-springboard,summer_olympics_paris_2024,diving,women,olympic_medal_event,
paris2024_equestrian_dressage-individual,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_equestrian_dressage-team,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_equestrian_eventing-individual,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_equestrian_eventing-team,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_equestrian_jumping-individual,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_equestrian_jumping-team,summer_olympics_paris_2024,equestrian,,olympic_medal_event,
paris2024_fencing_men-s-foil-individual,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_men-s-foil-team,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_men-s-sabre-individual,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_men-s-sabre-team,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_men-s-p-e-individual,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_men-s-p-e-team,summer_olympics_paris_2024,fencing,men,olympic_medal_event,
paris2024_fencing_women-s-foil-individual,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_fencing_women-s-foil-team,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_fencing_women-s-sabre-individual,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_fencing_women-s-sabre-team,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_fencing_women-s-p-e-individual,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_fencing_women-s-p-e-team,summer_olympics_paris_2024,fencing,women,olympic_medal_event,
paris2024_football_men,summer_olympics_paris_2024,football,men,olympic_medal_event,
paris2024_football_women,summer_olympics_paris_2024,football,women,olympic_medal_event,
paris2024_golf_men-s-individual-stroke-play,summer_olympics_paris_2024,golf,men,olympic_medal_event,
paris2024_golf_women-s-individual-stroke-play,summer_olympics_paris_2024,golf,women,olympic_medal_event,
paris2024_handball_men,summer_olympics_paris_2024,handball,men,olympic_medal_event,
paris2024_handball_women,summer_olympics_paris_2024,handball,women,olympic_medal_event,
paris2024_hockey_men,summer_olympics_paris_2024,hockey,men,olympic_medal_event,
paris2024_hockey_women,summer_olympics_paris_2024,hockey,women,olympic_medal_event,
paris2024_judo_men-100-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_men-60-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_men-66-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_men-73-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_men-81-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_men-90-kg,summer_olympics_paris_2024,judo,men,olympic_medal_event,
paris2024_judo_mixed-team,summer_olympics_paris_2024,judo,mixed,olympic_medal_event,
paris2024_judo_women-78-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_judo_women-48-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_judo_women-52-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_judo_women-57-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_judo_women-63-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_judo_women-70-kg,summer_olympics_paris_2024,judo,women,olympic_medal_event,
paris2024_marathon-swimming_men-s-10km,summer_olympics_paris_2024,marathon-swimming,men,olympic_medal_event,
paris2024_marathon-swimming_women-s-10km,summer_olympics_paris_2024,marathon-swimming,women,olympic_medal_event,
paris2024_modern-pentathlon_men-s-individual,summer_olympics_paris_2024,modern-pentathlon,men,olympic_medal_event,
paris2024_modern-pentathlon_women-s-individual,summer_olympics_paris_2024,modern-pentathlon,women,olympic_medal_event,
paris2024_mountain-bike_men-s-cross-country,summer_olympics_paris_2024,mountain-bike,men,olympic_medal_event,
paris2024_mountain-bike_women-s-cross-country,summer_olympics_paris_2024,mountain-bike,women,olympic_medal_event,
paris2024_rhythmic-gymnastics_group-all-around,summer_olympics_paris_2024,rhythmic-gymnastics,,olympic_medal_event,
paris2024_rhythmic-gymnastics_individual-all-around,summer_olympics_paris_2024,rhythmic-gymnastics,,olympic_medal_event,
paris2024_road-cycling_men-s-individual-time-trial,summer_olympics_paris_2024,road-cycling,men,olympic_medal_event,
paris2024_road-cycling_men-s-road-race,summer_olympics_paris_2024,road-cycling,men,olympic_medal_event,
paris2024_road-cycling_women-s-individual-time-trial,summer_olympics_paris_2024,road-cycling,women,olympic_medal_event,
paris2024_road-cycling_women-s-road-race,summer_olympics_paris_2024,road-cycling,women,olympic_medal_event,
paris2024_rowing_lightweight-men-s-double-sculls,summer_olympics_paris_2024,rowing,,olympic_medal_event,
paris2024_rowing_lightweight-women-s-double-sculls,summer_olympics_paris_2024,rowing,,olympic_medal_event,
paris2024_rowing_men-s-double-sculls,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_men-s-eight,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_men-s-four,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_men-s-pair,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_men-s-quadruple-sculls,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_men-s-single-sculls,summer_olympics_paris_2024,rowing,men,olympic_medal_event,
paris2024_rowing_women-s-double-sculls,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rowing_women-s-eight,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rowing_women-s-four,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rowing_women-s-pair,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rowing_women-s-quadruple-sculls,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rowing_women-s-single-sculls,summer_olympics_paris_2024,rowing,women,olympic_medal_event,
paris2024_rugby-sevens_men,summer_olympics_paris_2024,rugby-sevens,men,olympic_medal_event,
paris2024_rugby-sevens_women,summer_olympics_paris_2024,rugby-sevens,women,olympic_medal_event,
paris2024_sailing_men-s-dinghy,summer_olympics_paris_2024,sailing,men,olympic_medal_event,
paris2024_sailing_men-s-kite,summer_olympics_paris_2024,sailing,men,olympic_medal_event,
paris2024_sailing_men-s-skiff,summer_olympics_paris_2024,sailing,men,olympic_medal_event,
paris2024_sailing_men-s-windsurfing,summer_olympics_paris_2024,sailing,men,olympic_medal_event,
paris2024_sailing_mixed-dinghy,summer_olympics_paris_2024,sailing,mixed,olympic_medal_event,
paris2024_sailing_mixed-multihull,summer_olympics_paris_2024,sailing,mixed,olympic_medal_event,
paris2024_sailing_women-s-dinghy,summer_olympics_paris_2024,sailing,women,olympic_medal_event,
paris2024_sailing_women-s-kite,summer_olympics_paris_2024,sailing,women,olympic_medal_event,
paris2024_sailing_women-s-skiff,summer_olympics_paris_2024,sailing,women,olympic_medal_event,
paris2024_sailing_women-s-windsurfing,summer_olympics_paris_2024,sailing,women,olympic_medal_event,
paris2024_shooting_10m-air-pistol-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_10m-air-pistol-mixed-team,summer_olympics_paris_2024,shooting,mixed,olympic_medal_event,
paris2024_shooting_10m-air-pistol-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_10m-air-rifle-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_10m-air-rifle-mixed-team,summer_olympics_paris_2024,shooting,mixed,olympic_medal_event,
paris2024_shooting_10m-air-rifle-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_25m-pistol-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_25m-rapid-fire-pistol-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_50m-rifle-3-positions-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_50m-rifle-3-positions-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_skeet-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_skeet-mixed-team,summer_olympics_paris_2024,shooting,mixed,olympic_medal_event,
paris2024_shooting_skeet-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_trap-men,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_shooting_trap-women,summer_olympics_paris_2024,shooting,,olympic_medal_event,
paris2024_skateboarding_men-s-park,summer_olympics_paris_2024,skateboarding,men,olympic_medal_event,
paris2024_skateboarding_men-s-street,summer_olympics_paris_2024,skateboarding,men,olympic_medal_event,
paris2024_skateboarding_women-s-park,summer_olympics_paris_2024,skateboarding,women,olympic_medal_event,
paris2024_skateboarding_women-s-street,summer_olympics_paris_2024,skateboarding,women,olympic_medal_event,
paris2024_sport-climbing_men-s-boulder-lead,summer_olympics_paris_2024,sport-climbing,men,olympic_medal_event,
paris2024_sport-climbing_men-s-speed,summer_olympics_paris_2024,sport-climbing,men,olympic_medal_event,
paris2024_sport-climbing_women-s-boulder-lead,summer_olympics_paris_2024,sport-climbing,women,olympic_medal_event,
paris2024_sport-climbing_women-s-speed,summer_olympics_paris_2024,sport-climbing,women,olympic_medal_event,
paris2024_surfing_men,summer_olympics_paris_2024,surfing,men,olympic_medal_event,
paris2024_surfing_women,summer_olympics_paris_2024,surfing,women,olympic_medal_event,
paris2024_swimming_men-s-100m-backstroke,summer_olympics_paris_2024,swimming,men,olympic_medal_event,
paris2024_swimming_men-s-100m-breaststroke,summer_olympics_paris_2024,swimming,men,olympic_medal_event,
paris2024_swimming_men-s-100m-butterfly,summer_olympics_paris_2024,swimming,men,olympic_medal_event,
paris2024_swimming_men-s-100m-freestyle,summer_olympics_paris_2024,swimming,men,olympic_medal_event,
paris2024_swimming_men-s-1500m-freestyle,summer_olympics_paris_2024,swimming,men,olympic_medal_event,
