participant_id,type,display_name,country_id
nation_LTU,team,LTU nation team,LTU
nation_NED,team,NED nation team,NED
nation_FRA,team,FRA nation team,FRA
nation_USA,team,USA nation team,USA
nation_GER,team,GER nation team,GER
nation_ESP,team,ESP nation team,ESP
athlete_LEE_Wooseok_KOR,athlete,LEE Wooseok,KOR
athlete_KIM_Woojin_KOR,athlete,KIM Woojin,KOR
athlete_ELLISON_Brady_USA,athlete,ELLISON Brady,USA
nation_TUR,team,TUR nation team,TUR
nation_KOR,team,KOR nation team,KOR
athlete_BARBELIN_Lisa_FRA,athlete,BARBELIN Lisa,FRA
athlete_LIM_Sihyeon_KOR,athlete,LIM Sihyeon,KOR
athlete_NAM_Suhyeon_KOR,athlete,NAM Suhyeon,KOR
nation_MEX,team,MEX nation team,MEX
nation_CHN,team,CHN nation team,CHN
athlete_XIAO_Ruoteng_CHN,athlete,XIAO Ruoteng,CHN
athlete_OKA_Shinnosuke_JPN,athlete,OKA Shinnosuke,JPN
athlete_ZHANG_Boheng_CHN,athlete,ZHANG Boheng,CHN
athlete_JARMAN_Jake_GBR,athlete,JARMAN Jake,GBR
athlete_YULO_Carlos_Edriel_PHI,athlete,YULO Carlos Edriel,PHI
athlete_DOLGOPYAT_Artem_ISR,athlete,DOLGOPYAT Artem,ISR
athlete_TANG_Chia-Hung_TPE,athlete,TANG Chia-Hung,TPE
athlete_BARAJAS_Angel_COL,athlete,BARAJAS Angel,COL
athlete_ZOU_Jingyuan_CHN,athlete,ZOU Jingyuan,CHN
athlete_KOVTUN_Illia_UKR,athlete,KOVTUN Illia,UKR
athlete_NEDOROSCIK_Stephen_USA,athlete,NEDOROSCIK Stephen,USA
athlete_Mc_CLENAGHAN_Rhys_IRL,athlete,Mc CLENAGHAN Rhys,IRL
athlete_KURBANOV_Nariman_KAZ,athlete,KURBANOV Nariman,KAZ
athlete_PETROUNIAS_Eleftherios_GRE,athlete,PETROUNIAS Eleftherios,GRE
athlete_LIU_Yang_CHN,athlete,LIU Yang,CHN
nation_JPN,team,JPN nation team,JPN
athlete_HEPWORTH_Harry_GBR,athlete,HEPWORTH Harry,GBR
athlete_DAVTYAN_Artur_ARM,athlete,DAVTYAN Artur,ARM
athlete_LEE_Sunisa_USA,athlete,LEE Sunisa,USA
athlete_BILES_Simone_USA,athlete,BILES Simone,USA
athlete_ANDRADE_Rebeca_BRA,athlete,ANDRADE Rebeca,BRA
athlete_ESPOSITO_Manila_ITA,athlete,ESPOSITO Manila,ITA
athlete_DAMATO_Alice_ITA,athlete,D'AMATO Alice,ITA
athlete_ZHOU_Yaqin_CHN,athlete,ZHOU Yaqin,CHN
athlete_BARBOSU_Ana_ROU,athlete,BARBOSU Ana,ROU
nation_BRA,team,BRA nation team,BRA
nation_ITA,team,ITA nation team,ITA
athlete_NEMOUR_Kaylia_ALG,athlete,NEMOUR Kaylia,ALG
athlete_QIU_Qiyuan_CHN,athlete,QIU Qiyuan,CHN
athlete_CAREY_Jade_USA,athlete,CAREY Jade,USA
nation_GBR,team,GBR nation team,GBR
nation_AUS,team,AUS nation team,AUS
nation_ECU,team,ECU nation team,ECU
athlete_FISHER_Grant_USA,athlete,FISHER Grant,USA
athlete_CHEPTEGEI_Joshua_UGA,athlete,CHEPTEGEI Joshua,UGA
athlete_AREGAWI_Berihu_ETH,athlete,AREGAWI Berihu,ETH
athlete_KERLEY_Fred_USA,athlete,KERLEY Fred,USA
athlete_LYLES_Noah_USA,athlete,LYLES Noah,USA
athlete_THOMPSON_Kishane_JAM,athlete,THOMPSON Kishane,JAM
athlete_BROADBELL_Rasheed_JAM,athlete,BROADBELL Rasheed,JAM
athlete_HOLLOWAY_Grant_USA,athlete,HOLLOWAY Grant,USA
athlete_ROBERTS_Daniel_USA,athlete,ROBERTS Daniel,USA
athlete_NUGUSE_Yared_USA,athlete,NUGUSE Yared,USA
athlete_HOCKER_Cole_USA,athlete,HOCKER Cole,USA
athlete_KERR_Josh_GBR,athlete,KERR Josh,GBR
athlete_TEBOGO_Letsile_BOT,athlete,TEBOGO Letsile,BOT
athlete_BEDNAREK_Kenneth_USA,athlete,BEDNAREK Kenneth,USA
athlete_MARTIN_Alvaro_ESP,athlete,MARTIN Alvaro,ESP
athlete_PINTADO_Brian_Daniel_ECU,athlete,PINTADO Brian Daniel,ECU
athlete_BONFIM_Caio_BRA,athlete,BONFIM Caio,BRA
athlete_KIBIWOT_Abraham_KEN,athlete,KIBIWOT Abraham,KEN
athlete_EL_BAKKALI_Soufiane_MAR,athlete,EL BAKKALI Soufiane,MAR
athlete_ROOKS_Kenneth_USA,athlete,ROOKS Kenneth,USA
nation_CAN,team,CAN nation team,CAN
nation_RSA,team,RSA nation team,RSA
nation_BOT,team,BOT nation team,BOT
athlete_SAMUKONGA_Muzala_ZAM,athlete,SAMUKONGA Muzala,ZAM
athlete_HALL_Quincy_USA,athlete,HALL Quincy,USA
athlete_HUDSON-SMITH_Matthew_GBR,athlete,HUDSON-SMITH Matthew,GBR
athlete_dos_SANTOS_Alison_BRA,athlete,dos SANTOS Alison,BRA
athlete_BENJAMIN_Rai_USA,athlete,BENJAMIN Rai,USA
athlete_WARHOLM_Karsten_NOR,athlete,WARHOLM Karsten,NOR
athlete_INGEBRIGTSEN_Jakob_NOR,athlete,INGEBRIGTSEN Jakob,NOR
athlete_KWEMOI_Ronald_KEN,athlete,KWEMOI Ronald,KEN
athlete_SEDJATI_Djamel_ALG,athlete,SEDJATI Djamel,ALG
athlete_WANYONYI_Emmanuel_KEN,athlete,WANYONYI Emmanuel,KEN
athlete_AROP_Marco_CAN,athlete,AROP Marco,CAN
athlete_VICTOR_Lindon_GRN,athlete,VICTOR Lindon,GRN
athlete_ROOTH_Markus_NOR,athlete,ROOTH Markus,NOR
athlete_NEUGEBAUER_Leo_GER,athlete,NEUGEBAUER Leo,GER
athlete_DENNY_Matthew_AUS,athlete,DENNY Matthew,AUS
athlete_STONA_Roje_JAM,athlete,STONA Roje,JAM
athlete_ALEKNA_Mykolas_LTU,athlete,ALEKNA Mykolas,LTU
athlete_KOKHAN_Mykhaylo_UKR,athlete,KOKHAN Mykhaylo,UKR
athlete_KATZBERG_Ethan_CAN,athlete,KATZBERG Ethan,CAN
athlete_HALASZ_Bence_HUN,athlete,HALASZ Bence,HUN
athlete_BARSHIM_Mutaz_Essa_QAT,athlete,BARSHIM Mutaz Essa,QAT
athlete_KERR_Hamish_NZL,athlete,KERR Hamish,NZL
athlete_McEWEN_Shelby_USA,athlete,McEWEN Shelby,USA
athlete_PETERS_Anderson_GRN,athlete,PETERS Anderson,GRN
athlete_NADEEM_Arshad_PAK,athlete,NADEEM Arshad,PAK
athlete_CHOPRA_Neeraj_IND,athlete,CHOPRA Neeraj,IND
athlete_FURLANI_Mattia_ITA,athlete,FURLANI Mattia,ITA
athlete_TENTOGLOU_Miltiadis_GRE,athlete,TENTOGLOU Miltiadis,GRE
athlete_PINNOCK_Wayne_JAM,athlete,PINNOCK Wayne,JAM
athlete_KIPRUTO_Benson_KEN,athlete,KIPRUTO Benson,KEN
athlete_TOLA_Tamirat_ETH,athlete,TOLA Tamirat,ETH
athlete_ABDI_Bashir_BEL,athlete,ABDI Bashir,BEL
athlete_KARALIS_Emmanouil_GRE,athlete,KARALIS Emmanouil,GRE
athlete_DUPLANTIS_Armand_SWE,athlete,DUPLANTIS Armand,SWE
athlete_KENDRICKS_Sam_USA,athlete,KENDRICKS Sam,USA
athlete_CAMPBELL_Rajindra_JAM,athlete,CAMPBELL Rajindra,JAM
