event_id,participant_id,rank,medal,score_raw,points_awarded
paris2024_3x3-basketball_men,nation_LTU,3,bronze,color=B;noc=LTU,1.0
paris2024_3x3-basketball_men,nation_NED,1,gold,color=G;noc=NED,3.0
paris2024_3x3-basketball_men,nation_FRA,2,silver,color=S;noc=FRA,2.0
paris2024_3x3-basketball_women,nation_USA,3,bronze,color=B;noc=USA,1.0
paris2024_3x3-basketball_women,nation_GER,1,gold,color=G;noc=GER,3.0
paris2024_3x3-basketball_women,nation_ESP,2,silver,color=S;noc=ESP,2.0
paris2024_archery_men-s-individual,athlete_LEE_Wooseok_KOR,3,bronze,color=B;noc=KOR,1.0
paris2024_archery_men-s-individual,athlete_KIM_Woojin_KOR,1,gold,color=G;noc=KOR,3.0
paris2024_archery_men-s-individual,athlete_ELLISON_Brady_USA,2,silver,color=S;noc=USA,2.0
paris2024_archery_men-s-team,nation_TUR,3,bronze,color=B;noc=TUR,1.0
paris2024_archery_men-s-team,nation_KOR,1,gold,color=G;noc=KOR,3.0
paris2024_archery_men-s-team,nation_FRA,2,silver,color=S;noc=FRA,2.0
paris2024_archery_mixed-team,nation_USA,3,bronze,color=B;noc=USA,1.0
paris2024_archery_mixed-team,nation_KOR,1,gold,color=G;noc=KOR,3.0
paris2024_archery_mixed-team,nation_GER,2,silver,color=S;noc=GER,2.0
paris2024_archery_women-s-individual,athlete_BARBELIN_Lisa_FRA,3,bronze,color=B;noc=FRA,1.0
paris2024_archery_women-s-individual,athlete_LIM_Sihyeon_KOR,1,gold,color=G;noc=KOR,3.0
paris2024_archery_women-s-individual,athlete_NAM_Suhyeon_KOR,2,silver,color=S;noc=KOR,2.0
paris2024_archery_women-s-team,nation_MEX,3,bronze,color=B;noc=MEX,1.0
paris2024_archery_women-s-team,nation_KOR,1,gold,color=G;noc=KOR,3.0
paris2024_archery_women-s-team,nation_CHN,2,silver,color=S;noc=CHN,2.0
paris2024_artistic-gymnastics_men-s-all-around,athlete_XIAO_Ruoteng_CHN,3,bronze,color=B;noc=CHN,1.0
paris2024_artistic-gymnastics_men-s-all-around,athlete_OKA_Shinnosuke_JPN,1,gold,color=G;noc=JPN,3.0
paris2024_artistic-gymnastics_men-s-all-around,athlete_ZHANG_Boheng_CHN,2,silver,color=S;noc=CHN,2.0
paris2024_artistic-gymnastics_men-s-floor-exercise,athlete_JARMAN_Jake_GBR,3,bronze,color=B;noc=GBR,1.0
paris2024_artistic-gymnastics_men-s-floor-exercise,athlete_YULO_Carlos_Edriel_PHI,1,gold,color=G;noc=PHI,3.0
paris2024_artistic-gymnastics_men-s-floor-exercise,athlete_DOLGOPYAT_Artem_ISR,2,silver,color=S;noc=ISR,2.0
paris2024_artistic-gymnastics_men-s-horizontal-bar,athlete_ZHANG_Boheng_CHN,3,bronze,color=B;noc=CHN,1.0
paris2024_artistic-gymnastics_men-s-horizontal-bar,athlete_TANG_Chia-Hung_TPE,3,bronze,color=B;noc=TPE,1.0
paris2024_artistic-gymnastics_men-s-horizontal-bar,athlete_OKA_Shinnosuke_JPN,1,gold,color=G;noc=JPN,3.0
paris2024_artistic-gymnastics_men-s-horizontal-bar,athlete_BARAJAS_Angel_COL,2,silver,color=S;noc=COL,2.0
paris2024_artistic-gymnastics_men-s-parallel-bars,athlete_OKA_Shinnosuke_JPN,3,bronze,color=B;noc=JPN,1.0
paris2024_artistic-gymnastics_men-s-parallel-bars,athlete_ZOU_Jingyuan_CHN,1,gold,color=G;noc=CHN,3.0
paris2024_artistic-gymnastics_men-s-parallel-bars,athlete_KOVTUN_Illia_UKR,2,silver,color=S;noc=UKR,2.0
paris2024_artistic-gymnastics_men-s-pommel-horse,athlete_NEDOROSCIK_Stephen_USA,3,bronze,color=B;noc=USA,1.0
paris2024_artistic-gymnastics_men-s-pommel-horse,athlete_Mc_CLENAGHAN_Rhys_IRL,1,gold,color=G;noc=IRL,3.0
paris2024_artistic-gymnastics_men-s-pommel-horse,athlete_KURBANOV_Nariman_KAZ,2,silver,color=S;noc=KAZ,2.0
paris2024_artistic-gymnastics_men-s-rings,athlete_PETROUNIAS_Eleftherios_GRE,3,bronze,color=B;noc=GRE,1.0
paris2024_artistic-gymnastics_men-s-rings,athlete_LIU_Yang_CHN,1,gold,color=G;noc=CHN,3.0
paris2024_artistic-gymnastics_men-s-rings,athlete_ZOU_Jingyuan_CHN,2,silver,color=S;noc=CHN,2.0
paris2024_artistic-gymnastics_men-s-team,nation_USA,3,bronze,color=B;noc=USA,1.0
