event_id,competition_id,discipline_id,gender,event_class,event_date
rugby_league_world_cup_men_54,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1954-12-31
rugby_league_world_cup_men_57,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1957-12-31
rugby_league_world_cup_men_60,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1960-12-31
rugby_league_world_cup_men_68,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1968-12-31
rugby_league_world_cup_men_70,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1970-12-31
rugby_league_world_cup_men_72,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1972-12-31
rugby_league_world_cup_men_75,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1975-12-31
rugby_league_world_cup_men_77,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1977-12-31
rugby_league_world_cup_men_88,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1988-12-31
rugby_league_world_cup_men_92,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1992-12-31
rugby_league_world_cup_men_95,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,1995-12-31
rugby_league_world_cup_men_00,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,2000-12-31
rugby_league_world_cup_men_08,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,2008-12-31
rugby_league_world_cup_men_13,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,2013-12-31
rugby_league_world_cup_men_17,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,2017-12-31
rugby_league_world_cup_men_21,rugby_league_world_cup_men,rugby-league,men,final_ranking_top4,2022-11-19
rugby_league_world_cup_women_00,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2000-12-31
rugby_league_world_cup_women_03,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2003-12-31
rugby_league_world_cup_women_08,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2008-12-31
rugby_league_world_cup_women_13,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2013-12-31
rugby_league_world_cup_women_17,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2017-12-02
rugby_league_world_cup_women_21,rugby_league_world_cup_women,rugby-league,women,final_ranking_top4,2022-11-19
