event_id,participant_id,rank,medal,score_raw,points_awarded
rugby_league_world_cup_men_54,GBR,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_54,FRA,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_54,AUS,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_54,NZL,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_57,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_57,GBR,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_57,NZL,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_57,FRA,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_60,GBR,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_60,AUS,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_60,NZL,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_60,FRA,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_68,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_68,FRA,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_68,GBR,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_68,NZL,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_70,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_70,GBR,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_70,FRA,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_70,NZL,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_72,GBR,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_72,AUS,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_72,FRA,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_72,NZL,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_75,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_75,ENG,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_75,WAL,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_75,NZL,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_77,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_77,GBR,2,silver,rugby_league_world_cup_final_rank=2,7.0
rugby_league_world_cup_men_77,NZL,3,bronze,rugby_league_world_cup_final_rank=3,5.0
rugby_league_world_cup_men_77,FRA,4,,rugby_league_world_cup_final_rank=4,4.0
rugby_league_world_cup_men_88,AUS,1,gold,rugby_league_world_cup_final_rank=1,10.0
rugby_league_world_cup_men_88,NZL,2,silver,rugby_league_world_cup_final_rank=2,7.0
