event_id,competition_id,discipline_id,gender,event_class,event_date
rugby_world_cup_men_87,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,1987-06-20
rugby_world_cup_men_91,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,1991-11-02
rugby_world_cup_men_95,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,1995-06-24
rugby_world_cup_men_99,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,1999-11-06
rugby_world_cup_men_03,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2003-11-22
rugby_world_cup_men_07,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2007-10-20
rugby_world_cup_men_11,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2011-10-23
rugby_world_cup_men_15,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2015-10-31
rugby_world_cup_men_19,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2019-11-02
rugby_world_cup_men_23,rugby_world_cup_men,rugby-world-cup-men-final-ranking,men,final_ranking_top4,2023-10-28
rugby_world_cup_women_91,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,1991-04-14
rugby_world_cup_women_94,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,1994-04-24
rugby_world_cup_women_98,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,1998-05-16
rugby_world_cup_women_02,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2002-05-25
rugby_world_cup_women_06,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2006-09-17
rugby_world_cup_women_10,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2010-09-05
rugby_world_cup_women_14,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2014-08-17
rugby_world_cup_women_17,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2017-08-26
rugby_world_cup_women_21,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2022-11-12
rugby_world_cup_women_25,rugby_world_cup_women,rugby-world-cup-women-final-ranking,women,final_ranking_top4,2025-09-27
