event_id,participant_id,rank,medal,score_raw,points_awarded
rugby_world_cup_men_87,NZL,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_87,FRA,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_87,WAL,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_87,AUS,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_91,AUS,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_91,ENG,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_91,NZL,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_91,SCO,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_95,ZAF,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_95,NZL,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_95,FRA,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_95,ENG,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_99,AUS,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_99,FRA,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_99,ZAF,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_99,NZL,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_03,ENG,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_03,AUS,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_03,NZL,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_03,FRA,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_07,ZAF,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_07,ENG,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_07,ARG,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_07,FRA,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_11,NZL,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_11,FRA,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_11,AUS,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_11,WAL,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_15,NZL,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_15,AUS,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_15,ZAF,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_15,ARG,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_19,ZAF,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_19,ENG,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_19,NZL,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_19,WAL,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_men_23,ZAF,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_men_23,NZL,2,silver,rugby_world_cup_final_rank=2,7.0
rugby_world_cup_men_23,ENG,3,bronze,rugby_world_cup_final_rank=3,5.0
rugby_world_cup_men_23,ARG,4,,rugby_world_cup_final_rank=4,4.0
rugby_world_cup_women_91,USA,1,gold,rugby_world_cup_final_rank=1,10.0
rugby_world_cup_women_91,ENG,2,silver,rugby_world_cup_final_rank=2,7.0
