event_id,participant_id,rank,medal,score_raw,points_awarded
rugby_world_cup_sevens_men_93,ENG,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_93,AUS,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_93,FJI,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_93,IRL,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_97,FJI,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_97,ZAF,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_97,NZL,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_97,WSM,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_01,NZL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_01,AUS,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_01,ARG,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_01,FJI,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_05,FJI,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_05,NZL,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_05,AUS,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_05,ENG,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_09,WAL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_09,ARG,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_09,KEN,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_09,WSM,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_13,NZL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_13,ENG,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_13,FJI,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_13,KEN,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_men_18,NZL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_18,ENG,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_18,ZAF,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_18,FJI,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_men_22,FJI,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_men_22,NZL,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_men_22,IRL,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_men_22,AUS,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_women_09,AUS,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_women_09,NZL,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_women_09,USA,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_women_09,ZAF,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_women_13,NZL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_women_13,CAN,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_women_13,USA,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_women_13,ESP,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_women_18,NZL,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_women_18,FRA,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_women_18,AUS,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_women_18,USA,4,,rugby_world_cup_sevens_final_rank=4,4.0
rugby_world_cup_sevens_women_22,AUS,1,gold,rugby_world_cup_sevens_final_rank=1,10.0
rugby_world_cup_sevens_women_22,NZL,2,silver,rugby_world_cup_sevens_final_rank=2,7.0
rugby_world_cup_sevens_women_22,FRA,3,bronze,rugby_world_cup_sevens_final_rank=3,5.0
rugby_world_cup_sevens_women_22,USA,4,,rugby_world_cup_sevens_final_rank=4,4.0
