participant_id,type,display_name,country_id
athlete_Nicolas_Vouilloz_FRA,athlete,Nicolas Vouilloz,FRA
athlete_Steve_Peat_GBR,athlete,Steve Peat,GBR
athlete_Greg_Minnaar_ZAF,athlete,Greg Minnaar,ZAF
athlete_Anne-Caroline_Chausson_FRA,athlete,Anne-Caroline Chausson,FRA
athlete_Fionn_Griffiths_GBR,athlete,Fionn Griffiths,GBR
athlete_Leigh_Donovan_USA,athlete,Leigh Donovan,USA
athlete_Roland_Green_CAN,athlete,Roland Green,CAN
athlete_Thomas_Frischknecht_CHE,athlete,Thomas Frischknecht,CHE
athlete_Christoph_Sauser_CHE,athlete,Christoph Sauser,CHE
athlete_Alison_Dunlap_USA,athlete,Alison Dunlap,USA
athlete_Alison_Sydor_CAN,athlete,Alison Sydor,CAN
athlete_Sabine_Spitz_DEU,athlete,Sabine Spitz,DEU
athlete_Chris_Kovarik_AUS,athlete,Chris Kovarik,AUS
athlete_Missy_Giove_USA,athlete,Missy Giove,USA
athlete_Filip_Meirhaeghe_BEL,athlete,Filip Meirhaeghe,BEL
athlete_Gunn-Rita_Dahle_Flesjå_NOR,athlete,Gunn-Rita Dahle Flesjå,NOR
athlete_Anna_Szafraniec_POL,athlete,Anna Szafraniec,POL
athlete_Mickaël_Pascal_FRA,athlete,Mickaël Pascal,FRA
athlete_Fabien_Barel_FRA,athlete,Fabien Barel,FRA
athlete_Sabrina_Jonnier_FRA,athlete,Sabrina Jonnier,FRA
athlete_Nolvenn_Le_Caer_FRA,athlete,Nolvenn Le Caer,FRA
athlete_Ryder_Hesjedal_CAN,athlete,Ryder Hesjedal,CAN
athlete_Roel_Paulissen_BEL,athlete,Roel Paulissen,BEL
athlete_Irina_Kalentieva_RUS,athlete,Irina Kalentieva,RUS
athlete_Sam_Hill_AUS,athlete,Sam Hill,AUS
athlete_Vanessa_Quin_NZL,athlete,Vanessa Quin,NZL
athlete_Mio_Suemasa_JPN,athlete,Mio Suemasa,JPN
athlete_Celine_Gros_FRA,athlete,Celine Gros,FRA
athlete_Julien_Absalon_FRA,athlete,Julien Absalon,FRA
athlete_Cédric_Ravanel_FRA,athlete,Cédric Ravanel,FRA
athlete_Maja_Woszczowska_POL,athlete,Maja Włoszczowska,POL
athlete_Emmeline_Ragot_FRA,athlete,Emmeline Ragot,FRA
athlete_José_Antonio_Hermida_ESP,athlete,José Antonio Hermida,ESP
athlete_Petra_Henzi_CHE,athlete,Petra Henzi,CHE
athlete_Nathan_Rennie_AUS,athlete,Nathan Rennie,AUS
athlete_Tracy_Moseley_GBR,athlete,Tracy Moseley,GBR
athlete_Rachel_Atherton_GBR,athlete,Rachel Atherton,GBR
athlete_Fredrik_Kessiakoff_SWE,athlete,Fredrik Kessiakoff,SWE
athlete_Marie-Hélène_Prémont_CAN,athlete,Marie-Hélène Prémont,CAN
athlete_Gee_Atherton_GBR,athlete,Gee Atherton,GBR
athlete_Tracey_Hannah_AUS,athlete,Tracey Hannah,AUS
athlete_Ralph_Näf_CHE,athlete,Ralph Näf,CHE
athlete_Florian_Vogel_CHE,athlete,Florian Vogel,CHE
athlete_Jingjing_Wang_CHN,athlete,Jingjing Wang,CHN
athlete_Margarita_Fullana_ESP,athlete,Margarita Fullana,ESP
athlete_Mick_Hannah_AUS,athlete,Mick Hannah,AUS
athlete_Kathleen_Pruitt_USA,athlete,Kathleen Pruitt,USA
athlete_Nino_Schurter_CHE,athlete,Nino Schurter,CHE
athlete_Lene_Byberg_NOR,athlete,Lene Byberg,NOR
athlete_Willow_Koerber_USA,athlete,Willow Koerber,USA
athlete_Steve_Smith_CAN,athlete,Steve Smith,CAN
athlete_Jaroslav_Kulhavý_CZE,athlete,Jaroslav Kulhavý,CZE
athlete_Burry_Stander_ZAF,athlete,Burry Stander,ZAF
athlete_Danny_Hart_GBR,athlete,Danny Hart,GBR
athlete_Damien_Spagnolo_FRA,athlete,Damien Spagnolo,FRA
athlete_Samuel_Blenkinsop_NZL,athlete,Samuel Blenkinsop,NZL
athlete_Claire_Buchar_CAN,athlete,Claire Buchar,CAN
athlete_Catharine_Pendrel_CAN,athlete,Catharine Pendrel,CAN
athlete_Eva_Lechner_ITA,athlete,Eva Lechner,ITA
athlete_Morgane_Charre_FRA,athlete,Morgane Charre,FRA
athlete_Manon_Carpenter_GBR,athlete,Manon Carpenter,GBR
athlete_Lukas_Flückiger_CHE,athlete,Lukas Flückiger,CHE
athlete_Mathias_Flückiger_CHE,athlete,Mathias Flückiger,CHE
athlete_Julie_Bresset_FRA,athlete,Julie Bresset,FRA
athlete_Georgia_Gould_USA,athlete,Georgia Gould,USA
athlete_Jared_Graves_AUS,athlete,Jared Graves,AUS
athlete_Manuel_Fumic_DEU,athlete,Manuel Fumic,DEU
athlete_Esther_Süss_CHE,athlete,Esther Süss,CHE
athlete_Josh_Bryceland_GBR,athlete,Josh Bryceland,GBR
athlete_Troy_Brosnan_AUS,athlete,Troy Brosnan,AUS
athlete_Tahnée_Seagrave_GBR,athlete,Tahnée Seagrave,GBR
athlete_Marco_Aurelio_Fontana_ITA,athlete,Marco Aurelio Fontana,ITA
athlete_Lea_Davison_USA,athlete,Lea Davison,USA
athlete_Loïc_Bruni_FRA,athlete,Loïc Bruni,FRA
athlete_Ondej_Cink_CZE,athlete,Ondřej Cink,CZE
athlete_Pauline_Ferrand-Prévot_FRA,athlete,Pauline Ferrand-Prévot,FRA
athlete_Yana_Belomoyna_UKR,athlete,Yana Belomoyna,UKR
athlete_Laurie_Greenland_GBR,athlete,Laurie Greenland,GBR
athlete_Florent_Payet_FRA,athlete,Florent Payet,FRA
athlete_Myriam_Nicole_FRA,athlete,Myriam Nicole,FRA
athlete_Annika_Langvad_DNK,athlete,Annika Langvad,DNK
