event_id,participant_id,rank,medal,score_raw,points_awarded
uci_mountain_bike_world_championships_2001_downhill_men_elite,athlete_Nicolas_Vouilloz_FRA,1,gold,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill,10.0
uci_mountain_bike_world_championships_2001_downhill_men_elite,athlete_Steve_Peat_GBR,2,silver,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill,7.0
uci_mountain_bike_world_championships_2001_downhill_men_elite,athlete_Greg_Minnaar_ZAF,3,bronze,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_downhill,5.0
uci_mountain_bike_world_championships_2001_downhill_women_elite,athlete_Anne-Caroline_Chausson_FRA,1,gold,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill,10.0
uci_mountain_bike_world_championships_2001_downhill_women_elite,athlete_Fionn_Griffiths_GBR,2,silver,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill,7.0
uci_mountain_bike_world_championships_2001_downhill_women_elite,athlete_Leigh_Donovan_USA,3,bronze,discipline=cycling-mountain-bike-downhill;event_key=downhill;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_downhill,5.0
uci_mountain_bike_world_championships_2001_xco_men_elite,athlete_Roland_Green_CAN,1,gold,discipline=cycling-mountain-bike-cross-country;event_key=xco;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country,10.0
uci_mountain_bike_world_championships_2001_xco_men_elite,athlete_Thomas_Frischknecht_CHE,2,silver,discipline=cycling-mountain-bike-cross-country;event_key=xco;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country,7.0
uci_mountain_bike_world_championships_2001_xco_men_elite,athlete_Christoph_Sauser_CHE,3,bronze,discipline=cycling-mountain-bike-cross-country;event_key=xco;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Men%27s_cross-country,5.0
uci_mountain_bike_world_championships_2001_xco_women_elite,athlete_Alison_Dunlap_USA,1,gold,discipline=cycling-mountain-bike-cross-country;event_key=xco;category=elite;source_url=https://en.wikipedia.org/wiki/UCI_Mountain_Bike_%26_Trials_World_Championships_%E2%80%93_Women%27s_cross-country,10.0
