country_id,iso2,iso3,name_en,name_fr
ITA,IT,ITA,Italy,
FRA,FR,FRA,France,
BEL,BE,BEL,Belgium,
CHE,CH,CHE,Switzerland,
LUX,LU,LUX,Luxembourg,
ESP,ES,ESP,Spain,
SWE,SE,SWE,Sweden,
USA,US,USA,United States,
IRL,IE,IRL,Ireland,
GBR,GB,GBR,United Kingdom,
NLD,NL,NLD,Netherlands,
LVA,LV,LVA,Latvia,
RUS,RU,RUS,Russian Federation,
UKR,UA,UKR,Ukraine,
CAN,CA,CAN,Canada,
COL,CO,COL,Colombia,
AUS,AU,AUS,Australia,
ECU,EC,ECU,Ecuador,
SVN,SI,SVN,Slovenia,
PRT,PT,PRT,Portugal,
MEX,MX,MEX,Mexico,
GDR,,GDR,East Germany,
URS,,URS,Soviet Union,
FIN,FI,FIN,Finland,
SVK,SK,SVK,Slovakia,
LTU,LT,LTU,Lithuania,
SMR,SM,SMR,San Marino,
BLR,BY,BLR,Belarus,
GER,,GER,Germany,
RSA,,RSA,RSA,
POL,PL,POL,Poland,
DNK,DK,DNK,Denmark,
NZL,NZ,NZL,New Zealand,
FRG,,FRG,Allemagne de l'Ouest,
NOR,NO,NOR,Norway,
KAZ,KZ,KAZ,Kazakhstan,
MRI,,MRI,MRI,
MDA,MD,MDA,"Moldova, Republic of",
CZE,CZ,CZE,Czechia,
AUT,AT,AUT,Austria,
HUN,HU,HUN,Hungary,
POR,,POR,POR,
