event_id,competition_id,discipline_id,gender,event_class,event_date
giro_d_italia_1909_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1909-12-31
giro_d_italia_1910_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1910-12-31
giro_d_italia_1911_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1911-12-31
giro_d_italia_1912_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1912-12-31
giro_d_italia_1913_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1913-12-31
giro_d_italia_1914_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1914-12-31
giro_d_italia_1919_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1919-12-31
giro_d_italia_1920_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1920-12-31
giro_d_italia_1921_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1921-12-31
giro_d_italia_1922_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1922-12-31
giro_d_italia_1923_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1923-12-31
giro_d_italia_1924_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1924-12-31
giro_d_italia_1925_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1925-12-31
giro_d_italia_1926_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1926-12-31
giro_d_italia_1927_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1927-12-31
giro_d_italia_1928_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1928-12-31
giro_d_italia_1929_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1929-12-31
giro_d_italia_1930_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1930-12-31
giro_d_italia_1931_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1931-12-31
giro_d_italia_1932_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1932-12-31
giro_d_italia_1933_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1933-12-31
giro_d_italia_1934_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1934-12-31
giro_d_italia_1935_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1935-12-31
giro_d_italia_1936_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1936-12-31
giro_d_italia_1937_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1937-12-31
giro_d_italia_1938_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1938-12-31
giro_d_italia_1939_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1939-12-31
giro_d_italia_1940_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1940-12-31
giro_d_italia_1946_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1946-12-31
giro_d_italia_1947_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1947-12-31
giro_d_italia_1948_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1948-12-31
giro_d_italia_1949_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1949-12-31
giro_d_italia_1950_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1950-12-31
giro_d_italia_1951_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1951-12-31
giro_d_italia_1952_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1952-12-31
giro_d_italia_1953_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1953-12-31
giro_d_italia_1954_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1954-12-31
giro_d_italia_1955_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1955-12-31
giro_d_italia_1956_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1956-12-31
giro_d_italia_1957_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1957-12-31
giro_d_italia_1958_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1958-12-31
giro_d_italia_1959_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1959-12-31
giro_d_italia_1960_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1960-12-31
giro_d_italia_1961_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1961-12-31
giro_d_italia_1962_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1962-12-31
giro_d_italia_1963_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1963-12-31
giro_d_italia_1964_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1964-12-31
giro_d_italia_1965_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1965-12-31
giro_d_italia_1966_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1966-12-31
giro_d_italia_1967_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1967-12-31
giro_d_italia_1968_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1968-12-31
giro_d_italia_1969_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1969-12-31
giro_d_italia_1970_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1970-12-31
giro_d_italia_1971_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1971-12-31
giro_d_italia_1972_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1972-12-31
giro_d_italia_1973_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1973-12-31
giro_d_italia_1974_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1974-12-31
giro_d_italia_1975_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1975-12-31
giro_d_italia_1976_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1976-12-31
giro_d_italia_1977_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1977-12-31
giro_d_italia_1978_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1978-12-31
giro_d_italia_1979_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1979-12-31
giro_d_italia_1980_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1980-12-31
giro_d_italia_1981_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1981-12-31
giro_d_italia_1982_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1982-12-31
giro_d_italia_1983_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1983-12-31
giro_d_italia_1984_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1984-12-31
giro_d_italia_1985_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1985-12-31
giro_d_italia_1986_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1986-12-31
giro_d_italia_1987_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1987-12-31
giro_d_italia_1988_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1988-12-31
giro_d_italia_1989_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1989-12-31
giro_d_italia_1990_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1990-12-31
giro_d_italia_1991_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1991-12-31
giro_d_italia_1992_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1992-12-31
giro_d_italia_1993_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1993-12-31
giro_d_italia_1994_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1994-12-31
giro_d_italia_1995_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1995-12-31
giro_d_italia_1996_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1996-12-31
giro_d_italia_1997_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1997-12-31
giro_d_italia_1998_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1998-12-31
giro_d_italia_1999_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,1999-12-31
giro_d_italia_2000_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2000-12-31
giro_d_italia_2001_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2001-12-31
giro_d_italia_2002_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2002-12-31
giro_d_italia_2003_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2003-12-31
giro_d_italia_2004_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2004-12-31
giro_d_italia_2006_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2006-12-31
giro_d_italia_2007_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2007-12-31
giro_d_italia_2008_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2008-12-31
giro_d_italia_2009_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2009-12-31
giro_d_italia_2010_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2010-12-31
giro_d_italia_2011_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2011-12-31
giro_d_italia_2012_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2012-12-31
giro_d_italia_2013_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2013-12-31
giro_d_italia_2014_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2014-12-31
giro_d_italia_2015_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2015-12-31
giro_d_italia_2016_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2016-12-31
giro_d_italia_2017_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2017-12-31
giro_d_italia_2018_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2018-12-31
giro_d_italia_2019_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2019-12-31
giro_d_italia_2020_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2020-12-31
giro_d_italia_2021_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2021-12-31
giro_d_italia_2022_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2022-12-31
giro_d_italia_2023_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2023-12-31
giro_d_italia_2024_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2024-12-31
giro_d_italia_2025_road-race_men,giro_d_italia,road-race,men,final_ranking_top3,2025-12-31
giro_d_italia_women_1988_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1988-12-31
giro_d_italia_women_1989_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1989-12-31
giro_d_italia_women_1990_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1990-12-31
giro_d_italia_women_1993_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1993-12-31
giro_d_italia_women_1994_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1994-12-31
giro_d_italia_women_1995_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1995-12-31
giro_d_italia_women_1996_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1996-12-31
giro_d_italia_women_1997_road-race_women,giro_d_italia_women,road-race,women,final_ranking_top3,1997-12-31
