participant_id,type,display_name,country_id
athlete_Luigi_Ganna_ITA,athlete,Luigi Ganna,ITA
athlete_Carlo_Galetti_ITA,athlete,Carlo Galetti,ITA
athlete_Giovanni_Rossignoli_ITA,athlete,Giovanni Rossignoli,ITA
athlete_Eberardo_Pavesi_ITA,athlete,Eberardo Pavesi,ITA
athlete_Giovanni_Gerbi_ITA,athlete,Giovanni Gerbi,ITA
team_Équipe_cycliste_Atala_ITA,team,Équipe cycliste Atala,ITA
team_Équipe_cycliste_Peugeot_FRA,team,Équipe cycliste Peugeot,FRA
team_Équipe_cycliste_Gerbi_ITA,team,Équipe cycliste Gerbi,ITA
athlete_Carlo_Oriani_ITA,athlete,Carlo Oriani,ITA
athlete_Giuseppe_Azzini_ITA,athlete,Giuseppe Azzini,ITA
athlete_Alfonso_Calzolari_ITA,athlete,Alfonso Calzolari,ITA
athlete_Pierino_Albini_ITA,athlete,Pierino Albini,ITA
athlete_Luigi_Lucotti_ITA,athlete,Luigi Lucotti,ITA
athlete_Costante_Girardengo_ITA,athlete,Costante Girardengo,ITA
athlete_Gaetano_Belloni_ITA,athlete,Gaetano Belloni,ITA
athlete_Marcel_Buysse_BEL,athlete,Marcel Buysse,BEL
athlete_Angelo_Gremo_ITA,athlete,Angelo Gremo,ITA
athlete_Jean_Alavoine_FRA,athlete,Jean Alavoine,FRA
athlete_Giovanni_Brunero_ITA,athlete,Giovanni Brunero,ITA
athlete_Bartolomeo_Aimo_ITA,athlete,Bartolomeo Aimo,ITA
athlete_Giuseppe_Enrici_ITA,athlete,Giuseppe Enrici,ITA
athlete_Federico_Gay_ITA,athlete,Federico Gay,ITA
athlete_Angiolo_Gabrielli_ITA,athlete,Angiolo Gabrielli,ITA
athlete_Alfredo_Binda_ITA,athlete,Alfredo Binda,ITA
athlete_Arturo_Bresciani_ITA,athlete,Arturo Bresciani,ITA
athlete_Antonio_Negrini_ITA,athlete,Antonio Negrini,ITA
athlete_Giuseppe_Pancera_ITA,athlete,Giuseppe Pancera,ITA
athlete_Domenico_Piemontesi_ITA,athlete,Domenico Piemontesi,ITA
athlete_Leonida_Frascarelli_ITA,athlete,Leonida Frascarelli,ITA
athlete_Luigi_Marchisio_ITA,athlete,Luigi Marchisio,ITA
athlete_Luigi_Giacobbe_ITA,athlete,Luigi Giacobbe,ITA
athlete_Allegro_Grandi_ITA,athlete,Allegro Grandi,ITA
athlete_Francesco_Camusso_ITA,athlete,Francesco Camusso,ITA
athlete_Antonio_Pesenti_ITA,athlete,Antonio Pesenti,ITA
athlete_Jef_Demuysere_BEL,athlete,Jef Demuysere,BEL
athlete_Remo_Bertoni_ITA,athlete,Remo Bertoni,ITA
athlete_Learco_Guerra_ITA,athlete,Learco Guerra,ITA
athlete_Giovanni_Cazzulani_ITA,athlete,Giovanni Cazzulani,ITA
athlete_Vasco_Bergamaschi_ITA,athlete,Vasco Bergamaschi,ITA
athlete_Giuseppe_Martano_ITA,athlete,Giuseppe Martano,ITA
athlete_Giuseppe_Olmo_ITA,athlete,Giuseppe Olmo,ITA
athlete_Gino_Bartali_ITA,athlete,Gino Bartali,ITA
athlete_Severino_Canavesi_ITA,athlete,Severino Canavesi,ITA
athlete_Giovanni_Valetti_ITA,athlete,Giovanni Valetti,ITA
athlete_Enrico_Mollo_ITA,athlete,Enrico Mollo,ITA
athlete_Ezio_Cecchi_ITA,athlete,Ezio Cecchi,ITA
athlete_Mario_Vicini_ITA,athlete,Mario Vicini,ITA
athlete_Fausto_Coppi_ITA,athlete,Fausto Coppi,ITA
athlete_Giordano_Cottur_ITA,athlete,Giordano Cottur,ITA
athlete_Vito_Ortelli_ITA,athlete,Vito Ortelli,ITA
athlete_Giulio_Bresci_ITA,athlete,Giulio Bresci,ITA
athlete_Fiorenzo_Magni_ITA,athlete,Fiorenzo Magni,ITA
athlete_Hugo_Koblet_CHE,athlete,Hugo Koblet,CHE
athlete_Alfredo_Martini_ITA,athlete,Alfredo Martini,ITA
athlete_Rik_Van_Steenbergen_BEL,athlete,Rik Van Steenbergen,BEL
athlete_Ferdi_Kübler_CHE,athlete,Ferdi Kübler,CHE
athlete_Pasquale_Fornara_ITA,athlete,Pasquale Fornara,ITA
athlete_Carlo_Clerici_CHE,athlete,Carlo Clerici,CHE
athlete_Nino_Assirelli_ITA,athlete,Nino Assirelli,ITA
athlete_Gastone_Nencini_ITA,athlete,Gastone Nencini,ITA
athlete_Charly_Gaul_LUX,athlete,Charly Gaul,LUX
athlete_Agostino_Coletto_ITA,athlete,Agostino Coletto,ITA
athlete_Louison_Bobet_FRA,athlete,Louison Bobet,FRA
athlete_Ercole_Baldini_ITA,athlete,Ercole Baldini,ITA
athlete_Jean_Brankart_BEL,athlete,Jean Brankart,BEL
athlete_Jacques_Anquetil_FRA,athlete,Jacques Anquetil,FRA
athlete_Diego_Ronchini_ITA,athlete,Diego Ronchini,ITA
athlete_Arnaldo_Pambianco_ITA,athlete,Arnaldo Pambianco,ITA
athlete_Antonio_Suárez_ESP,athlete,Antonio Suárez,ESP
athlete_Franco_Balmamion_ITA,athlete,Franco Balmamion,ITA
athlete_Imerio_Massignan_ITA,athlete,Imerio Massignan,ITA
athlete_Nino_Defilippis_ITA,athlete,Nino Defilippis,ITA
athlete_Vittorio_Adorni_ITA,athlete,Vittorio Adorni,ITA
athlete_Giorgio_Zancanaro_ITA,athlete,Giorgio Zancanaro,ITA
athlete_Italo_Zilioli_ITA,athlete,Italo Zilioli,ITA
athlete_Guido_De_Rosso_ITA,athlete,Guido De Rosso,ITA
athlete_Felice_Gimondi_ITA,athlete,Felice Gimondi,ITA
athlete_Gianni_Motta_ITA,athlete,Gianni Motta,ITA
athlete_Eddy_Merckx_BEL,athlete,Eddy Merckx,BEL
athlete_Claudio_Michelotto_ITA,athlete,Claudio Michelotto,ITA
athlete_Martin_Van_Den_Bossche_BEL,athlete,Martin Van Den Bossche,BEL
athlete_Gösta_Pettersson_SWE,athlete,Gösta Pettersson,SWE
athlete_Herman_Van_Springel_BEL,athlete,Herman Van Springel,BEL
athlete_Ugo_Colombo_ITA,athlete,Ugo Colombo,ITA
athlete_José_Manuel_Fuente_ESP,athlete,José Manuel Fuente,ESP
athlete_Francisco_Galdós_ESP,athlete,Francisco Galdós,ESP
athlete_Giovanni_Battaglin_ITA,athlete,Giovanni Battaglin,ITA
athlete_Gianbattista_Baronchelli_ITA,athlete,Gianbattista Baronchelli,ITA
athlete_Fausto_Bertoglio_ITA,athlete,Fausto Bertoglio,ITA
athlete_Johan_De_Muynck_BEL,athlete,Johan De Muynck,BEL
athlete_Michel_Pollentier_BEL,athlete,Michel Pollentier,BEL
athlete_Francesco_Moser_ITA,athlete,Francesco Moser,ITA
athlete_Giuseppe_Saronni_ITA,athlete,Giuseppe Saronni,ITA
athlete_Bernt_Johansson_SWE,athlete,Bernt Johansson,SWE
athlete_Bernard_Hinault_FRA,athlete,Bernard Hinault,FRA
athlete_Wladimiro_Panizza_ITA,athlete,Wladimiro Panizza,ITA
athlete_Tommy_Prim_SWE,athlete,Tommy Prim,SWE
athlete_Silvano_Contini_ITA,athlete,Silvano Contini,ITA
athlete_Roberto_Visentini_ITA,athlete,Roberto Visentini,ITA
athlete_Alberto_Fernández_ESP,athlete,Alberto Fernández,ESP
athlete_Laurent_Fignon_FRA,athlete,Laurent Fignon,FRA
athlete_Moreno_Argentin_ITA,athlete,Moreno Argentin,ITA
athlete_Greg_LeMond_USA,athlete,Greg LeMond,USA
athlete_Stephen_Roche_IRL,athlete,Stephen Roche,IRL
athlete_Robert_Millar_GBR,athlete,Robert Millar,GBR
athlete_Erik_Breukink_NLD,athlete,Erik Breukink,NLD
athlete_Andrew_Hampsten_USA,athlete,Andrew Hampsten,USA
athlete_Urs_Zimmermann_CHE,athlete,Urs Zimmermann,CHE
athlete_Flavio_Giupponi_ITA,athlete,Flavio Giupponi,ITA
athlete_Gianni_Bugno_ITA,athlete,Gianni Bugno,ITA
athlete_Charly_Mottet_FRA,athlete,Charly Mottet,FRA
athlete_Marco_Giovannetti_ITA,athlete,Marco Giovannetti,ITA
athlete_Franco_Chioccioli_ITA,athlete,Franco Chioccioli,ITA
athlete_Claudio_Chiappucci_ITA,athlete,Claudio Chiappucci,ITA
athlete_Massimiliano_Lelli_ITA,athlete,Massimiliano Lelli,ITA
athlete_Miguel_Indurain_ESP,athlete,Miguel Indurain,ESP
athlete_Piotr_Ugrumov_LVA,athlete,Piotr Ugrumov,LVA
athlete_Evgueni_Berzin_RUS,athlete,Evgueni Berzin,RUS
athlete_Marco_Pantani_ITA,athlete,Marco Pantani,ITA
athlete_Tony_Rominger_CHE,athlete,Tony Rominger,CHE
athlete_Pavel_Tonkov_RUS,athlete,Pavel Tonkov,RUS
athlete_Enrico_Zaina_ITA,athlete,Enrico Zaina,ITA
athlete_Abraham_Olano_ESP,athlete,Abraham Olano,ESP
athlete_Ivan_Gotti_ITA,athlete,Ivan Gotti,ITA
athlete_Giuseppe_Guerini_ITA,athlete,Giuseppe Guerini,ITA
athlete_Paolo_Savoldelli_ITA,athlete,Paolo Savoldelli,ITA
athlete_Gilberto_Simoni_ITA,athlete,Gilberto Simoni,ITA
athlete_Stefano_Garzelli_ITA,athlete,Stefano Garzelli,ITA
athlete_Francesco_Casagrande_ITA,athlete,Francesco Casagrande,ITA
athlete_Unai_Osa_ESP,athlete,Unai Osa,ESP
athlete_Tyler_Hamilton_USA,athlete,Tyler Hamilton,USA
