event_id,participant_id,rank,medal,score_raw,points_awarded
giro_d_italia_1909_road-race_men,athlete_Luigi_Ganna_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1909_road-race_men,athlete_Carlo_Galetti_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1909_road-race_men,athlete_Giovanni_Rossignoli_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1910_road-race_men,athlete_Carlo_Galetti_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1910_road-race_men,athlete_Eberardo_Pavesi_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1910_road-race_men,athlete_Luigi_Ganna_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1911_road-race_men,athlete_Carlo_Galetti_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1911_road-race_men,athlete_Giovanni_Rossignoli_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1911_road-race_men,athlete_Giovanni_Gerbi_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1912_road-race_men,team_Équipe_cycliste_Atala_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1912_road-race_men,team_Équipe_cycliste_Peugeot_FRA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1912_road-race_men,team_Équipe_cycliste_Gerbi_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1913_road-race_men,athlete_Carlo_Oriani_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1913_road-race_men,athlete_Eberardo_Pavesi_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1913_road-race_men,athlete_Giuseppe_Azzini_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1914_road-race_men,athlete_Alfonso_Calzolari_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1914_road-race_men,athlete_Pierino_Albini_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1914_road-race_men,athlete_Luigi_Lucotti_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1919_road-race_men,athlete_Costante_Girardengo_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1919_road-race_men,athlete_Gaetano_Belloni_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1919_road-race_men,athlete_Marcel_Buysse_BEL,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1920_road-race_men,athlete_Gaetano_Belloni_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1920_road-race_men,athlete_Angelo_Gremo_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1920_road-race_men,athlete_Jean_Alavoine_FRA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1921_road-race_men,athlete_Giovanni_Brunero_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1921_road-race_men,athlete_Gaetano_Belloni_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1921_road-race_men,athlete_Bartolomeo_Aimo_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1922_road-race_men,athlete_Giovanni_Brunero_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1922_road-race_men,athlete_Bartolomeo_Aimo_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1922_road-race_men,athlete_Giuseppe_Enrici_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1923_road-race_men,athlete_Costante_Girardengo_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1923_road-race_men,athlete_Giovanni_Brunero_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1923_road-race_men,athlete_Bartolomeo_Aimo_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1924_road-race_men,athlete_Giuseppe_Enrici_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1924_road-race_men,athlete_Federico_Gay_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1924_road-race_men,athlete_Angiolo_Gabrielli_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1925_road-race_men,athlete_Alfredo_Binda_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1925_road-race_men,athlete_Costante_Girardengo_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1925_road-race_men,athlete_Giovanni_Brunero_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1926_road-race_men,athlete_Giovanni_Brunero_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1926_road-race_men,athlete_Alfredo_Binda_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1926_road-race_men,athlete_Arturo_Bresciani_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1927_road-race_men,athlete_Alfredo_Binda_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1927_road-race_men,athlete_Giovanni_Brunero_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1927_road-race_men,athlete_Antonio_Negrini_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1928_road-race_men,athlete_Alfredo_Binda_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1928_road-race_men,athlete_Giuseppe_Pancera_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1928_road-race_men,athlete_Bartolomeo_Aimo_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1929_road-race_men,athlete_Alfredo_Binda_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1929_road-race_men,athlete_Domenico_Piemontesi_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1929_road-race_men,athlete_Leonida_Frascarelli_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1930_road-race_men,athlete_Luigi_Marchisio_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1930_road-race_men,athlete_Luigi_Giacobbe_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1930_road-race_men,athlete_Allegro_Grandi_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1931_road-race_men,athlete_Francesco_Camusso_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1931_road-race_men,athlete_Luigi_Giacobbe_ITA,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1931_road-race_men,athlete_Luigi_Marchisio_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1932_road-race_men,athlete_Antonio_Pesenti_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1932_road-race_men,athlete_Jef_Demuysere_BEL,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1932_road-race_men,athlete_Remo_Bertoni_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
giro_d_italia_1933_road-race_men,athlete_Alfredo_Binda_ITA,1,gold,competition=giro_d_italia;discipline=road-race;rank=1,10.0
giro_d_italia_1933_road-race_men,athlete_Jef_Demuysere_BEL,2,silver,competition=giro_d_italia;discipline=road-race;rank=2,7.0
giro_d_italia_1933_road-race_men,athlete_Domenico_Piemontesi_ITA,3,bronze,competition=giro_d_italia;discipline=road-race;rank=3,5.0
