event_id,participant_id,rank,medal,score_raw,points_awarded
uci_road_world_nation_ranking_2015,ESP,1,gold,uci_points=16805.0,16805.0
uci_road_world_nation_ranking_2015,BEL,2,silver,uci_points=12536.0,12536.0
uci_road_world_nation_ranking_2015,ITA,3,bronze,uci_points=12168.0,12168.0
uci_road_world_nation_ranking_2015,FRA,4,,uci_points=10237.0,10237.0
uci_road_world_nation_ranking_2015,NLD,5,,uci_points=9619.8,9619.8
uci_road_world_nation_ranking_2015,GBR,6,,uci_points=8877.0,8877.0
uci_road_world_nation_ranking_2015,COL,7,,uci_points=8434.0,8434.0
uci_road_world_nation_ranking_2015,AUS,8,,uci_points=7417.0,7417.0
uci_road_world_nation_ranking_2015,NOR,9,,uci_points=6725.25,6725.25
uci_road_world_nation_ranking_2015,DEU,10,,uci_points=5653.0,5653.0
uci_road_world_nation_ranking_2016,FRA,1,gold,uci_points=13007.0,13007.0
uci_road_world_nation_ranking_2016,BEL,2,silver,uci_points=12483.25,12483.25
uci_road_world_nation_ranking_2016,ITA,3,bronze,uci_points=11922.0,11922.0
uci_road_world_nation_ranking_2016,COL,4,,uci_points=11875.5,11875.5
uci_road_world_nation_ranking_2016,ESP,5,,uci_points=11330.25,11330.25
uci_road_world_nation_ranking_2016,GBR,6,,uci_points=10309.0,10309.0
uci_road_world_nation_ranking_2016,NLD,7,,uci_points=8455.0,8455.0
uci_road_world_nation_ranking_2016,AUS,8,,uci_points=7719.25,7719.25
uci_road_world_nation_ranking_2016,SVK,9,,uci_points=5990.5,5990.5
uci_road_world_nation_ranking_2016,NOR,10,,uci_points=5779.0,5779.0
uci_road_world_nation_ranking_2017,BEL,1,gold,uci_points=14600.0,14600.0
uci_road_world_nation_ranking_2017,ITA,2,silver,uci_points=13938.0,13938.0
uci_road_world_nation_ranking_2017,FRA,3,bronze,uci_points=12123.0,12123.0
uci_road_world_nation_ranking_2017,ESP,4,,uci_points=10537.0,10537.0
uci_road_world_nation_ranking_2017,NLD,5,,uci_points=10309.0,10309.0
uci_road_world_nation_ranking_2017,COL,6,,uci_points=9897.0,9897.0
