country_id,iso2,iso3,name_en,name_fr
DEU,DE,DEU,Germany,
GBR,GB,GBR,United Kingdom,
RUS,RU,RUS,Russian Federation,
FRA,FR,FRA,France,
CZE,CZ,CZE,Czechia,
ESP,ES,ESP,Spain,
ARG,AR,ARG,Argentina,
BEL,BE,BEL,Belgium,
AUT,AT,AUT,Austria,
BLR,BY,BLR,Belarus,
CAN,CA,CAN,Canada,
CHN,CN,CHN,China,
UKR,UA,UKR,Ukraine,
NLD,NL,NLD,Netherlands,
AUS,AU,AUS,Australia,
CHE,CH,CHE,Switzerland,
MEX,MX,MEX,Mexico,
USA,US,USA,United States,
POL,PL,POL,Poland,
ITA,IT,ITA,Italy,
BRB,BB,BRB,Barbados,
NZL,NZ,NZL,New Zealand,
LTU,LT,LTU,Lithuania,
CUB,CU,CUB,Cuba,
ZAF,ZA,ZAF,South Africa,
URY,UY,URY,Uruguay,
GRC,GR,GRC,Greece,
DNK,DK,DNK,Denmark,
COL,CO,COL,Colombia,
HKG,HK,HKG,Hong Kong,
MYS,MY,MYS,Malaysia,
JPN,JP,JPN,Japan,
IRL,IE,IRL,Ireland,
PRT,PT,PRT,Portugal,
KOR,KR,KOR,"Korea, Republic of",
NOR,NO,NOR,Norway,
TTO,TT,TTO,Trinidad and Tobago,
ISR,IL,ISR,Israel,
AIN,,AIN,Authorised Neutral Athletes,
