event_id,competition_id,discipline_id,gender,event_class,event_date
uci_track_world_championships_2000_track-individual-pursuit_men,uci_track_world_championships,track-individual-pursuit,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-individual-pursuit_women,uci_track_world_championships,track-individual-pursuit,women,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-keirin_men,uci_track_world_championships,track-keirin,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-madison_men,uci_track_world_championships,track-madison,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-points-race_men,uci_track_world_championships,track-points-race,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-points-race_women,uci_track_world_championships,track-points-race,women,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-sprint_men,uci_track_world_championships,track-sprint,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-sprint_women,uci_track_world_championships,track-sprint,women,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-team-pursuit_men,uci_track_world_championships,track-team-pursuit,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-team-sprint_men,uci_track_world_championships,track-team-sprint,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-time-trial-1km_men,uci_track_world_championships,track-time-trial-1km,men,final_ranking_top3,2000-12-31
uci_track_world_championships_2000_track-time-trial-500m_women,uci_track_world_championships,track-time-trial-500m,women,final_ranking_top3,2000-12-31
uci_track_world_championships_2001_track-individual-pursuit_men,uci_track_world_championships,track-individual-pursuit,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-individual-pursuit_women,uci_track_world_championships,track-individual-pursuit,women,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-keirin_men,uci_track_world_championships,track-keirin,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-madison_men,uci_track_world_championships,track-madison,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-points-race_men,uci_track_world_championships,track-points-race,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-points-race_women,uci_track_world_championships,track-points-race,women,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-sprint_men,uci_track_world_championships,track-sprint,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-sprint_women,uci_track_world_championships,track-sprint,women,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-team-pursuit_men,uci_track_world_championships,track-team-pursuit,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-team-sprint_men,uci_track_world_championships,track-team-sprint,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-time-trial-1km_men,uci_track_world_championships,track-time-trial-1km,men,final_ranking_top3,2001-12-31
uci_track_world_championships_2001_track-time-trial-500m_women,uci_track_world_championships,track-time-trial-500m,women,final_ranking_top3,2001-12-31
uci_track_world_championships_2002_track-individual-pursuit_men,uci_track_world_championships,track-individual-pursuit,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-individual-pursuit_women,uci_track_world_championships,track-individual-pursuit,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-keirin_men,uci_track_world_championships,track-keirin,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-keirin_women,uci_track_world_championships,track-keirin,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-madison_men,uci_track_world_championships,track-madison,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-points-race_men,uci_track_world_championships,track-points-race,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-points-race_women,uci_track_world_championships,track-points-race,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-scratch_men,uci_track_world_championships,track-scratch,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-scratch_women,uci_track_world_championships,track-scratch,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-sprint_men,uci_track_world_championships,track-sprint,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-sprint_women,uci_track_world_championships,track-sprint,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-team-pursuit_men,uci_track_world_championships,track-team-pursuit,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-team-sprint_men,uci_track_world_championships,track-team-sprint,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-time-trial-1km_men,uci_track_world_championships,track-time-trial-1km,men,final_ranking_top3,2002-12-31
uci_track_world_championships_2002_track-time-trial-500m_women,uci_track_world_championships,track-time-trial-500m,women,final_ranking_top3,2002-12-31
uci_track_world_championships_2003_track-individual-pursuit_men,uci_track_world_championships,track-individual-pursuit,men,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-individual-pursuit_women,uci_track_world_championships,track-individual-pursuit,women,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-keirin_men,uci_track_world_championships,track-keirin,men,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-keirin_women,uci_track_world_championships,track-keirin,women,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-madison_men,uci_track_world_championships,track-madison,men,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-points-race_men,uci_track_world_championships,track-points-race,men,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-points-race_women,uci_track_world_championships,track-points-race,women,final_ranking_top3,2003-12-31
uci_track_world_championships_2003_track-scratch_men,uci_track_world_championships,track-scratch,men,final_ranking_top3,2003-12-31
