event_id,participant_id,rank,medal,score_raw,points_awarded
uci_track_world_championships_2000_track-individual-pursuit_men,athlete_Jens_Lehmann_DEU,1,gold,discipline=track-individual-pursuit;rank=1,10.0
uci_track_world_championships_2000_track-individual-pursuit_men,athlete_Stefan_Steinweg_DEU,2,silver,discipline=track-individual-pursuit;rank=2,7.0
uci_track_world_championships_2000_track-individual-pursuit_men,athlete_Rob_Hayles_GBR,3,bronze,discipline=track-individual-pursuit;rank=3,5.0
uci_track_world_championships_2000_track-individual-pursuit_women,athlete_Yvonne_McGregor_GBR,1,gold,discipline=track-individual-pursuit;rank=1,10.0
uci_track_world_championships_2000_track-individual-pursuit_women,athlete_Judith_Arndt_DEU,2,silver,discipline=track-individual-pursuit;rank=2,7.0
uci_track_world_championships_2000_track-individual-pursuit_women,athlete_Elena_Tchalikh_RUS,3,bronze,discipline=track-individual-pursuit;rank=3,5.0
uci_track_world_championships_2000_track-keirin_men,athlete_Frédéric_Magné_FRA,1,gold,discipline=track-keirin;rank=1,10.0
uci_track_world_championships_2000_track-keirin_men,athlete_Jens_Fiedler_DEU,2,silver,discipline=track-keirin;rank=2,7.0
uci_track_world_championships_2000_track-keirin_men,athlete_Pavel_Burá_CZE,3,bronze,discipline=track-keirin;rank=3,5.0
uci_track_world_championships_2000_track-madison_men,DEU,1,gold,discipline=track-madison;rank=1,10.0
uci_track_world_championships_2000_track-madison_men,ESP,2,silver,discipline=track-madison;rank=2,7.0
uci_track_world_championships_2000_track-madison_men,ARG,3,bronze,discipline=track-madison;rank=3,5.0
uci_track_world_championships_2000_track-points-race_men,athlete_Joan_Llaneras_ESP,1,gold,discipline=track-points-race;rank=1,10.0
uci_track_world_championships_2000_track-points-race_men,athlete_Matthew_Gilmore_BEL,2,silver,discipline=track-points-race;rank=2,7.0
uci_track_world_championships_2000_track-points-race_men,athlete_Franz_Stocher_AUT,3,bronze,discipline=track-points-race;rank=3,5.0
uci_track_world_championships_2000_track-points-race_women,athlete_Marion_Clignet_FRA,1,gold,discipline=track-points-race;rank=1,10.0
uci_track_world_championships_2000_track-points-race_women,athlete_Judith_Arndt_DEU,2,silver,discipline=track-points-race;rank=2,7.0
uci_track_world_championships_2000_track-points-race_women,athlete_Olga_Sliusareva_RUS,3,bronze,discipline=track-points-race;rank=3,5.0
uci_track_world_championships_2000_track-sprint_men,athlete_Jan_van_Eijden_DEU,1,gold,discipline=track-sprint;rank=1,10.0
uci_track_world_championships_2000_track-sprint_men,athlete_Laurent_Gané_FRA,2,silver,discipline=track-sprint;rank=2,7.0
uci_track_world_championships_2000_track-sprint_women,athlete_Natalia_Markovnichenko_BLR,1,gold,discipline=track-sprint;rank=1,10.0
uci_track_world_championships_2000_track-sprint_women,athlete_Lori-Ann_Muenzer_CAN,2,silver,discipline=track-sprint;rank=2,7.0
uci_track_world_championships_2000_track-sprint_women,athlete_Katrin_Meinke_DEU,3,bronze,discipline=track-sprint;rank=3,5.0
uci_track_world_championships_2000_track-team-pursuit_men,DEU,1,gold,discipline=track-team-pursuit;rank=1,10.0
uci_track_world_championships_2000_track-team-pursuit_men,GBR,2,silver,discipline=track-team-pursuit;rank=2,7.0
uci_track_world_championships_2000_track-team-pursuit_men,FRA,3,bronze,discipline=track-team-pursuit;rank=3,5.0
uci_track_world_championships_2000_track-team-sprint_men,FRA,1,gold,discipline=track-team-sprint;rank=1,10.0
uci_track_world_championships_2000_track-team-sprint_men,GBR,2,silver,discipline=track-team-sprint;rank=2,7.0
uci_track_world_championships_2000_track-team-sprint_men,ESP,3,bronze,discipline=track-team-sprint;rank=3,5.0
uci_track_world_championships_2000_track-time-trial-1km_men,athlete_Arnaud_Tournant_FRA,1,gold,discipline=track-time-trial-1km;rank=1,10.0
uci_track_world_championships_2000_track-time-trial-1km_men,athlete_Sören_Lausberg_DEU,2,silver,discipline=track-time-trial-1km;rank=2,7.0
uci_track_world_championships_2000_track-time-trial-1km_men,athlete_Jason_Queally_GBR,3,bronze,discipline=track-time-trial-1km;rank=3,5.0
uci_track_world_championships_2000_track-time-trial-500m_women,athlete_Natalia_Markovnichenko_BLR,1,gold,discipline=track-time-trial-500m;rank=1,10.0
uci_track_world_championships_2000_track-time-trial-500m_women,athlete_Jiang_Cuihua_CHN,2,silver,discipline=track-time-trial-500m;rank=2,7.0
uci_track_world_championships_2000_track-time-trial-500m_women,athlete_Yan_Wang_CHN,3,bronze,discipline=track-time-trial-500m;rank=3,5.0
uci_track_world_championships_2001_track-individual-pursuit_men,athlete_Alexander_Symonenko_UKR,1,gold,discipline=track-individual-pursuit;rank=1,10.0
uci_track_world_championships_2001_track-individual-pursuit_men,athlete_Jens_Lehmann_DEU,2,silver,discipline=track-individual-pursuit;rank=2,7.0
uci_track_world_championships_2001_track-individual-pursuit_men,athlete_Stefan_Steinweg_DEU,3,bronze,discipline=track-individual-pursuit;rank=3,5.0
uci_track_world_championships_2001_track-individual-pursuit_women,athlete_Leontien_Zijlaard-Van_Moorsel_NLD,1,gold,discipline=track-individual-pursuit;rank=1,10.0
uci_track_world_championships_2001_track-individual-pursuit_women,athlete_Olga_Sliusareva_RUS,2,silver,discipline=track-individual-pursuit;rank=2,7.0
uci_track_world_championships_2001_track-individual-pursuit_women,athlete_Elena_Tchalikh_RUS,3,bronze,discipline=track-individual-pursuit;rank=3,5.0
uci_track_world_championships_2001_track-keirin_men,athlete_Ryan_Bayley_AUS,1,gold,discipline=track-keirin;rank=1,10.0
uci_track_world_championships_2001_track-keirin_men,athlete_Laurent_Gané_FRA,2,silver,discipline=track-keirin;rank=2,7.0
uci_track_world_championships_2001_track-keirin_men,athlete_Jens_Fiedler_DEU,3,bronze,discipline=track-keirin;rank=3,5.0
uci_track_world_championships_2001_track-madison_men,FRA,1,gold,discipline=track-madison;rank=1,10.0
uci_track_world_championships_2001_track-madison_men,ESP,2,silver,discipline=track-madison;rank=2,7.0
uci_track_world_championships_2001_track-madison_men,ARG,3,bronze,discipline=track-madison;rank=3,5.0
uci_track_world_championships_2001_track-points-race_men,athlete_Bruno_Risi_CHE,1,gold,discipline=track-points-race;rank=1,10.0
uci_track_world_championships_2001_track-points-race_men,athlete_Juan_Curuchet_ARG,2,silver,discipline=track-points-race;rank=2,7.0
uci_track_world_championships_2001_track-points-race_men,athlete_Franz_Stocher_AUT,3,bronze,discipline=track-points-race;rank=3,5.0
uci_track_world_championships_2001_track-points-race_women,athlete_Olga_Sliusareva_RUS,1,gold,discipline=track-points-race;rank=1,10.0
uci_track_world_championships_2001_track-points-race_women,athlete_Katherine_Bates_AUS,2,silver,discipline=track-points-race;rank=2,7.0
uci_track_world_championships_2001_track-points-race_women,athlete_Belem_Guerrero_MEX,3,bronze,discipline=track-points-race;rank=3,5.0
uci_track_world_championships_2001_track-sprint_men,athlete_Arnaud_Tournant_FRA,1,gold,discipline=track-sprint;rank=1,10.0
uci_track_world_championships_2001_track-sprint_men,athlete_Laurent_Gané_FRA,2,silver,discipline=track-sprint;rank=2,7.0
uci_track_world_championships_2001_track-sprint_men,athlete_Florian_Rousseau_FRA,3,bronze,discipline=track-sprint;rank=3,5.0
uci_track_world_championships_2001_track-sprint_women,athlete_Svetlana_Grankovskaya_RUS,1,gold,discipline=track-sprint;rank=1,10.0
uci_track_world_championships_2001_track-sprint_women,athlete_Tammy_Thomas_USA,2,silver,discipline=track-sprint;rank=2,7.0
uci_track_world_championships_2001_track-sprint_women,athlete_Lori-Ann_Muenzer_CAN,3,bronze,discipline=track-sprint;rank=3,5.0
uci_track_world_championships_2001_track-team-pursuit_men,UKR,1,gold,discipline=track-team-pursuit;rank=1,10.0
uci_track_world_championships_2001_track-team-pursuit_men,GBR,2,silver,discipline=track-team-pursuit;rank=2,7.0
uci_track_world_championships_2001_track-team-pursuit_men,DEU,3,bronze,discipline=track-team-pursuit;rank=3,5.0
uci_track_world_championships_2001_track-team-sprint_men,FRA,1,gold,discipline=track-team-sprint;rank=1,10.0
uci_track_world_championships_2001_track-team-sprint_men,AUS,2,silver,discipline=track-team-sprint;rank=2,7.0
uci_track_world_championships_2001_track-team-sprint_men,GBR,3,bronze,discipline=track-team-sprint;rank=3,5.0
uci_track_world_championships_2001_track-time-trial-1km_men,athlete_Arnaud_Tournant_FRA,1,gold,discipline=track-time-trial-1km;rank=1,10.0
uci_track_world_championships_2001_track-time-trial-1km_men,athlete_Sören_Lausberg_DEU,2,silver,discipline=track-time-trial-1km;rank=2,7.0
uci_track_world_championships_2001_track-time-trial-1km_men,athlete_Grzegorz_Krejner_POL,3,bronze,discipline=track-time-trial-1km;rank=3,5.0
uci_track_world_championships_2001_track-time-trial-500m_women,athlete_Nancy_Contreras_MEX,1,gold,discipline=track-time-trial-500m;rank=1,10.0
