event_id,participant_id,rank,medal,score_raw,points_awarded
wbsc_baseball_world_cup_men_38,GBR,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_38,USA,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_39,CUB,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_39,NIC,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_39,USA,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
wbsc_baseball_world_cup_men_40,CUB,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_40,NIC,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_40,USA,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
wbsc_baseball_world_cup_men_40,VEN,4,,wbsc_baseball_world_cup_final_rank=4,4.0
wbsc_baseball_world_cup_men_41,VEN,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_41,CUB,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_41,MEX,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
wbsc_baseball_world_cup_men_41,PAN,4,,wbsc_baseball_world_cup_final_rank=4,4.0
wbsc_baseball_world_cup_men_42,CUB,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_42,DOM,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_42,VEN,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
wbsc_baseball_world_cup_men_42,MEX,4,,wbsc_baseball_world_cup_final_rank=4,4.0
wbsc_baseball_world_cup_men_43,CUB,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_43,MEX,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_43,DOM,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
wbsc_baseball_world_cup_men_43,PAN,4,,wbsc_baseball_world_cup_final_rank=4,4.0
wbsc_baseball_world_cup_men_44,VEN,1,gold,wbsc_baseball_world_cup_final_rank=1,10.0
wbsc_baseball_world_cup_men_44,MEX,2,silver,wbsc_baseball_world_cup_final_rank=2,7.0
wbsc_baseball_world_cup_men_44,CUB,3,bronze,wbsc_baseball_world_cup_final_rank=3,5.0
