country_id,iso2,iso3,name_en,name_fr
USA,US,USA,United States,
FRA,FR,FRA,France,
AUS,AU,AUS,Australia,
PHL,PH,PHL,Philippines,
THA,TH,THA,Thailand,
ESP,ES,ESP,Spain,
SWE,SE,SWE,Sweden,
CAN,CA,CAN,Canada,
NLD,NL,NLD,Netherlands,
ZAF,ZA,ZAF,South Africa,
COL,CO,COL,Colombia,
SCO,,SCO,Scotland,
DNK,DK,DNK,Denmark,
KOR,KR,KOR,South Korea,
MEX,MX,MEX,Mexico,
DEU,DE,DEU,Germany,
FIN,FI,FIN,Finland,
ENG,,ENG,England,
AUT,AT,AUT,Austria,
IRL,IE,IRL,Ireland,
CHE,CH,CHE,Switzerland,
JPN,JP,JPN,Japan,
ITA,IT,ITA,Italy,
NOR,NO,NOR,Norway,
TPE,,TPE,Chinese Taipei,
