event_id,participant_id,rank,medal,score_raw,points_awarded
world_amateur_team_championships_2002_men,USA,1,gold,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,10.0
world_amateur_team_championships_2002_men,FRA,2,silver,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,7.0
world_amateur_team_championships_2002_men,AUS,3,bronze,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,5.0
world_amateur_team_championships_2002_men,PHL,3,bronze,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,5.0
world_amateur_team_championships_2002_women,AUS,1,gold,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,10.0
world_amateur_team_championships_2002_women,THA,2,silver,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,7.0
world_amateur_team_championships_2002_women,ESP,3,bronze,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,5.0
world_amateur_team_championships_2004_men,USA,1,gold,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,10.0
world_amateur_team_championships_2004_men,ESP,2,silver,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,7.0
world_amateur_team_championships_2004_men,SWE,3,bronze,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,5.0
world_amateur_team_championships_2004_women,SWE,1,gold,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,10.0
world_amateur_team_championships_2004_women,CAN,2,silver,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,7.0
world_amateur_team_championships_2004_women,USA,2,silver,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,7.0
world_amateur_team_championships_2006_men,NLD,1,gold,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,10.0
world_amateur_team_championships_2006_men,CAN,2,silver,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,7.0
world_amateur_team_championships_2006_men,USA,3,bronze,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,5.0
world_amateur_team_championships_2006_women,ZAF,1,gold,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,10.0
world_amateur_team_championships_2006_women,SWE,2,silver,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,7.0
world_amateur_team_championships_2006_women,COL,3,bronze,event=Espirito Santo Trophy;source_url=https://en.wikipedia.org/wiki/Espirito_Santo_Trophy,5.0
world_amateur_team_championships_2008_men,SCO,1,gold,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,10.0
world_amateur_team_championships_2008_men,USA,2,silver,event=Eisenhower Trophy;source_url=https://en.wikipedia.org/wiki/Eisenhower_Trophy,7.0
