discipline_id,discipline_name,discipline_slug,sport_id,confidence,mapping_source,created_at_utc
aquatics_artistic-swimming-combination-routine,artistic-swimming-combination-routine,artistic-swimming-combination-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-duet-free-routine,artistic-swimming-duet-free-routine,artistic-swimming-duet-free-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-duet-routine,artistic-swimming-duet-routine,artistic-swimming-duet-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-duet-technical-routine,artistic-swimming-duet-technical-routine,artistic-swimming-duet-technical-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-free-routine-combination,artistic-swimming-free-routine-combination,artistic-swimming-free-routine-combination,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-solo-free-routine,artistic-swimming-solo-free-routine,artistic-swimming-solo-free-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-solo-routine,artistic-swimming-solo-routine,artistic-swimming-solo-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-solo-technical-routine,artistic-swimming-solo-technical-routine,artistic-swimming-solo-technical-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-team-free-routine,artistic-swimming-team-free-routine,artistic-swimming-team-free-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-team-routine,artistic-swimming-team-routine,artistic-swimming-team-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_artistic-swimming-team-technical-routine,artistic-swimming-team-technical-routine,artistic-swimming-team-technical-routine,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-1-m-springboard,diving-1-m-springboard,diving-1-m-springboard,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-10-m-platform,diving-10-m-platform,diving-10-m-platform,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-10-m-platform-synchro,diving-10-m-platform-synchro,diving-10-m-platform-synchro,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-3-m-springboard,diving-3-m-springboard,diving-3-m-springboard,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-3-m-springboard-synchro,diving-3-m-springboard-synchro,diving-3-m-springboard-synchro,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_diving-team,diving-team,diving-team,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_high-diving-tournament,high-diving-tournament,high-diving-tournament,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_open-water-swimming-10-km,open-water-swimming-10-km,open-water-swimming-10-km,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_open-water-swimming-25-km,open-water-swimming-25-km,open-water-swimming-25-km,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_open-water-swimming-3-km-knockout-sprints,open-water-swimming-3-km-knockout-sprints,open-water-swimming-3-km-knockout-sprints,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_open-water-swimming-5-km,open-water-swimming-5-km,open-water-swimming-5-km,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_open-water-swimming-team,open-water-swimming-team,open-water-swimming-team,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-100-m-backstroke,swimming-100-m-backstroke,swimming-100-m-backstroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-100-m-breaststroke,swimming-100-m-breaststroke,swimming-100-m-breaststroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-100-m-butterfly,swimming-100-m-butterfly,swimming-100-m-butterfly,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-100-m-freestyle,swimming-100-m-freestyle,swimming-100-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-1500-m-freestyle,swimming-1500-m-freestyle,swimming-1500-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-200-m-backstroke,swimming-200-m-backstroke,swimming-200-m-backstroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-200-m-breaststroke,swimming-200-m-breaststroke,swimming-200-m-breaststroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-200-m-butterfly,swimming-200-m-butterfly,swimming-200-m-butterfly,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-200-m-freestyle,swimming-200-m-freestyle,swimming-200-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-200-m-individual-medley,swimming-200-m-individual-medley,swimming-200-m-individual-medley,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-4-x-100-m-freestyle-relay,swimming-4-x-100-m-freestyle-relay,swimming-4-x-100-m-freestyle-relay,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-4-x-100-m-medley-relay,swimming-4-x-100-m-medley-relay,swimming-4-x-100-m-medley-relay,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-4-x-200-m-freestyle-relay,swimming-4-x-200-m-freestyle-relay,swimming-4-x-200-m-freestyle-relay,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-400-m-freestyle,swimming-400-m-freestyle,swimming-400-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-400-m-individual-medley,swimming-400-m-individual-medley,swimming-400-m-individual-medley,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-50-m-backstroke,swimming-50-m-backstroke,swimming-50-m-backstroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-50-m-breaststroke,swimming-50-m-breaststroke,swimming-50-m-breaststroke,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-50-m-butterfly,swimming-50-m-butterfly,swimming-50-m-butterfly,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-50-m-freestyle,swimming-50-m-freestyle,swimming-50-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_swimming-800-m-freestyle,swimming-800-m-freestyle,swimming-800-m-freestyle,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
aquatics_water-polo-tournament,water-polo-tournament,water-polo-tournament,aquatics,1.0,connector_world_aquatics_championships_history,2026-02-25T00:51:50+00:00
