participant_id,type,display_name,country_id
JPN,team,Japan,JPN
RUS,team,Russian Federation,RUS
CAN,team,Canada,CAN
athlete_Olga_Brusnikina_RUS,athlete,Olga Brusnikina,RUS
athlete_Virginie_Dedieu_FRA,athlete,Virginie Dedieu,FRA
athlete_Miya_Tachibana_JPN,athlete,Miya Tachibana,JPN
athlete_Wang_Feng_CHN,athlete,Wang Feng,CHN
athlete_Wang_Tianling_CHN,athlete,Wang Tianling,CHN
athlete_Alexander_Dobroskok_RUS,athlete,Alexander Dobroskok,RUS
athlete_Blythe_Hartley_CAN,athlete,Blythe Hartley,CAN
athlete_Wu_Minxia_CHN,athlete,Wu Minxia,CHN
athlete_Zhang_Jing_CHN,athlete,Zhang Jing,CHN
athlete_Tian_Liang_CHN,athlete,Tian Liang,CHN
athlete_Alexandre_Despatie_CAN,athlete,Alexandre Despatie,CAN
athlete_Mathew_Helm_AUS,athlete,Mathew Helm,AUS
athlete_Xu_Mian_CHN,athlete,Xu Mian,CHN
athlete_Duan_Qing_CHN,athlete,Duan Qing,CHN
athlete_Loudy_Tourky_AUS,athlete,Loudy Tourky,AUS
CHN,team,China,CHN
MEX,team,Mexico,MEX
UKR,team,Ukraine,UKR
athlete_Dmitri_Sautin_RUS,athlete,Dmitri Sautin,RUS
athlete_Ken_Terauchi_JPN,athlete,Ken Terauchi,JPN
athlete_Guo_Jingjing_CHN,athlete,Guo Jingjing,CHN
athlete_Irina_Lashko_AUS,athlete,Irina Lashko,AUS
athlete_Yuliya_Pakhalina_RUS,athlete,Yuliya Pakhalina,RUS
GER,team,GER,GER
athlete_Yevgeny_Bezruchenko_RUS,athlete,Yevgeny Bezruchenko,RUS
athlete_Vladimir_Dyatchin_RUS,athlete,Vladimir Dyatchin,RUS
athlete_Fabio_Venturini_ITA,athlete,Fabio Venturini,ITA
athlete_Peggy_Büchse_GER,athlete,Peggy Büchse,GER
athlete_Irina_Abysova_RUS,athlete,Irina Abysova,RUS
athlete_Edith_van_Dijk_NED,athlete,Edith van Dijk,NED
athlete_Yuri_Kudinov_RUS,athlete,Yuri Kudinov,RUS
athlete_Stéphane_Gomez_FRA,athlete,Stéphane Gomez,FRA
athlete_Stéphane_Lecat_FRA,athlete,Stéphane Lecat,FRA
athlete_Viola_Valli_ITA,athlete,Viola Valli,ITA
athlete_Angela_Maurer_GER,athlete,Angela Maurer,GER
athlete_Luca_Baldini_ITA,athlete,Luca Baldini,ITA
athlete_Marco_Formentini_ITA,athlete,Marco Formentini,ITA
athlete_Hayley_Lewis_AUS,athlete,Hayley Lewis,AUS
athlete_Matt_Welsh_AUS,athlete,Matt Welsh,AUS
athlete_Örn_Arnarson_ISL,athlete,Örn Arnarson,ISL
athlete_Steffen_Driesen_GER,athlete,Steffen Driesen,GER
athlete_Natalie_Coughlin_USA,athlete,Natalie Coughlin,USA
athlete_Diana_Mocanu_ROM,athlete,Diana Mocanu,ROM
athlete_Antje_Buschschulte_GER,athlete,Antje Buschschulte,GER
athlete_Roman_Sloudnov_RUS,athlete,Roman Sloudnov,RUS
athlete_Domenico_Fioravanti_ITA,athlete,Domenico Fioravanti,ITA
athlete_Ed_Moses_USA,athlete,Ed Moses,USA
athlete_Luo_Xuejuan_CHN,athlete,Luo Xuejuan,CHN
athlete_Leisel_Jones_AUS,athlete,Leisel Jones,AUS
athlete_Ágnes_Kovács_HUN,athlete,Ágnes Kovács,HUN
athlete_Lars_Frölander_SWE,athlete,Lars Frölander,SWE
athlete_Ian_Crocker_USA,athlete,Ian Crocker,USA
athlete_Geoff_Huegill_AUS,athlete,Geoff Huegill,AUS
athlete_Petria_Thomas_AUS,athlete,Petria Thomas,AUS
athlete_Otylia_Jdrzejczak_POL,athlete,Otylia Jędrzejczak,POL
athlete_Junko_Onishi_JPN,athlete,Junko Onishi,JPN
athlete_Anthony_Ervin_USA,athlete,Anthony Ervin,USA
athlete_Pieter_van_den_Hoogenband_NED,athlete,Pieter van den Hoogenband,NED
athlete_Inge_de_Bruijn_NED,athlete,Inge de Bruijn,NED
athlete_Katrin_Meissner_GER,athlete,Katrin Meissner,GER
athlete_Sandra_Völker_GER,athlete,Sandra Völker,GER
athlete_Grant_Hackett_AUS,athlete,Grant Hackett,AUS
athlete_Graeme_Smith_GBR,athlete,Graeme Smith,GBR
athlete_Alexei_Filipets_RUS,athlete,Alexei Filipets,RUS
athlete_Hannah_Stockbauer_GER,athlete,Hannah Stockbauer,GER
athlete_Flavia_Rigamonti_SUI,athlete,Flavia Rigamonti,SUI
athlete_Diana_Munz_USA,athlete,Diana Munz,USA
athlete_Aaron_Peirsol_USA,athlete,Aaron Peirsol,USA
athlete_Markus_Rogan_AUT,athlete,Markus Rogan,AUT
athlete_Stanislava_Komarova_RUS,athlete,Stanislava Komarova,RUS
athlete_Joanna_Fargus_GBR,athlete,Joanna Fargus,GBR
athlete_Brendan_Hansen_USA,athlete,Brendan Hansen,USA
athlete_Maxim_Podoprigora_AUT,athlete,Maxim Podoprigora,AUT
athlete_Kosuke_Kitajima_JPN,athlete,Kosuke Kitajima,JPN
athlete_Qi_Hui_CHN,athlete,Qi Hui,CHN
athlete_Michael_Phelps_USA,athlete,Michael Phelps,USA
athlete_Tom_Malchow_USA,athlete,Tom Malchow,USA
athlete_Anatoly_Polyakov_RUS,athlete,Anatoly Polyakov,RUS
athlete_Annika_Mehlhorn_GER,athlete,Annika Mehlhorn,GER
athlete_Kaitlin_Sandeno_USA,athlete,Kaitlin Sandeno,USA
athlete_Ian_Thorpe_AUS,athlete,Ian Thorpe,AUS
athlete_Klete_Keller_USA,athlete,Klete Keller,USA
athlete_Giaan_Rooney_AUS,athlete,Giaan Rooney,AUS
athlete_Yang_Yu_CHN,athlete,Yang Yu,CHN
athlete_Camelia_Potec_ROM,athlete,Camelia Potec,ROM
athlete_Massimiliano_Rosolino_ITA,athlete,Massimiliano Rosolino,ITA
athlete_Tom_Wilkens_USA,athlete,Tom Wilkens,USA
athlete_Justin_Norris_AUS,athlete,Justin Norris,AUS
athlete_Maggie_Bowen_USA,athlete,Maggie Bowen,USA
athlete_Yana_Klochkova_UKR,athlete,Yana Klochkova,UKR
AUS,team,Australia,AUS
NED,team,NED,NED
GBR,team,Great Britain,GBR
USA,team,United States,USA
ITA,team,Italy,ITA
athlete_Emiliano_Brembilla_ITA,athlete,Emiliano Brembilla,ITA
athlete_Claudia_Poll_CRC,athlete,Claudia Poll,CRC
athlete_Alessio_Boggiatto_ITA,athlete,Alessio Boggiatto,ITA
athlete_Erik_Vendt_USA,athlete,Erik Vendt,USA
athlete_Beatrice_Câlaru_ROM,athlete,Beatrice Câșlaru,ROM
athlete_Randall_Bal_USA,athlete,Randall Bal,USA
athlete_Thomas_Rupprath_GER,athlete,Thomas Rupprath,GER
athlete_Haley_Cope_USA,athlete,Haley Cope,USA
athlete_Oleg_Lisogor_UKR,athlete,Oleg Lisogor,UKR
athlete_Kristy_Kowal_USA,athlete,Kristy Kowal,USA
athlete_Zoë_Baker_GBR,athlete,Zoë Baker,GBR
athlete_Mark_Foster_GBR,athlete,Mark Foster,GBR
athlete_Therese_Alshammar_SWE,athlete,Therese Alshammar,SWE
athlete_Anna-Karin_Kammerling_SWE,athlete,Anna-Karin Kammerling,SWE
athlete_Tomohiro_Yamanoi_JPN,athlete,Tomohiro Yamanoi,JPN
athlete_Roland_Schoeman_RSA,athlete,Roland Schoeman,RSA
ESP,team,Spain,ESP
HUN,team,Hungary,HUN
athlete_Anastasiya_Yermakova_RUS,athlete,Anastasiya Yermakova,RUS
athlete_Gemma_Mengual_ESP,athlete,Gemma Mengual,ESP
athlete_Xiang_Xu_CHN,athlete,Xiang Xu,CHN
athlete_Wang_Kenan_CHN,athlete,Wang Kenan,CHN
athlete_Joona_Puhakka_FIN,athlete,Joona Puhakka,FIN
athlete_Aleksandr_Dobroskok_RUS,athlete,Aleksandr Dobroskok,RUS
athlete_Peng_Bo_CHN,athlete,Peng Bo,CHN
athlete_Christian_Hein_GER,athlete,Christian Hein,GER
athlete_David_Meca_ESP,athlete,David Meca,ESP
athlete_Petar_Stoychev_BUL,athlete,Petar Stoychev,BUL
athlete_Britta_Kamrau_GER,athlete,Britta Kamrau,GER
athlete_Evgeni_Kochkarov_RUS,athlete,Evgeni Kochkarov,RUS
athlete_Jana_Pechanová_CZE,athlete,Jana Pechanová,CZE
athlete_Arkady_Vyatchanin_Russia_Matt_Welsh_AUS,athlete,Arkady Vyatchanin Russia Matt Welsh,AUS
athlete_Antje_Buschschulte_DEU,athlete,Antje Buschschulte,DEU
athlete_Louise_Ørnstedt_DNK,athlete,Louise Ørnstedt,DNK
athlete_Katy_Sexton_GBR,athlete,Katy Sexton,GBR
athlete_James_Gibson_GBR,athlete,James Gibson,GBR
athlete_Andrei_Serdinov_UKR,athlete,Andrei Serdinov,UKR
athlete_Martina_Moravcová_SVK,athlete,Martina Moravcová,SVK
athlete_Pieter_van_den_Hoogenband_NLD,athlete,Pieter van den Hoogenband,NLD
athlete_Hanna-Maria_Seppälä_FIN,athlete,Hanna-Maria Seppälä,FIN
athlete_Jodie_Henry_AUS,athlete,Jodie Henry,AUS
athlete_Igor_Chervynskyi_UKR,athlete,Igor Chervynskyi,UKR
athlete_Hannah_Stockbauer_DEU,athlete,Hannah Stockbauer,DEU
athlete_Jana_Henke_DEU,athlete,Jana Henke,DEU
athlete_Gordan_Koulj_HRV,athlete,Gordan Kožulj,HRV
athlete_Simon_Dufour_FRA,athlete,Simon Dufour,FRA
athlete_Ian_Edmond_GBR,athlete,Ian Edmond,GBR
athlete_Takashi_Yamamoto_JPN,athlete,Takashi Yamamoto,JPN
athlete_Éva_Risztov_HUN,athlete,Éva Risztov,HUN
athlete_Yuko_Nakanishi_JPN,athlete,Yuko Nakanishi,JPN
athlete_Alena_Popchanka_BLR,athlete,Alena Popchanka,BLR
athlete_Alice_Mills_AUS,athlete,Alice Mills,AUS
athlete_Zhou_Yafei_CHN,athlete,Zhou Yafei,CHN
FRA,team,France,FRA
DEU,team,Germany,DEU
athlete_Drago_Coman_ROU,athlete,Dragoş Coman,ROU
athlete_László_Cseh_HUN,athlete,László Cseh,HUN
athlete_Oussama_Mellouli_TUN,athlete,Oussama Mellouli,TUN
athlete_Beatrice_Câlaru_ROU,athlete,Beatrice Câșlaru,ROU
athlete_Thomas_Rupprath_DEU,athlete,Thomas Rupprath,DEU
athlete_Gerhard_Zandberg_ZAF,athlete,Gerhard Zandberg,ZAF
athlete_Nina_Zhivanevskaya_ESP,athlete,Nina Zhivanevskaya,ESP
athlete_Ilona_Hlaváková_CZE,athlete,Ilona Hlaváčková,CZE
athlete_Noriko_Inada_JPN,athlete,Noriko Inada,JPN
athlete_Mihály_Flaskay_HUN,athlete,Mihály Flaskay,HUN
athlete_Brooke_Hanson_AUS,athlete,Brooke Hanson,AUS
athlete_Inge_de_Bruijn_NLD,athlete,Inge de Bruijn,NLD
athlete_Libby_Lenton_AUS,athlete,Libby Lenton,AUS
athlete_Rebecca_Cooke_GBR,athlete,Rebecca Cooke,GBR
SRB,team,Serbia,SRB
athlete_Natalia_Ischenko_RUS,athlete,Natalia Ischenko,RUS
athlete_Heike_Fischer_GER,athlete,Heike Fischer,GER
athlete_Laura_Ann_Wilkinson_USA,athlete,Laura Ann Wilkinson,USA
athlete_Jia_Tong_CHN,athlete,Jia Tong,CHN
athlete_Tania_Cagnotto_ITA,athlete,Tania Cagnotto,ITA
athlete_Chip_Peterson_USA,athlete,Chip Peterson,USA
athlete_Thomas_Lurz_GER,athlete,Thomas Lurz,GER
athlete_Frederica_Vitale_ITA,athlete,Frederica Vitale,ITA
athlete_Brendan_Capell_AUS,athlete,Brendan Capell,AUS
athlete_Laura_la_Piana_ITA,athlete,Laura la Piana,ITA
athlete_Simone_Ercoli_ITA,athlete,Simone Ercoli,ITA
athlete_Larisa_Ilchenko_RUS,athlete,Larisa Ilchenko,RUS
athlete_Margy_Keefe_USA,athlete,Margy Keefe,USA
athlete_Kirsty_Coventry_ZWE,athlete,Kirsty Coventry,ZWE
athlete_Hugues_Duboscq_FRA,athlete,Hugues Duboscq,FRA
athlete_Andriy_Serdinov_UKR,athlete,Andriy Serdinov,UKR
athlete_Jessicah_Schipper_AUS,athlete,Jessicah Schipper,AUS
athlete_Filippo_Magnini_ITA,athlete,Filippo Magnini,ITA
athlete_Roland_Schoeman_ZAF,athlete,Roland Schoeman,ZAF
athlete_Ryk_Neethling_ZAF,athlete,Ryk Neethling,ZAF
athlete_Malia_Metella_FRA,athlete,Malia Metella,FRA
athlete_David_Davies_GBR,athlete,David Davies,GBR
athlete_Flavia_Rigamonti_CHE,athlete,Flavia Rigamonti,CHE
athlete_Brittany_Reimer_CAN,athlete,Brittany Reimer,CAN
athlete_Reiko_Nakamura_JPN,athlete,Reiko Nakamura,JPN
athlete_Mike_Brown_CAN,athlete,Mike Brown,CAN
athlete_Genki_Imamura_JPN,athlete,Genki Imamura,JPN
athlete_Anne_Poleska_DEU,athlete,Anne Poleska,DEU
athlete_Mirna_Juki_AUT,athlete,Mirna Jukić,AUT
athlete_Pawe_Korzeniowski_POL,athlete,Paweł Korzeniowski,POL
athlete_Takeshi_Matsuda_JPN,athlete,Takeshi Matsuda,JPN
athlete_Wu_Peng_CHN,athlete,Wu Peng,CHN
athlete_Solenne_Figuès_FRA,athlete,Solenne Figuès,FRA
athlete_Federica_Pellegrini_ITA,athlete,Federica Pellegrini,ITA
athlete_Josefin_Lillhage_SWE,athlete,Josefin Lillhage,SWE
athlete_Lara_Carroll_AUS,athlete,Lara Carroll,AUS
athlete_Laure_Manaudou_FRA,athlete,Laure Manaudou,FRA
athlete_Ai_Shibata_JPN,athlete,Ai Shibata,JPN
athlete_Caitlin_McClatchey_GBR,athlete,Caitlin McClatchey,GBR
athlete_Luca_Marin_ITA,athlete,Luca Marin,ITA
athlete_Aristeidis_Grigoriadis_GRC,athlete,Aristeidis Grigoriadis,GRC
athlete_Liam_Tancock_GBR,athlete,Liam Tancock,GBR
athlete_Gao_Chang_CHN,athlete,Gao Chang,CHN
athlete_Mark_Warnecke_DEU,athlete,Mark Warnecke,DEU
athlete_Jade_Edmistone_AUS,athlete,Jade Edmistone,AUS
athlete_Sergiy_Breus_UKR,athlete,Sergiy Breus,UKR
athlete_Danni_Miatke_AUS,athlete,Danni Miatke,AUS
athlete_Duje_Draganja_HRV,athlete,Duje Draganja,HRV
athlete_Bartosz_Kizierowski_POL,athlete,Bartosz Kizierowski,POL
athlete_Marleen_Veldhuis_NLD,athlete,Marleen Veldhuis,NLD
athlete_Zhu_Yingwen_CHN,athlete,Zhu Yingwen,CHN
athlete_Saho_Harada_JPN,athlete,Saho Harada,JPN
athlete_Luo_Yutong_CHN,athlete,Luo Yutong,CHN
athlete_He_Chong_CHN,athlete,He Chong,CHN
athlete_Christopher_Sacchin_ITA,athlete,Christopher Sacchin,ITA
athlete_He_Zi_CHN,athlete,He Zi,CHN
athlete_Zhou_Lüxin_CHN,athlete,Zhou Lüxin,CHN
athlete_Lin_Yue_CHN,athlete,Lin Yue,CHN
athlete_Wang_Xin_CHN,athlete,Wang Xin,CHN
athlete_Chen_Ruolin_CHN,athlete,Chen Ruolin,CHN
athlete_Christin_Steuer_DEU,athlete,Christin Steuer,DEU
athlete_Qin_Kai_CHN,athlete,Qin Kai,CHN
athlete_Evgeny_Drattsev_RUS,athlete,Evgeny Drattsev,RUS
athlete_Cassandra_Patten_GBR,athlete,Cassandra Patten,GBR
athlete_Kate_Brookes-Peterson_AUS,athlete,Kate Brookes-Peterson,AUS
athlete_Mohamed_Zanaty_EGY,athlete,Mohamed Zanaty,EGY
athlete_Kalyn_Keller_USA,athlete,Kalyn Keller,USA
athlete_Ksenia_Popova_RUS,athlete,Ksenia Popova,RUS
athlete_Spyridon_Gianniotis_GRE,athlete,Spyridon Gianniotis,GRE
athlete_Ekaterina_Seliverstova_RUS,athlete,Ekaterina Seliverstova,RUS
athlete_Brenton_Rickard_AUS,athlete,Brenton Rickard,AUS
athlete_Anna_Khlistunova_UKR,athlete,Anna Khlistunova,UKR
athlete_Albert_Subirats_VEN,athlete,Albert Subirats,VEN
athlete_Brent_Hayden_CAN,athlete,Brent Hayden,CAN
athlete_Eamon_Sullivan_AUS,athlete,Eamon Sullivan,AUS
athlete_Britta_Steffen_DEU,athlete,Britta Steffen,DEU
athlete_Mateusz_Sawrymowicz_POL,athlete,Mateusz Sawrymowicz,POL
athlete_Loris_Facci_ITA,athlete,Loris Facci,ITA
athlete_Kirsty_Balfour_GBR,athlete,Kirsty Balfour,GBR
athlete_Park_Tae-Hwan_KOR,athlete,Park Tae-Hwan,KOR
athlete_Annika_Lurz_DEU,athlete,Annika Lurz,DEU
athlete_Stephanie_Rice_AUS,athlete,Stephanie Rice,AUS
NLD,team,Netherlands,NLD
athlete_Aleksandra_Gerasimenya_BLR,athlete,Aleksandra Gerasimenya,BLR
athlete_Tayliah_Zimmer_AUS,athlete,Tayliah Zimmer,AUS
athlete_Cameron_van_der_Burgh_ZAF,athlete,Cameron van der Burgh,ZAF
athlete_Jakob_Andkjær_DNK,athlete,Jakob Andkjær,DNK
athlete_Inge_Dekker_NLD,athlete,Inge Dekker,NLD
athlete_Stefan_Nystrand_SWE,athlete,Stefan Nystrand,SWE
athlete_Przemysaw_Staczyk_POL,athlete,Przemysław Stańczyk,POL
athlete_Craig_Stevens_AUS,athlete,Craig Stevens,AUS
athlete_Federico_Colbertaldo_ITA,athlete,Federico Colbertaldo,ITA
HRV,team,Croatia,HRV
athlete_Natalia_Ishchenko_RUS,athlete,Natalia Ishchenko,RUS
athlete_Beatrice_Adelizzi_ITA,athlete,Beatrice Adelizzi,ITA
athlete_Marie-Pier_Boudreau_Gagnon_CAN,athlete,Marie-Pier Boudreau Gagnon,CAN
athlete_Zhang_Xinhua_CHN,athlete,Zhang Xinhua,CHN
athlete_Matthew_Mitcham_AUS,athlete,Matthew Mitcham,AUS
athlete_Wang_Han_CHN,athlete,Wang Han,CHN
athlete_Tom_Daley_GBR,athlete,Tom Daley,GBR
athlete_Qiu_Bo_CHN,athlete,Qiu Bo,CHN
athlete_Paola_Espinosa_MEX,athlete,Paola Espinosa,MEX
athlete_Kang_Li_CHN,athlete,Kang Li,CHN
CUB,team,Cuba,CUB
MAS,team,MAS,MAS
athlete_Troy_Dumais_USA,athlete,Troy Dumais,USA
athlete_Émilie_Heymans_CAN,athlete,Émilie Heymans,CAN
athlete_Andrew_Gemmell_USA,athlete,Andrew Gemmell,USA
athlete_Fran_Crippen_USA,athlete,Fran Crippen,USA
athlete_Keri-Anne_Payne_GBR,athlete,Keri-Anne Payne,GBR
athlete_Ekatarina_Seliverstova_RUS,athlete,Ekatarina Seliverstova,RUS
athlete_Martina_Grimaldi_ITA,athlete,Martina Grimaldi,ITA
athlete_Valerio_Cleri_ITA,athlete,Valerio Cleri,ITA
athlete_Trent_Grimsey_AUS,athlete,Trent Grimsey,AUS
athlete_Anna_Uvarova_RUS,athlete,Anna Uvarova,RUS
athlete_Federica_Vitale_ITA,athlete,Federica Vitale,ITA
athlete_Chad_Ho_RSA,athlete,Chad Ho,RSA
athlete_Melissa_Gorman_AUS,athlete,Melissa Gorman,AUS
athlete_Poliana_Okimoto_BRA,athlete,Poliana Okimoto,BRA
athlete_Junya_Koga_JPN,athlete,Junya Koga,JPN
athlete_Helge_Meeuw_DEU,athlete,Helge Meeuw,DEU
athlete_Aschwin_Wildeboer_ESP,athlete,Aschwin Wildeboer,ESP
athlete_Gemma_Spofforth_GBR,athlete,Gemma Spofforth,GBR
athlete_Emily_Seebohm_AUS,athlete,Emily Seebohm,AUS
athlete_Rebecca_Soni_USA,athlete,Rebecca Soni,USA
athlete_Kasey_Carlson_USA,athlete,Kasey Carlson,USA
athlete_Milorad_avi_SRB,athlete,Milorad Čavić,SRB
athlete_Rafael_Muñoz_ESP,athlete,Rafael Muñoz,ESP
athlete_Sarah_Sjöström_SWE,athlete,Sarah Sjöström,SWE
athlete_Jiao_Liuyang_CHN,athlete,Jiao Liuyang,CHN
athlete_César_Cielo_Filho_BRA,athlete,César Cielo Filho,BRA
athlete_Alain_Bernard_FRA,athlete,Alain Bernard,FRA
athlete_Frédérick_Bousquet_FRA,athlete,Frédérick Bousquet,FRA
athlete_Francesca_Halsall_GBR,athlete,Francesca Halsall,GBR
athlete_Libby_Trickett_AUS,athlete,Libby Trickett,AUS
athlete_Ryan_Cochrane_CAN,athlete,Ryan Cochrane,CAN
athlete_Sun_Yang_CHN,athlete,Sun Yang,CHN
athlete_Alessia_Filippi_ITA,athlete,Alessia Filippi,ITA
athlete_Lotte_Friis_DNK,athlete,Lotte Friis,DNK
athlete_Camelia_Potec_ROU,athlete,Camelia Potec,ROU
athlete_Ryosuke_Irie_JPN,athlete,Ryosuke Irie,JPN
athlete_Ryan_Lochte_USA,athlete,Ryan Lochte,USA
athlete_Elizabeth_Beisel_USA,athlete,Elizabeth Beisel,USA
athlete_Dániel_Gyurta_HUN,athlete,Dániel Gyurta,HUN
athlete_Eric_Shanteau_USA,athlete,Eric Shanteau,USA
athlete_Christian_Sprenger_AUS,athlete,Christian Sprenger,AUS
athlete_Giedrius_Titenis_LTU,athlete,Giedrius Titenis,LTU
athlete_Nadja_Higl_SRB,athlete,Nadja Higl,SRB
athlete_Annamay_Pierse_CAN,athlete,Annamay Pierse,CAN
